,Algorithm,Index,R2,RMSE,MSE,RPD,MAE,Explained Var
1981,DecisionTreeRegressor,LIFS790103,1.0,5.539974797299802,30.691320754716987,1.127191129352395,4.366037735849058,0.23688121018331854
1967,DecisionTreeRegressor,LEVM760103,1.0,5.086608389257067,25.87358490566037,1.1669717835818183,4.1773584905660375,0.2540749847026528
1943,DecisionTreeRegressor,KARS160118,1.0,6.019402590554133,36.23320754716981,0.9098009826348855,4.6716981132075475,-0.1679289941401101
1942,DecisionTreeRegressor,KARS160117,1.0,6.1842618265741836,38.24509433962265,0.8862987574140984,4.866037735849058,-0.19859507190588288
1941,DecisionTreeRegressor,KARS160116,1.0,5.380257411250948,28.947169811320755,0.9462605523963628,4.2679245283018865,-0.13150965292583505
1940,DecisionTreeRegressor,KARS160115,1.0,4.987228973106076,24.872452830188685,1.198625299307304,3.9924528301886797,0.2944771210040884
1939,DecisionTreeRegressor,KARS160114,1.0,5.469038065189395,29.91037735849056,1.0075267791560591,4.315094339622642,0.01534944785152903
1938,DecisionTreeRegressor,KARS160113,1.0,5.511788395861612,30.379811320754722,1.0959279450621497,4.326415094339623,0.15633443283509374
1937,DecisionTreeRegressor,KARS160112,1.0,5.241489058194228,27.47320754716981,1.2119547822164252,4.0,0.4044744165553953
1936,DecisionTreeRegressor,KARS160111,1.0,6.2374704597175485,38.90603773584905,0.946004614295421,4.988679245283018,-0.10384423073596305
1935,DecisionTreeRegressor,KARS160110,1.0,5.412372269615761,29.29377358490567,1.0727912634427283,4.201886792452831,0.11502901259454612
1934,DecisionTreeRegressor,KARS160109,1.0,5.279812032103001,27.876415094339624,1.1900320415989765,4.039622641509434,0.28115863491871496
1933,DecisionTreeRegressor,KARS160108,1.0,4.954129209701247,24.5433962264151,1.2180268423883371,3.5396226415094345,0.33871251259063584
1932,DecisionTreeRegressor,KARS160107,1.0,5.570203749533832,31.027169811320757,1.1472361920935747,4.626415094339622,0.3307767313440766
1931,DecisionTreeRegressor,KARS160106,1.0,4.434364092590997,19.663584905660375,1.038649102678516,3.40188679245283,0.09062241288477446
1930,DecisionTreeRegressor,KARS160105,1.0,4.913208996318947,24.13962264150944,1.0600319073920452,3.6339622641509433,0.13732388431416997
1929,DecisionTreeRegressor,KARS160104,1.0,5.450012982501414,29.702641509433953,1.0871459433567494,4.083018867924528,0.14235711957174513
1928,DecisionTreeRegressor,KARS160103,1.0,6.297693498117102,39.66094339622642,1.0466103943661123,4.80188679245283,0.127761716986304
1927,DecisionTreeRegressor,KARS160102,1.0,5.304946072316729,28.142452830188688,1.1682586512465492,4.175471698113208,0.2727739051493101
1926,DecisionTreeRegressor,KARS160101,1.0,4.520560993738854,20.435471698113215,1.2476417452151978,3.558490566037736,0.3822840855531723
1925,DecisionTreeRegressor,KARP850103,1.0,5.875067241686654,34.51641509433963,1.044869296761675,4.511320754716982,0.07458008418247897
1944,DecisionTreeRegressor,KARS160119,1.0,5.031354519598754,25.314528301886806,1.2055791712615496,4.08490566037736,0.30475342354976187
1945,DecisionTreeRegressor,KARS160120,1.0,5.026101681542819,25.261698113207554,1.2050666241569052,4.016981132075473,0.309240204243278
1946,DecisionTreeRegressor,KARS160121,1.0,5.247425244642671,27.535471698113195,1.1466225390826505,3.90188679245283,0.2817491960744458
1957,DecisionTreeRegressor,KRIW790103,1.0,7.817747105868849,61.117169811320764,0.7917051603449354,6.08490566037736,-0.6253768102187389
1965,DecisionTreeRegressor,LEVM760101,1.0,5.889148959883602,34.68207547169811,0.9520052734432696,4.49245283018868,-0.12341141424563173
1964,DecisionTreeRegressor,LAWE840101,1.0,5.47353840230517,29.959622641509437,1.1247818911573018,4.396226415094339,0.2396827050066379
1963,DecisionTreeRegressor,KYTJ820101,1.0,5.407541903116635,29.241509433962275,1.0226587777499512,4.184905660377359,0.04274807167747763
1962,DecisionTreeRegressor,KUMS000104,1.0,5.217315148473452,27.220377358490563,1.1173399962041075,4.018867924528301,0.1845058960372984
1961,DecisionTreeRegressor,KUMS000103,1.0,5.153621185220613,26.55981132075472,1.1198437067587417,4.043396226415094,0.19286213846070066
1960,DecisionTreeRegressor,KUMS000102,1.0,4.718690256400505,22.26603773584906,1.3058104856963866,3.6490566037735856,0.4127941426074616
1959,DecisionTreeRegressor,KUMS000101,1.0,5.268632703656398,27.758490566037732,1.0341420827550978,4.030188679245282,0.04877707739415593
1958,DecisionTreeRegressor,KUHL950101,1.0,6.174246573851499,38.121320754716976,0.9182672975473565,4.669811320754717,-0.20333007713951012
1956,DecisionTreeRegressor,KRIW790102,1.0,5.365719280415853,28.790943396226417,1.0670658876419277,4.252830188679246,0.10540422677696615
1947,DecisionTreeRegressor,KARS160122,1.0,5.535818188747525,30.64528301886793,1.1514521576526502,4.335849056603774,0.23640163067017306
1955,DecisionTreeRegressor,KRIW790101,1.0,4.819281242894339,23.2254716981132,1.2890299221791357,3.7226415094339615,0.4413328958168602
1954,DecisionTreeRegressor,KRIW710101,1.0,5.117506025841913,26.188867924528296,1.267316897902311,3.9339622641509435,0.3667021675065695
1953,DecisionTreeRegressor,KOEP990102,1.0,5.624525137188733,31.635283018867934,0.8872424005264513,4.269811320754717,-0.2947489123371423
1952,DecisionTreeRegressor,KOEP990101,1.0,5.482854923596605,30.061698113207534,0.9205380475434535,4.575471698113207,-0.1006020540600896
1951,DecisionTreeRegressor,KLEP840101,1.0,4.617235961538927,21.3188679245283,1.326311515086646,3.509433962264151,0.42115490485769036
1950,DecisionTreeRegressor,KIMC930101,1.0,5.743889287838284,32.99226415094339,0.8987397953671785,4.133962264150943,-0.1809034032500727
1949,DecisionTreeRegressor,KIDA850101,1.0,5.046482055063256,25.46698113207547,1.3006743418591555,4.19811320754717,0.4354485699405555
1948,DecisionTreeRegressor,KHAG800101,1.0,4.338028419228917,18.818490566037735,1.2337898901356315,3.3245283018867924,0.3307557186313792
1924,DecisionTreeRegressor,KARP850102,1.0,5.964818237278784,35.57905660377359,1.0068268725402063,4.647169811320755,0.011538514162275804
1923,DecisionTreeRegressor,KARP850101,1.0,6.1934993309327275,38.35943396226415,1.0578577692009965,5.043396226415093,0.12372463965834968
1922,DecisionTreeRegressor,KANM800104,1.0,5.04483670285675,25.450377358490563,1.0724985397901123,4.167924528301886,0.12732346407754658
1890,DecisionTreeRegressor,GUYH850104,1.0,6.674338353187543,44.546792452830196,0.9189479507035658,4.849056603773585,-0.195539905061759
1898,DecisionTreeRegressor,ISOY800101,1.0,5.534608097458467,30.631886792452832,1.0862827031536306,4.533962264150944,0.14351634540676328
1897,DecisionTreeRegressor,HUTJ700103,1.0,5.022402642350252,25.22452830188679,1.1576056102413195,3.849056603773585,0.2463342132652745
1896,DecisionTreeRegressor,HUTJ700102,1.0,6.586965402030526,43.38811320754718,0.8654649044491053,5.326415094339623,-0.34951574896072457
1895,DecisionTreeRegressor,HUTJ700101,1.0,6.129606469562147,37.57207547169813,0.9824751837696194,4.8641509433962264,0.06869058969836206
1894,DecisionTreeRegressor,HOPT810101,1.0,5.571677028118228,31.04358490566037,1.0173978404953237,4.405660377358491,0.0414546234713582
1893,DecisionTreeRegressor,HOPA770101,1.0,6.206539460558653,38.5211320754717,0.885274732155447,5.139622641509433,-0.25608842659297637
1892,DecisionTreeRegressor,HARY940101,1.0,6.365754486993608,40.52283018867926,0.7540689342783027,5.096226415094339,-0.7917142227261271
1891,DecisionTreeRegressor,GUYH850105,1.0,4.6066399984665285,21.221132075471697,1.2959121256793211,3.769811320754717,0.39310867792794446
1889,DecisionTreeRegressor,GUYH850103,1.0,4.817636624062616,23.209622641509437,1.143136965530192,3.6622641509433955,0.22196301429942433
1900,DecisionTreeRegressor,ISOY800103,1.0,6.008845680752198,36.10622641509435,0.8725500698645345,4.650943396226417,-0.28583734290597396
1888,DecisionTreeRegressor,GUYH850102,1.0,5.582959247770322,31.16943396226416,1.057729069465363,4.381132075471699,0.09518368192930715
1887,DecisionTreeRegressor,GUYH850101,1.0,5.448783835225882,29.68924528301887,1.1487290241071662,4.281132075471698,0.2277355551315795
1886,DecisionTreeRegressor,GUOD860101,1.0,5.480273371503934,30.033396226415093,1.0342603874406457,4.088679245283019,0.049421283747154154
1885,DecisionTreeRegressor,GRAR740103,1.0,5.483078600877086,30.064150943396225,1.0621574722756593,4.535849056603774,0.10184188111632675
1884,DecisionTreeRegressor,GRAR740102,1.0,5.165743476052345,26.68490566037736,0.9761055389561145,4.0,-0.056552908748866315
1883,DecisionTreeRegressor,GRAR740101,1.0,5.458591981005205,29.796226415094335,1.0434002797921391,4.305660377358491,0.15439872037225544
1882,DecisionTreeRegressor,GOLD730102,1.0,4.8500534912436315,23.523018867924534,1.1554939400355386,3.849056603773586,0.23687078086759794
1881,DecisionTreeRegressor,GOLD730101,1.0,4.474793133196847,20.023773584905662,1.2462668170814601,3.2452830188679247,0.34407015963720833
1899,DecisionTreeRegressor,ISOY800102,1.0,4.981437240509216,24.814716981132072,1.2015927678807385,4.041509433962265,0.29417975764788895
1901,DecisionTreeRegressor,ISOY800104,1.0,4.9659405994973245,24.660566037735848,1.127293268077428,3.9377358490566046,0.2229901964416715
1921,DecisionTreeRegressor,KANM800103,1.0,5.7310969018254445,32.84547169811321,1.0922649684307395,4.567924528301887,0.14845926859287295
1912,DecisionTreeRegressor,JOND750101,1.0,5.549502782418934,30.796981132075484,1.150516210926383,4.475471698113209,0.2399358646742491
1920,DecisionTreeRegressor,KANM800102,1.0,5.494182171702087,30.18603773584906,1.1126213854683682,4.373584905660378,0.18952821565087308
1919,DecisionTreeRegressor,KANM800101,1.0,6.141292347553014,37.715471698113205,0.9349646885953181,4.581132075471698,-0.15338270265796616
1918,DecisionTreeRegressor,JURD980101,1.0,5.241021072920091,27.468301886792464,1.1363716091571747,4.2377358490566035,0.21076827770814976
1917,DecisionTreeRegressor,JUNJ780101,1.0,5.916829212046626,35.0088679245283,1.0341872335904563,4.432075471698114,0.0963043688080385
1916,DecisionTreeRegressor,JUKT750101,1.0,5.327943424256256,28.386981132075476,0.9322409241196217,4.40188679245283,-0.17219529729589778
1915,DecisionTreeRegressor,JOND920102,1.0,5.096706298614785,25.976415094339618,1.0890344370516656,3.9264150943396223,0.15200342399605027
1914,DecisionTreeRegressor,JOND920101,1.0,5.811910347449662,33.77830188679245,0.9364390720318183,4.752830188679245,-0.15619561917972868
1913,DecisionTreeRegressor,JOND750102,1.0,4.737645303193129,22.44528301886792,1.222254275696609,3.6716981132075475,0.3188229208823983
1911,DecisionTreeRegressor,JANJ790102,1.0,5.31244533823155,28.222075471698123,1.1450312323094025,3.7037735849056608,0.25391553440310255
1902,DecisionTreeRegressor,ISOY800105,1.0,4.124592604239042,17.012264150943402,1.3917284133056407,3.281132075471698,0.48163466480967365
1910,DecisionTreeRegressor,JANJ790101,1.0,5.417494373141413,29.349245283018877,1.1861782624832566,4.2509433962264165,0.2842179422586254
1909,DecisionTreeRegressor,JANJ780103,1.0,5.495195156800235,30.19716981132076,1.0979407730944608,4.330188679245283,0.17133548982074398
1908,DecisionTreeRegressor,JANJ780102,1.0,5.119386018610745,26.208113207547175,1.1259099587305097,4.08867924528302,0.23543120029950826
1907,DecisionTreeRegressor,JANJ780101,1.0,5.669032062733628,32.13792452830189,1.091190439773249,4.250943396226416,0.17712358855070032
1906,DecisionTreeRegressor,JACR890101,1.0,5.63168261326966,31.71584905660378,0.8969348778845244,4.554716981132075,-0.24950398010459662
1905,DecisionTreeRegressor,ISOY800108,1.0,5.727606105356165,32.805471698113216,1.0658274262039251,4.5150943396226415,0.11736260552123035
1904,DecisionTreeRegressor,ISOY800107,1.0,6.395959809660505,40.90830188679245,0.8491243706979559,4.8,-0.41360902692212265
1903,DecisionTreeRegressor,ISOY800106,1.0,5.310704746609472,28.20358490566038,1.1190703451173267,4.530188679245283,0.1879971925660533
1966,DecisionTreeRegressor,LEVM760102,1.0,5.450134151023344,29.703962264150945,1.0005160880966137,3.979245283018868,-0.0031456287743154565
1968,DecisionTreeRegressor,LEVM760104,1.0,6.338427279488068,40.175660377358504,1.0103515628444912,4.78301886792453,0.001855287241286474
2057,DecisionTreeRegressor,OOBM850105,1.0,6.397847515390522,40.93245283018867,0.8917962103978895,5.211320754716981,-0.2744886963244271
1969,DecisionTreeRegressor,LEVM760105,1.0,5.0764718100011015,25.770566037735858,1.0661760167212857,3.524528301886793,0.10337494940226555
2033,DecisionTreeRegressor,NAKH900113,1.0,5.4967915169789805,30.214716981132085,1.1593975351232773,4.377358490566038,0.2601721441147703
2032,DecisionTreeRegressor,NAKH900112,1.0,5.438871275799509,29.581320754716984,1.225864954699371,4.239622641509435,0.33250947491596006
2031,DecisionTreeRegressor,NAKH900111,1.0,4.624708047899012,21.38792452830189,1.2042038080063286,3.89433962264151,0.2972257241503884
2030,DecisionTreeRegressor,NAKH900110,1.0,5.321458872179874,28.317924528301894,1.049385696387089,4.220754716981133,0.07464056442938694
2029,DecisionTreeRegressor,NAKH900109,1.0,6.230690927494499,38.82150943396226,0.9726041351339578,4.441509433962264,-0.06746638922400039
2028,DecisionTreeRegressor,NAKH900108,1.0,5.263455354056966,27.703962264150945,1.0929713379014572,4.213207547169811,0.17911855383009612
