,Index + Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
4601,NAKH900106 + conjoint_triad,0.9591390619294148,3.852878365341062,14.844671698113213,1.439694879982371,2.8233962264150954,0.5170791259330887
3448,KARS160119 + moran_autocorrelation,0.9590116613438133,3.548076545089089,12.588847169811325,1.5538694271376663,2.9273584905660384,0.5870121939427796
593,BIOV880101 + geary_autocorrelation,0.9589481690425683,2.8613521015520966,8.1873358490566,1.5977087654690423,2.323018867924528,0.6119387256229594
941,CHAM830104 + norm_moreaubroto_autocorrelation,0.9582918986242904,3.1034445257694414,9.631367924528313,1.990356515759667,2.536037735849058,0.7435700333489419
6303,RACS820108 + norm_moreaubroto_autocorrelation,0.9566508788938092,3.4138494290944217,11.654367924528309,1.6416304822249068,2.5330188679245293,0.6362853247967023
3929,LEWP710101 + conjoint_triad,0.9564106727041529,3.327185336609752,11.07016226415095,1.655959661756921,2.551320754716981,0.6283286777430271
45,ARGP820103 + norm_moreaubroto_autocorrelation,0.9563930367148616,3.3783723891838804,11.4134,1.64301896046567,2.667924528301886,0.6273879083807364
199,AURR980111 + norm_moreaubroto_autocorrelation,0.9559724725313745,3.5557532439801656,12.64338113207547,1.4354332972324264,2.7049056603773587,0.5191429434174183
3937,LIFS790101 + norm_moreaubroto_autocorrelation,0.955904179724275,3.5886918833973853,12.878709433962273,1.3287900123257,2.9196226415094353,0.4318547084074107
3503,KHAG800101 + norm_moreaubroto_autocorrelation,0.9557830649456648,3.239084426891077,10.491667924528295,1.673792837375886,2.729056603773584,0.6372761161694682
2229,FUKS010110 + norm_moreaubroto_autocorrelation,0.9555019711063668,2.984697766058899,8.908420754716982,1.6040679395870894,2.3428301886792458,0.6040883699961312
6905,ROBB760112 + norm_moreaubroto_autocorrelation,0.9554608337345829,2.8339721440422716,8.03139811320755,2.014618526281421,2.3288679245283017,0.7628338963520218
3699,KUMS000104 + norm_moreaubroto_autocorrelation,0.9554202830524812,3.9788974010775755,15.831624528301884,1.552563791395785,3.1186792452830194,0.6039212138799332
4119,MEEJ810101 + norm_moreaubroto_autocorrelation,0.9552398006512931,3.1658987814425807,10.022915094339616,1.5068732020628055,2.419811320754717,0.5513533381226468
5855,QIAN880118 + norm_moreaubroto_autocorrelation,0.955119449625381,3.6723790551260236,13.486367924528306,1.5659417373204223,2.7405660377358507,0.5934123772374621
6807,ROBB760105 + norm_moreaubroto_autocorrelation,0.9548639183184026,3.833727680016969,14.697467924528294,1.5113152591378538,3.0573584905660374,0.556993694281836
2902,ISOY800108 + moran_autocorrelation,0.9544093018080837,3.701972447223237,13.704600000000003,1.5168718563191799,2.9743396226415104,0.5575966299644024
6386,RACS820114 + tripeptide_comp,0.95415242188539,3.60065953078096,12.964749056603761,1.4843760489375217,2.739056603773584,0.5382826823777358
6401,RADA880101 + norm_moreaubroto_autocorrelation,0.9541181021342451,3.074829647068364,9.45457735849056,1.8092993946829827,2.410566037735849,0.689848663507727
6394,RACS820114 + seq_order_coupling_number,0.9540171197819776,3.38667031892043,11.469535849056609,1.5173342613120262,2.7415094339622654,0.5692899077854067
5853,QIAN880118 + dipeptide_comp,0.9539719547744661,3.188660036784837,10.167552830188678,1.8284710386635628,2.5967924528301887,0.7023751731593553
2385,GEIM800108 + geary_autocorrelation,0.953808529608686,3.154389574054805,9.950173584905656,1.66721218419681,2.4818867924528294,0.6585544601580764
2083,FINA910104 + quasi_seq_order_descriptors,0.9537014795258855,3.532012094254812,12.475109433962261,1.6983453369608013,2.8633962264150954,0.6481879363010106
6031,QIAN880130 + quasi_seq_order_descriptors,0.9536689572538952,3.007403757145117,9.044477358490566,1.7337530892697217,2.308867924528302,0.6631753017611857
383,AVBF000104 + geary_autocorrelation,0.9536251880397828,2.9940645686941085,8.964422641509438,1.6972814999906618,2.449433962264152,0.646392984209244
227,AURR980113 + norm_moreaubroto_autocorrelation,0.9531806287767399,3.6943932532195274,13.648541509433963,1.5853391176826803,3.0035849056603783,0.5972308896860694
1215,CHOP780209 + quasi_seq_order_descriptors,0.9531515658077918,4.368223377037639,19.081375471698117,1.3049080522515946,3.5918867924528315,0.41593014669916817
2847,ISOY800104 + geary_autocorrelation,0.9531415134796918,3.580590496257118,12.820628301886794,1.6908255500958478,2.710754716981133,0.6526300850586041
1753,FASG760102 + norm_moreaubroto_autocorrelation,0.9531307057385761,3.259487747692648,10.624260377358489,1.688578069334322,2.6154716981132076,0.6560441557190884
4373,MUNV940105 + geary_autocorrelation,0.9530891846542776,3.4227948416903238,11.71552452830189,1.6787596721608053,2.5645283018867926,0.6431353556400288
5244,PALJ810115 + distribution,0.9530299703006968,3.7260232227676435,13.883249056603777,1.5135001624470275,2.8633962264150954,0.5668981925604903
2691,GUYH850104 + norm_moreaubroto_autocorrelation,0.9529733249465178,3.2132326636805173,10.324864150943393,1.870916231425989,2.5784905660377353,0.7107582605978779
1853,FAUJ880102 + geary_autocorrelation,0.9529629529735533,2.3395572875838693,5.473528301886792,2.311792266489898,2.024905660377359,0.8094009992029298
5393,PONP800105 + norm_moreaubroto_autocorrelation,0.9529504456168532,3.643323177208536,13.273803773584902,1.5225080537420486,2.7981132075471695,0.5676734937428952
663,BROC820102 + geary_autocorrelation,0.9529465735623489,3.5450603422492937,12.56745283018868,1.4954948672921151,2.6320754716981125,0.5442781645412746
3433,KARS160118 + norm_moreaubroto_autocorrelation,0.9529287443555269,3.0726391458735782,9.441111320754713,1.7353789679943463,2.359056603773584,0.6617264608270256
5715,QIAN880108 + norm_moreaubroto_autocorrelation,0.9528035171170365,3.3498265232469957,11.221337735849056,1.6101156573465698,2.7873584905660387,0.6076988361183724
3279,KARS160107 + norm_moreaubroto_autocorrelation,0.9527291207846702,3.7937580312929806,14.392599999999993,1.7370385885502995,2.981886792452829,0.6671465595003391
382,AVBF000104 + moran_autocorrelation,0.9527271182105598,2.6969031855913608,7.273286792452829,1.9277208330557551,2.1675471698113213,0.7283499619546452
6066,QIAN880133 + moran_autocorrelation,0.9526489526466518,3.108848904246387,9.664941509433962,1.537721513213423,2.391132075471698,0.623350947185118
4049,MAXF760105 + norm_moreaubroto_autocorrelation,0.9525148935226488,2.9419323645753397,8.654966037735848,1.8178248691634498,2.2916981132075467,0.6936597319892793
5185,PALJ810111 + geary_autocorrelation,0.9523892284139228,3.5807907316891536,12.822062264150945,1.7923646350183342,2.8383018867924528,0.6848666896396691
2805,ISOY800101 + geary_autocorrelation,0.952383054733756,3.0613349535967505,9.371771698113218,1.6828588226194645,2.5058490566037754,0.6401207295559512
1362,CIDH920104 + moran_autocorrelation,0.9522917356946976,3.015497706033673,9.093226415094346,1.5180574731925083,2.381886792452831,0.558521878043138
