,Index + Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
198,AURR980111 + tripeptide_comp,0.7816235278461642,4.927772660769409,24.282943396226422,1.1680073994082527,3.7388679245283023,0.4521570204665487
6876,ROBB760110 + tripeptide_comp,0.7755745564060831,3.633902211537739,13.205245283018868,1.534250302782432,2.97622641509434,0.5711247083213198
4062,MAXF760106 + tripeptide_comp,0.7746611726833417,4.544978568561049,20.656830188679244,1.3143400540430406,3.1298113207547167,0.4835963499622459
5686,QIAN880106 + tripeptide_comp,0.7721645641324114,4.226320046101037,17.86178113207547,1.4267677450621732,3.0875471698113204,0.5466036123384244
548,BEGF750103 + tripeptide_comp,0.7714229425720875,4.193278539002671,17.583584905660377,1.5238687272831868,3.0147169811320764,0.6921826428899204
5714,QIAN880108 + tripeptide_comp,0.7710267035871868,3.4933597387258786,12.20356226415094,1.5552393977541097,2.8445283018867924,0.6421987222699992
5448,PONP930101 + tripeptide_comp,0.7698466949536816,4.624617475257042,21.387086792452823,1.2141675525321847,3.6818867924528305,0.4617212441045757
1626,DESM900101 + tripeptide_comp,0.7673614242340141,4.6500387500921425,21.622860377358496,1.1594943967231317,3.297735849056603,0.46088261901956507
2746,HOPT810101 + tripeptide_comp,0.7671474142152611,4.390173418158949,19.27362264150943,1.238559608731297,3.4290566037735846,0.4014515303229711
6387,RACS820114 + norm_moreaubroto_autocorrelation,0.7644427254941409,4.724474214531557,22.320656603773575,1.2076323696895923,3.7347169811320753,0.31368846408761464
226,AURR980113 + tripeptide_comp,0.763436025583937,4.203419991226371,17.668739622641507,1.5118134523667255,3.236981132075473,0.5874497310874871
6862,ROBB760109 + tripeptide_comp,0.7626008012247933,3.566751071710383,12.721713207547165,1.7115560444583346,2.9309433962264144,0.6528564193126463
6652,RICJ880111 + tripeptide_comp,0.7607472132202029,4.029591486387896,16.237607547169816,1.4962170935111476,2.9354716981132083,0.6086306047642405
6778,ROBB760103 + tripeptide_comp,0.7606827574331662,2.8254356818821464,7.983086792452829,1.9351359510757176,2.3037735849056604,0.7446746608678851
1444,CORJ870104 + tripeptide_comp,0.7605228392499461,4.088928447534466,16.719335849056616,1.2723732578965998,3.2158490566037745,0.399942143236509
2046,FINA910102 + tripeptide_comp,0.7600985408284522,4.346963372980929,18.896090566037735,1.4970376618934134,3.369056603773585,0.5856291410588259
324,AURR980120 + tripeptide_comp,0.7598319692184335,3.5538318410860366,12.629720754716969,1.7090834269346569,2.832452830188678,0.6610099658154162
744,BURA740101 + tripeptide_comp,0.7593180002551112,3.479350405648017,12.10587924528302,1.539676342956454,2.7150943396226417,0.6905420878937203
6064,QIAN880133 + tripeptide_comp,0.7583597409850104,4.105682210680015,16.85662641509433,1.438037839706813,3.0154716981132057,0.5275581332894771
