,Index + Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
5686,QIAN880106 + tripeptide_comp,0.843888772064828,3.4265971496777663,11.741568026179792,1.6665972611213886,2.637226259553904,0.635592961049219
3600,KRIW790101 + tripeptide_comp,0.8345632863569062,3.2054444404636215,10.274874060899139,1.4256284358922935,2.5614698911414546,0.5304073220223993
7100,SNEP660104 + tripeptide_comp,0.8320288597066061,3.806824629092091,14.491913756662136,1.487821470836857,2.865224021709481,0.5836924342910911
3124,KANM800103 + tripeptide_comp,0.830412358133262,2.8517799069899468,8.13264863791159,1.592516547037723,2.275816786972363,0.5987468331569477
6207,RACS820101 + geary_autocorrelation,0.8292255673660351,3.30337482161273,10.912285212064937,1.6435721721808034,2.5454765788595326,0.6277934294129489
5042,PALJ810101 + tripeptide_comp,0.828527964764463,2.926347176692827,8.56350779853808,1.7018163800478825,2.323383224711363,0.6482746080229735
184,AURR980110 + tripeptide_comp,0.8274322286451943,2.779850362089778,7.727568035610668,1.8687772743718047,2.1503523169676946,0.7091711088044282
7886,ZIMJ680103 + moran_autocorrelation,0.8246718201706625,2.949019905780395,8.69671840468901,1.6997981194507048,2.383500287726813,0.6472489960347498
6204,RACS820101 + tripeptide_comp,0.824210441209962,3.215351304217335,10.338484009532117,1.891344960987459,2.5625575685114965,0.7153313132054144
5043,PALJ810101 + norm_moreaubroto_autocorrelation,0.822938629319463,3.4204826785893947,11.69970175453008,1.6206132005823997,2.560185002791747,0.6184666757290661
520,BEGF750101 + tripeptide_comp,0.822814843210093,3.1007976926594543,9.614946330802196,1.6942280170197452,2.407241258220939,0.648042931405439
6904,ROBB760112 + tripeptide_comp,0.8221130418715619,3.177561875812,10.096899474613876,1.7156529127969666,2.5017808566863344,0.6573709743225858
4888,ONEK900102 + tripeptide_comp,0.8220933876014869,2.7775991278115555,7.715056914819514,1.6348746834015924,2.232123194640427,0.6191930127992418
324,AURR980120 + tripeptide_comp,0.82188592414778,3.232417880021708,10.448525351084033,1.6319178686776286,2.618304345994726,0.6177832181231466
6456,RADA880105 + tripeptide_comp,0.8213070703442813,3.5764828522626,12.791229592528424,1.5738157888899935,2.917158687965107,0.5895071548075412
310,AURR980119 + tripeptide_comp,0.8213014894508281,2.8407827914130794,8.070046867988689,1.855894341991741,2.249518271941414,0.7112134465539013
1164,CHOP780206 + tripeptide_comp,0.8211860973740818,2.9251214140054635,8.556335286673322,2.007984058170902,2.2562521752939966,0.7500206940353142
6918,ROBB760113 + tripeptide_comp,0.8205804079862891,3.4101999037653252,11.629463383641033,1.80918904196497,2.680055719035422,0.689220214404442
7086,SNEP660103 + tripeptide_comp,0.8203754513344234,3.551681971031422,12.614444823349647,1.772560497623295,2.6153195490960783,0.6765853009546372
1850,FAUJ880102 + tripeptide_comp,0.8195338783855624,3.3037303631323716,10.914634312282752,1.6340999795393607,2.577321073473601,0.6348943895252117
1542,CRAJ730101 + tripeptide_comp,0.8194867622317703,3.1799235471850866,10.111913765942184,1.8690387050875747,2.6071032140457113,0.7181366051595828
2732,HOPA770101 + tripeptide_comp,0.8194862798557303,3.126061626006127,9.772261289588071,1.7974487917163502,2.5871867014058467,0.6923725473144582
5154,PALJ810109 + tripeptide_comp,0.8194752028754474,2.925149828537775,8.556501519394574,1.9118034334164222,2.2549579717413306,0.7214886168747545
1836,FAUJ880101 + tripeptide_comp,0.8193941305612884,3.0874886174538356,9.532585962906998,1.8519595557240647,2.3408443194744706,0.7113256387572713
5140,PALJ810108 + tripeptide_comp,0.8192504054060376,2.953961861269708,8.725890677835999,1.9407168395183476,2.2592132850083555,0.73166617444792
7607,WILM950103 + geary_autocorrelation,0.8191918614794425,3.343425164752692,11.178491832301566,1.7105260133769544,2.6920091191118694,0.6518228984781178
2832,ISOY800103 + moran_autocorrelation,0.8191098432385936,3.4973257085118314,12.231287111417785,1.6136212982992881,2.7301057545265106,0.6153674001091655
6624,RICJ880109 + tripeptide_comp,0.8188631552917581,2.873472944219364,8.2568467611607,1.956050088728064,2.2383606637991322,0.7337018941507635
2803,ISOY800101 + norm_moreaubroto_autocorrelation,0.8187464809410856,3.000792091502849,9.004753176426043,1.7604977970193967,2.3452487303680782,0.6712439243240609
88,AURR980103 + moran_autocorrelation,0.8186781181841664,3.4950859346621757,12.215625690673374,1.8078605161250128,2.790741045471255,0.7018771607727349
7058,SNEP660101 + tripeptide_comp,0.818467460771782,3.377297387704946,11.406137644998651,1.8484050753568237,2.6743126385568408,0.7087694010692198
1066,CHOC760104 + tripeptide_comp,0.8181041190383002,3.288543035628462,10.814515297180462,1.8171584901560645,2.5091122974574853,0.7050602967194082
5714,QIAN880108 + tripeptide_comp,0.8179157400004055,3.0903527040168224,9.550279835224085,1.7086696983782645,2.448933981027714,0.6512480433828913
4188,MITS020101 + tripeptide_comp,0.8175349613676853,2.906113591951177,8.445496209323371,1.7634410133088823,2.1873010229527208,0.6733482373620097
618,BLAM930101 + tripeptide_comp,0.8174381546045196,2.816323381444849,7.931677388872949,1.761797798688727,2.179974631109514,0.6730788110200419
4064,MAXF760106 + moran_autocorrelation,0.8173566310902731,3.4225842380007054,11.71408286621087,1.5320530543209292,2.5732299851377105,0.5924504209248598
7534,WERD780102 + tripeptide_comp,0.8171445012111082,3.0899159717265015,9.547580712330529,1.7835337439441314,2.4998534549304514,0.6822104776748594
186,AURR980110 + moran_autocorrelation,0.8171441638087946,2.9674419927933973,8.805711980593648,1.775679868773829,2.4248592866314933,0.6796443404302897
7603,WILM950103 + dipeptide_comp,0.8168344908826021,3.416531173788844,11.672685261470976,1.7472301669266879,2.4895895174455647,0.6664608459579064
7186,TANS770101 + moran_autocorrelation,0.8167239938306436,3.548040479050683,12.588591240982199,1.7549236918964761,2.873276235107865,0.6696797283702645
3488,KARS160122 + tripeptide_comp,0.8166213710331559,2.96761842662322,8.806759126033677,1.9397008790224524,2.2992080241287267,0.7322448096583971
4258,MIYS990104 + tripeptide_comp,0.8164687855175461,2.9906048939549934,8.943717631747559,1.8159589393156266,2.3524065608508176,0.6916069234928162
