,Index,Category,Descriptor,Descriptor Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,RADA880101,hydrophobic,_dipeptide_composition,Composition,0.863471358590779,2.095799544962381,4.392375732664523,2.7063758890946237,1.6725946867702244,0.8716165234610597
1,NAKH900102,composition,_geary_autocorrelation,Autocorrelation,0.856735743653551,2.127799561638109,4.527530974507328,2.6419894259389882,1.7056977655457324,0.8702711334352106
2,JANJ780103,hydrophobic,_conjoint_triad,Conjoint Triad,0.8433093488351808,2.264252145971993,5.126837780538775,2.5262623946349767,1.8500574511025705,0.8452376640818384
3,AURR980105,sec_struct,_tripeptide_composition,Composition,0.8391221138584144,2.0829083472188668,4.338507182914031,2.4931696093831834,1.5720991513328568,0.8419386077333322
4,CHAM830102,sec_struct,_tripeptide_composition,Composition,0.838948971764148,2.4946592501437537,6.2233247743277955,2.4918290755943544,1.9448237960291057,0.8391557771690129
5,CHOP780207,sec_struct,_conjoint_triad,Conjoint Triad,0.8378718320811409,2.2799423840040607,5.19813727437812,2.483537731392278,1.7300167661119759,0.839148190053734
6,TAKK010101,observable,_conjoint_triad,Conjoint Triad,0.8366663749446799,2.4205029840524652,5.858834695806888,2.4743560868624224,1.9102640368073145,0.8406462867512012
7,LEVM780103,sec_struct,_dipeptide_composition,Composition,0.8360322608292252,2.4706196538597633,6.103961474038136,2.4695669007534344,1.9167465325185447,0.8375627972475624
8,TANS770104,sec_struct,_tripeptide_composition,Composition,0.8355079772851036,2.212917582833877,4.897004228415329,2.465628148583874,1.808381398475667,0.8356001656978664
9,DIGM050101,composition,_conjoint_triad,Conjoint Triad,0.8354501978906252,2.587995245740883,6.697719391977414,2.4651952249104943,2.0355173237170106,0.8402618462550198
10,RACS820108,geometry,_geary_autocorrelation,Autocorrelation,0.8326938796164103,2.338881812705336,5.4703681338038,2.444804215319637,1.8806209809863306,0.8328227735353838
11,AURR980111,sec_struct,_conjoint_triad,Conjoint Triad,0.8319850771858913,2.53195550678704,6.410798688349215,2.439641832629855,1.9542668554714742,0.8362397609520644
12,RACS770102,geometry,_dipeptide_composition,Composition,0.8319843778532168,2.3746954514504517,5.639178487139464,2.4396367553548925,1.9547293043309097,0.832380497307699
13,FINA910103,sec_struct,_moran_autocorrelation,Autocorrelation,0.8317515386546065,2.391532866202817,5.719429450128261,2.4379480631451447,1.8740764070512745,0.8449465305031684
14,SNEP660104,meta,_dipeptide_composition,Composition,0.8294889611380158,2.420804377463377,5.860293833945848,2.4217190037927945,1.878387543216761,0.8302584528165666
15,BASU050102,geometry,_conjoint_triad,Conjoint Triad,0.8290316090146238,2.5429094590250854,6.466388516799252,2.41847770279393,2.112569833434433,0.8331493420932958
16,QIAN880104,sec_struct,_dipeptide_composition,Composition,0.8288766255358129,2.4839920797344206,6.170216652183333,2.417382268007901,1.9384342266977137,0.8303348718726852
17,ONEK900101,sec_struct,_moran_autocorrelation,Autocorrelation,0.8285465706782547,2.446613651449519,5.9859183594591485,2.415054367318434,1.893751918337199,0.8314633795096922
18,MAXF760106,sec_struct,_dipeptide_composition,Composition,0.825398600576345,2.669991139967358,7.128852687504192,2.3931842713604747,2.1749547168064076,0.8417059158943776
19,GEOR030104,sec_struct,_conjoint_triad,Conjoint Triad,0.8253515682873019,2.4938339256433597,6.21920764868977,2.392862011056989,1.9315868597494639,0.8262453286682063
20,CORJ870101,hydrophobic,_conjoint_triad,Conjoint Triad,0.8248988914272504,2.6767702020597177,7.165098714634823,2.3897669585664536,2.051822020874265,0.8249498747749014
21,PRAM820102,hydrophobic,_dipeptide_composition,Composition,0.8243146939452378,2.5557265621270138,6.531738260361564,2.3857903642895137,1.996995663861915,0.8244303606387946
