,Index,Category,Descriptor,Descriptor Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,KIDA850101,hydrophobic,_dipeptide_composition,Composition,0.8941048933571125,1.9726961724196774,3.8915301886792455,3.0729964176275173,1.493396226415095,0.8942469957191723
1,ISOY800108,sec_struct,_conjoint_triad,Conjoint Triad,0.873257096367265,2.073989865516259,4.301433962264151,2.8089122607839854,1.707169811320755,0.8741839568382603
2,RADA880108,polar,_tripeptide_composition,Composition,0.8650785335875384,2.0613326885367598,4.249092452830187,2.722447249953419,1.6269811320754712,0.8667199063664951
3,LEVM780105,sec_struct,_tripeptide_composition,Composition,0.8511764861665158,2.324114763509381,5.401509433962265,2.5921744332298893,1.9237735849056605,0.8513302998767065
4,RACS820109,geometry,_conjoint_triad,Conjoint Triad,0.8462129108885398,2.0539239941110057,4.218603773584907,2.5499993026425174,1.682264150943396,0.8476111907656562
5,GEOR030103,sec_struct,_tripeptide_composition,Composition,0.8454645939250038,2.3849057574038675,5.687775471698114,2.543817795589461,1.8964150943396239,0.8461519613769847
6,CHAM810101,geometry,_tripeptide_composition,Composition,0.8444938074263283,2.220601227442864,4.9310698113207545,2.535865153536235,1.7379245283018865,0.8457719627603573
7,FUKS010101,composition,_dipeptide_composition,Composition,0.843925644723057,2.6222790030451217,6.876347169811318,2.5312452477744016,2.12754716981132,0.8450393190526067
8,RICJ880116,sec_struct,_conjoint_triad,Conjoint Triad,0.8436461665248757,2.401948894245263,5.769358490566043,2.5289819701332084,1.8094339622641527,0.8453374065150194
9,ROSM880103,hydrophobic,_conjoint_triad,Conjoint Triad,0.8428797911884603,2.4900303097344483,6.200250943396233,2.5228067027960246,1.9703773584905673,0.848388077830346
10,LEWP710101,sec_struct,_tripeptide_composition,Composition,0.8416329313150914,2.4605836092506994,6.0544716981132,2.5128557627261854,1.9773584905660364,0.8439223699229594
11,SUEM840102,observable,_conjoint_triad,Conjoint Triad,0.8412721918010315,2.401731293785208,5.768313207547169,2.509998664135993,1.8773584905660372,0.8439005239140994
12,TSAJ990101,geometry,_dipeptide_composition,Composition,0.8407285930535655,2.0580642122846395,4.235628301886793,2.5057116475254744,1.514150943396227,0.8425267811054924
13,KRIW790103,geometry,_dipeptide_composition,Composition,0.8395963354793912,2.5752501252397164,6.631913207547176,2.4968523256405417,2.05245283018868,0.8396563465764846
14,AURR980116,sec_struct,_dipeptide_composition,Composition,0.8393832269738234,2.371963202489082,5.626209433962262,2.4951953471244637,1.7575471698113203,0.8406331588815138
15,CHOP780215,sec_struct,_conjoint_triad,Conjoint Triad,0.8371085361273826,2.401201743152947,5.765769811320751,2.477712072336918,1.9275471698113191,0.840374405879363
16,OLSK800101,geometry,_tripeptide_composition,Composition,0.8363721674752855,2.5861645674263105,6.688247169811317,2.4721306049396605,2.0107547169811313,0.8364459203753307
17,QIAN880111,sec_struct,_tripeptide_composition,Composition,0.8360236511153976,2.5353296090282025,6.427896226415097,2.4695020665759944,2.059811320754718,0.8460638869817605
18,CIDH920101,hydrophobic,_conjoint_triad,Conjoint Triad,0.8358306822336055,2.4524069809067175,6.014300000000001,2.4680502813863985,1.8677358490566038,0.836672958432946
19,FINA910104,sec_struct,_dipeptide_composition,Composition,0.834803106914844,2.3274319802394894,5.416939622641511,2.4603622926396267,1.7883018867924534,0.8373180342762051
20,TSAJ990101,geometry,_conjoint_triad,Conjoint Triad,0.8339981637799355,2.2724880388667517,5.164201886792455,2.4543898937079174,1.790377358490567,0.8347695009408825
21,CHOP780209,sec_struct,_tripeptide_composition,Composition,0.833966996648234,2.463354056474053,6.06811320754717,2.4541595181748597,1.9581132075471692,0.8353371159617503
22,JANJ780103,hydrophobic,_moran_autocorrelation,Autocorrelation,0.8336228775214716,2.3999606915019913,5.759811320754717,2.4516202256523805,1.9313207547169808,0.842877871104676
23,PALJ810105,sec_struct,_dipeptide_composition,Composition,0.832843441205088,2.4708084384716362,6.1048943396226445,2.445897702322304,2.0573584905660387,0.8384019996424614
24,LEVM760106,geometry,_tripeptide_composition,Composition,0.8326079409963858,2.361927179233093,5.578699999999996,2.444176556889311,1.9209433962264149,0.8330093351603725
25,PALJ810112,sec_struct,_tripeptide_composition,Composition,0.8312700025211345,2.2207898475924748,4.931907547169807,2.434466764959297,1.8390566037735838,0.8333633003231194
26,RADA880107,hydrophobic,_conjoint_triad,Conjoint Triad,0.8294358493453634,2.3668959052765914,5.602196226415095,2.42134192616097,1.957735849056604,0.8313936850192084
27,AURR980101,sec_struct,_conjoint_triad,Conjoint Triad,0.8293371969541831,2.2471159713462154,5.0495301886792445,2.4206419912696715,1.8386792452830178,0.8316252426544319
28,KUMS000101,composition,_tripeptide_composition,Composition,0.8289542786492397,2.5254489606464405,6.377892452830186,2.417930939899101,1.9847169811320748,0.8289920871482992
29,NOZY710101,hydrophobic,_moran_autocorrelation,Autocorrelation,0.8287815874964699,2.326672658621612,5.413405660377361,2.416711267858357,1.976037735849058,0.83591495477415
30,QIAN880102,sec_struct,_tripeptide_composition,Composition,0.8286793314797974,2.130203728409164,4.5377679245283025,2.415989930042248,1.7745283018867921,0.8290113241670849
31,CHOC750101,geometry,_dipeptide_composition,Composition,0.828329050821081,2.339407681847436,5.472828301886793,2.413523855619558,1.7537735849056602,0.8319511527830634
32,ROBB760102,sec_struct,_conjoint_triad,Conjoint Triad,0.8250008240617607,2.772826702938412,7.688567924528305,2.390462846929763,2.092641509433962,0.8261463436452603
