,Index,Category,Descriptor,Descriptor Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,YUTK870102,observable,_dipeptide_composition,Composition,0.8869672283772574,2.0375315348861878,4.151534755655664,2.9743893100035885,1.5694144773176133,0.8869834563682628
1,RICJ880108,sec_struct,_conjoint_triad,Conjoint Triad,0.8867238038572218,1.8520198191320816,3.429977410458028,2.9711916889947365,1.4655575766749098,0.8867491823764047
2,ROBB760111,sec_struct,_dipeptide_composition,Composition,0.8756346618347864,2.0506054968722918,4.2049829038028586,2.8356349626207744,1.652622634005503,0.8781509216475917
3,AVBF000108,polar,_tripeptide_composition,Composition,0.8728017819094104,2.19784730640971,4.830532782292417,2.8038804099192856,1.7916320126327532,0.8728046251588616
4,RADA880101,hydrophobic,_geary_autocorrelation,Autocorrelation,0.870141568023461,2.4556031215262344,6.029986690449386,2.7750123658443266,2.06003504160541,0.8726782020268511
5,AURR980106,sec_struct,_dipeptide_composition,Composition,0.8686531944160591,2.0214276300111957,4.086169663372679,2.7592448618442824,1.6491404858830092,0.8718886846424282
6,KARS160116,meta,_conjoint_triad,Conjoint Triad,0.8675259122568477,2.133981973071578,4.553879061394465,2.7474799464723385,1.7648687963816503,0.8677776331414628
7,QIAN880126,sec_struct,_dipeptide_composition,Composition,0.8632016964496894,2.1876279409906836,4.785716008203138,2.703707116497058,1.6379992923931412,0.86681072984275
8,PALJ810112,sec_struct,_moran_autocorrelation,Autocorrelation,0.8617381706061183,2.4836174956856523,6.168355864875871,2.6893594390290696,2.0650595618298366,0.86174604113351
9,TAKK010101,observable,_dipeptide_composition,Composition,0.861585537692072,2.129257702833574,4.5337383650761085,2.687876219766746,1.733045359758834,0.8731003521965592
10,BROC820102,hydrophobic,_tripeptide_composition,Composition,0.8602712376039332,2.329347623301378,5.425860350179778,2.6752051621005646,1.8476013246252065,0.8602978460016221
11,EISD840101,hydrophobic,_dipeptide_composition,Composition,0.8601793168338476,2.20828470483795,4.8765213376212335,2.6743256522085845,1.720388883661572,0.8620589900669298
