,Index,Category,Descriptor,Descriptor Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,PALJ810114,sec_struct,_dipeptide_composition,Composition,0.8901818302808078,1.9000554609581752,3.610210754716984,3.0176085346066657,1.5466415094339658,0.8924273397491778
1,NAKH920103,composition,_conjoint_triad,Conjoint Triad,0.884548400071791,1.8815774744752998,3.5403337924528473,2.9430661396407793,1.4396415094339647,0.8910785554243963
2,QIAN880125,sec_struct,_tripeptide_composition,Composition,0.8670996911394395,2.2170934014929076,4.915503150943391,2.743070722785774,1.697188679245285,0.8685918488878845
3,CHAM810101,geometry,_conjoint_triad,Conjoint Triad,0.8625731957260804,2.0666691458698883,4.271121358490574,2.6975175336286723,1.6035849056603795,0.8626530293144682
4,LEVM780102,sec_struct,_tripeptide_composition,Composition,0.8576712176073535,2.0359741537448244,4.145190754716953,2.6506576111865736,1.5747547169811265,0.8576713601825521
5,KARP850102,flexibility,_tripeptide_composition,Composition,0.8560500333392154,2.1730155423212723,4.721996547169813,2.6356893133151575,1.7481698113207549,0.8565174874386475
6,AVBF000102,polar,_tripeptide_composition,Composition,0.8546095419273929,2.315373526245338,5.360954566037772,2.6225999438319323,1.795509433962268,0.8549608310519097
7,CORJ870105,hydrophobic,_tripeptide_composition,Composition,0.8534218317364064,2.2711119627111764,5.157949547169813,2.6119529821119554,1.7112830188679242,0.8534546828453525
8,QIAN880123,sec_struct,_tripeptide_composition,Composition,0.8531594755312613,2.5093860408248903,6.297018301886818,2.6096185841871424,1.9593207547169842,0.8531764039209215
9,FUKS010102,composition,_dipeptide_composition,Composition,0.8520196489698053,2.0825855030126594,4.337162377358492,2.5995487926285006,1.522867924528305,0.8552270507268995
10,KARS160116,meta,_dipeptide_composition,Composition,0.8514292106993265,2.209090122609607,4.88007916981133,2.594378189844248,1.7440754716981142,0.851429877288392
11,VINM940102,flexibility,_tripeptide_composition,Composition,0.8508646346403803,2.4521042253696006,6.012815132075449,2.5894628142132037,1.9404528301886748,0.8530255943340921
12,RICJ880114,sec_struct,_dipeptide_composition,Composition,0.8497419916547536,2.509233213703888,6.296251320754742,2.579771175739182,1.8836981132075514,0.8532810672820785
13,SNEP660102,meta,_conjoint_triad,Conjoint Triad,0.849533512968756,2.395455910441256,5.738209018867946,2.5779833566001886,1.994000000000004,0.8513365983541742
14,CORJ870104,hydrophobic,_dipeptide_composition,Composition,0.8473408970094878,2.1963295582179563,4.823863528301883,2.5594028363938466,1.7889245283018849,0.847358472231955
15,ROSM880105,hydrophobic,_tripeptide_composition,Composition,0.8472957023084731,2.309324784923973,5.332980962264155,2.559024065109813,1.762018867924525,0.8479179526391039
16,LEVM760107,geometry,_tripeptide_composition,Composition,0.8469178775212569,2.234336421688331,4.992259245283015,2.5558641270730726,1.8285660377358521,0.8486077580423138
17,NADH010102,hydrophobic,_geary_autocorrelation,Autocorrelation,0.8459656236194989,2.3880044759921417,5.702565377358503,2.5479515920388525,1.8831132075471746,0.8461172572092789
18,NAKH920106,composition,_conjoint_triad,Conjoint Triad,0.8459208134221782,2.420078904841823,5.856781905660396,2.547581060111254,1.780320754716981,0.8460371862073198
19,LEVM780101,sec_struct,_conjoint_triad,Conjoint Triad,0.8458828472166076,2.5602884787343045,6.55507709433962,2.5472672470735707,2.061999999999999,0.8459165952795982
20,JACR890101,hydrophobic,_conjoint_triad,Conjoint Triad,0.8457934740434404,2.305263337799787,5.314239056603814,2.5465289827535056,1.8446415094339712,0.8533320222827149
21,NAKH900108,composition,_dipeptide_composition,Composition,0.845257175398452,2.3527012495876556,5.535203169811316,2.5421123469831555,1.7758867924528279,0.8496973013632318
22,QIAN880128,sec_struct,_conjoint_triad,Conjoint Triad,0.8443998014035541,2.3867881315495287,5.696757584905691,2.5350990150101125,1.9093962264151003,0.85217309687158
23,TANS770109,sec_struct,_tripeptide_composition,Composition,0.8440690537871072,2.3318624389020646,5.437582433962284,2.5324089683052518,1.8333773584905706,0.8443452059370296
24,CHOP780213,sec_struct,_dipeptide_composition,Composition,0.8432085000485314,2.672505873054247,7.1422876415094425,2.525449813985476,2.1360943396226437,0.8461150160982837
25,KRIW790101,geometry,_tripeptide_composition,Composition,0.8432022045277381,2.3371715327688136,5.462370773584925,2.525399114352356,1.8628113207547232,0.8437505096403695
26,FAUJ880104,geometry,_tripeptide_composition,Composition,0.8418531200088731,2.516831925933126,6.3344429433962475,2.514604485086715,2.040452830188681,0.845535981153329
27,ROBB760103,sec_struct,_tripeptide_composition,Composition,0.8404139643551995,2.278958091131135,5.193649981132067,2.503240385714557,1.8936037735849065,0.8463846978599514
28,ONEK900102,sec_struct,_dipeptide_composition,Composition,0.8402306111216074,2.4004253318078663,5.7620417735849045,2.5018035992940395,1.8473962264150934,0.8405289946899419
29,GEIM800109,sec_struct,_dipeptide_composition,Composition,0.8398110278974539,2.3408006975520967,5.479347905660382,2.498524961918995,1.8536037735849087,0.8399920920093102
30,ISOY800105,sec_struct,_conjoint_triad,Conjoint Triad,0.8385081980779385,2.2445700348862867,5.038094641509426,2.4884261686284104,1.857471698113207,0.8397927840865393
31,CHOC760104,hydrophobic,_tripeptide_composition,Composition,0.8381375853908568,2.6068879226981405,6.795864641509426,2.4855756896406485,2.0132075471698108,0.8383686271919526
32,AURR980115,sec_struct,_dipeptide_composition,Composition,0.8368382787134143,2.6007308406792884,6.763800905660399,2.4756592085655083,2.1681509433962307,0.8383327824624507
33,NAKH920105,composition,_tripeptide_composition,Composition,0.8365264038320028,2.4980005136183907,6.240006566037743,2.4732965501821833,2.032000000000001,0.8396312934968426
34,FUKS010111,composition,_conjoint_triad,Conjoint Triad,0.8362011749457146,2.3746412797614673,5.638921207547178,2.4708399172829694,2.0278113207547177,0.8371573819620082
35,PALJ810104,sec_struct,_moran_autocorrelation,Autocorrelation,0.8361829541693384,2.446163029325264,5.983713566037751,2.4707025021766666,2.0359056603773626,0.8381148342848898
36,RADA880102,hydrophobic,_tripeptide_composition,Composition,0.8355640626252941,2.416643344931926,5.840165056603768,2.4660485974413464,2.0385660377358468,0.8356303699958625
