,Index,Category,Descriptor,Descriptor Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,JUNJ780101,composition,_dipeptide_composition,Composition,0.8400621676582002,2.1146192761148943,4.471614682916679,2.5004858264093843,1.5519451322591191,0.8401070732619538
1,FINA910101,sec_struct,_dipeptide_composition,Composition,0.8244067279601055,2.150311386720977,4.62383905986189,2.3864155166641883,1.765455643889102,0.8285601073777356
2,MANP780101,hydrophobic,_tripeptide_composition,Composition,0.8236705627052607,2.444231950811915,5.974269829369819,2.3814287326013877,2.0098682381108333,0.8325185535790642
3,RADA880106,hydrophobic,_tripeptide_composition,Composition,0.8181395464653856,2.4651804585563637,6.077114693248165,2.3449353035433553,2.0016726354958836,0.8248457039829775
4,KARS160110,meta,_dipeptide_composition,Composition,0.8174591092458906,2.345949943382619,5.503481136856915,2.3405607468443668,1.785193959202857,0.8186271908035901
5,NADH010103,hydrophobic,_dipeptide_composition,Composition,0.8152930246480652,2.4079017322131637,5.797990751995155,2.3267962312084807,1.9634948906999732,0.8154637251783956
6,KOEP990102,sec_struct,_dipeptide_composition,Composition,0.8133253301748797,2.2707721772126184,5.156406280802936,2.3145006339400136,1.8905136983179136,0.8150618208674616
7,OOBM770104,geometry,_moran_autocorrelation,Autocorrelation,0.8119202486455527,2.376493687783869,5.6477222480765725,2.3058389927196123,1.9761079931320704,0.8360282109543976
8,RACS770103,geometry,_conjoint_triad,Conjoint Triad,0.8102670262485174,2.2205210013738665,4.9307135175424,2.2957711458022025,1.7042722565526602,0.8131651235705913
9,MONM990101,sec_struct,_dipeptide_composition,Composition,0.8012755291199208,2.662662266494595,7.0897703454141325,2.2432326908222158,2.1729768655433603,0.8057569858457341
10,PARS000101,composition,_dipeptide_composition,Composition,0.7989890859405862,2.704954202029102,7.316777235074897,2.230438129488989,2.2275319001574094,0.7994910553109289
11,GEOR030101,sec_struct,_tripeptide_composition,Composition,0.7958035626471757,2.451821416766419,6.01142825971449,2.2129720036445817,2.020240562101771,0.7981731370558758
12,GEIM800104,sec_struct,_dipeptide_composition,Composition,0.7955686787757384,2.798803619332615,7.833301699589345,2.2117003276129865,2.3407966237240725,0.8016649602780789
13,QIAN880115,sec_struct,_moran_autocorrelation,Autocorrelation,0.7949754086425947,2.4611652535277098,6.057334405172115,2.208498062139501,1.8378800162344262,0.7955842633508521
14,NAKH900103,composition,_tripeptide_composition,Composition,0.7949130106308027,2.56867819805444,6.598107685160206,2.2081620672232636,2.047850736698723,0.7949353900060271
15,QIAN880109,sec_struct,_dipeptide_composition,Composition,0.7944636199670715,2.4281133824239567,5.895734597906308,2.205746751686529,2.0535190594091834,0.7945077195568864
16,CHOP780214,sec_struct,_dipeptide_composition,Composition,0.7937171852066413,2.540221682001887,6.452726193712496,2.201752385583615,2.127479615355811,0.7942386192239579
17,MEIH800103,geometry,_dipeptide_composition,Composition,0.7936155067491864,2.486105609655403,6.180721102360062,2.201209955377576,1.9454485923831804,0.7950378830288949
18,KARS160109,meta,_tripeptide_composition,Composition,0.7934901014152831,2.4614735260959737,6.058851919671347,2.2005414997934847,1.8705934372243593,0.7953789536565276
19,PRAM820101,hydrophobic,_dipeptide_composition,Composition,0.7933067579023974,2.659144070407591,7.07104718718385,2.199565307940758,2.081388591536242,0.7934393282496448
