,Index,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
781,BUNA790103,_dipeptide_composition,0.8505437389891329,2.190075518369054,4.7964307761594815,2.586681418977084,1.7454059008611693,0.8584836490808395
5221,ONEK900101,_dipeptide_composition,0.8489159489322617,2.2276612831983575,4.962474792660952,2.5727091398732083,1.6849079180947255,0.8570587035721307
2552,GEIM800108,_tripeptide_composition,0.8461556313458924,2.138003902194668,4.571060685799628,2.5495245488598792,1.715347599718024,0.8492306390861422
3751,KHAG800101,_dipeptide_composition,0.8450522158692106,2.506716246238998,6.283626339158533,2.540430481808309,1.9809129128704783,0.8475995520691566
4195,LEVM780106,_conjoint_triad,0.8431720689327415,2.4526032840276497,6.015262868823212,2.5251564660538435,1.8939034608505305,0.8455449377359359
7675,SWER830101,_conjoint_triad,0.8410110790900441,2.545202200086175,6.478054239323505,2.507936690677793,2.0797858519381296,0.8413964396649506
691,BROC820101,_dipeptide_composition,0.8387962726524799,2.40988396955307,5.807540746708863,2.4906486120847564,1.9285231296807073,0.8391992858905662
4135,LEVM780102,_conjoint_triad,0.83842170926075,2.316959045782024,5.368299219831147,2.4877600833414553,1.744976022927301,0.8455015494338365
4531,MIYS990102,_dipeptide_composition,0.8373410246933848,2.179199692695632,4.748911300644738,2.4794821377116354,1.7143950066723634,0.8373435634735769
4930,NAKH900106,_conjoint_triad,0.8360947600626512,2.298172642360559,5.281597494094514,2.470037695120682,1.9232002529708736,0.8416924822762142
6707,RACS820105,_tripeptide_composition,0.8355823390500728,2.0114475386200588,4.045921200620693,2.4661856547957908,1.5827063988173429,0.8358041881050625
5035,NAKH900113,_conjoint_triad,0.8346491467486182,2.458312182847624,6.04329878833705,2.459216589436505,1.8905089934411898,0.8356907947320247
4864,NAKH900102,_moran_autocorrelation,0.8333404642019282,2.4332256024135135,5.920586832240606,2.4495421454331687,1.985790144022829,0.8335791793570878
721,BULH740101,_dipeptide_composition,0.83330779808618,2.464137902599543,6.071975603027676,2.4493021193645053,2.008540271403496,0.8348083555290585
5926,PRAM900103,_dipeptide_composition,0.8329298559991406,2.5027659450793713,6.263837375849039,2.446530174460105,1.995151651045948,0.8345544933569979
4067,LEVM760105,_tripeptide_composition,0.8324804561031449,2.610627072484158,6.8153737115872035,2.443246352314465,2.0106401939671996,0.8327255711700933
8027,WARP780101,_tripeptide_composition,0.8308218275492357,2.6230741183452357,6.880517830332637,2.431240017053528,2.1471034012286907,0.8311351197287375
3872,KRIW790102,_tripeptide_composition,0.8305022674083773,2.2282419671295632,4.965062264077425,2.428947083902479,1.745572317449476,0.8409415727826997
6632,RACS770103,_tripeptide_composition,0.8294314734600302,2.426873217125467,5.889713612000914,2.4213108665546246,1.9466061148976015,0.8294470862856616
1636,COWR900101,_dipeptide_composition,0.8289216334142391,2.5897919420660176,6.707022303190074,2.417700233670041,2.1009858976734157,0.8308403147580959
6980,RICJ880101,_geary_autocorrelation,0.8272446830382654,2.5210495564866524,6.355690866261547,2.405937208240735,2.063636087389582,0.8281994114541165
4576,MIYS990105,_dipeptide_composition,0.8268817586497523,2.362990077553058,5.583722106614208,2.4034139865604223,1.857492233466454,0.8280266813390824
4966,NAKH900109,_dipeptide_composition,0.8266362904355832,2.41049783459994,5.810499810611001,2.401711869310754,1.8595791862128523,0.8267845589180356
3796,KLEP840101,_dipeptide_composition,0.823763920592262,2.1905894073556684,4.798681951618858,2.382059408567048,1.8119213542735781,0.8285201636276349
8311,YUTK870102,_dipeptide_composition,0.8218863301363513,2.334172951989618,5.448363369799927,2.3694708706292635,1.8474136175956182,0.8317283723031922
