,Index,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
3916,KUMS000101,_dipeptide_composition,0.8620199921094464,2.2807500421389855,5.201820754716985,2.6921045204271175,1.871509433962265,0.862127235082406
212,AURR980111,_tripeptide_composition,0.8558328024291822,2.4117221592847096,5.816403773584903,2.63370283844099,1.9456603773584902,0.8598737918768666
3107,ISOY800108,_tripeptide_composition,0.8548601863148582,2.379906054908194,5.663952830188684,2.6248634730170863,1.9545283018867932,0.8568287922302336
632,BIOV880101,_tripeptide_composition,0.851115850404198,2.37335762477852,5.632826415094338,2.591646524517143,1.862264150943396,0.8518215276946599
2596,GEIM800111,_dipeptide_composition,0.8495323309083213,2.2352632701300434,4.996401886792456,2.577973230377956,1.677169811320756,0.8574466465555558
5387,OOBM850105,_tripeptide_composition,0.8468187127183125,2.367008700592215,5.602730188679247,2.5550366996519664,2.0390566037735853,0.8473676644268049
5671,PARS000102,_dipeptide_composition,0.8462691818804594,2.4092980266318387,5.804716981132072,2.55046595553489,1.9528301886792447,0.8462990541455077
5405,PALJ810101,_geary_autocorrelation,0.8448957675199106,2.4937968324443416,6.219022641509431,2.5391489357724377,1.9422641509433967,0.8452967157659219
1561,CORJ870105,_dipeptide_composition,0.8429128554164554,2.191237696259681,4.801522641509434,2.5230721932260116,1.7318867924528303,0.8434593565513283
7280,ROBB760104,_geary_autocorrelation,0.8426764292715203,2.428630719111351,5.8982471698113175,2.5211756417088087,2.0288679245283014,0.8512966294486309
4517,MIYS990101,_tripeptide_composition,0.8414185589478648,2.1793715556000284,4.749660377358487,2.511156733480306,1.816226415094339,0.8470776614026461
2695,GEOR030106,_conjoint_triad,0.8413681367428466,2.2089884989920714,4.879630188679244,2.5107576077301315,1.7988679245283017,0.8462507537017316
2971,HUTJ700102,_dipeptide_composition,0.8402706555544791,2.5620473829445163,6.564086792452845,2.5021171829639384,2.0660377358490583,0.8452106595497659
2221,FINA910104,_dipeptide_composition,0.8401412602254937,2.441091620952969,5.958928301886794,2.5011043268035555,1.9211320754716985,0.8406418634217079
8035,WARP780101,_conjoint_triad,0.8375698101325844,2.429506899266784,5.902503773584904,2.481227717763415,1.9496226415094338,0.8378586641409531
3031,ISOY800103,_dipeptide_composition,0.8372390390307538,2.2821758072274667,5.208326415094339,2.4787051969393885,1.8760377358490568,0.8373840212407543
661,BLAM930101,_dipeptide_composition,0.8350885268621185,2.4453479128938556,5.979726415094336,2.462490503845376,1.8039622641509432,0.8406264260473915
3316,KANM800101,_dipeptide_composition,0.8326525964213802,2.1403940741024368,4.581286792452828,2.4445026404148447,1.7196226415094338,0.8332156264353259
4145,LEVM780103,_geary_autocorrelation,0.831201520241858,2.511830122846236,6.309290566037738,2.4339728779702225,2.046792452830189,0.8314492491081856
1157,CHOP780101,_tripeptide_composition,0.8311063506956154,2.361749431535548,5.577860377358483,2.433287024073056,1.8588679245283,0.8323683190456195
7795,TANS770107,_conjoint_triad,0.8309318432269512,2.3435793459883953,5.492364150943395,2.4320309141236987,1.7994339622641504,0.8316490556410805
197,AURR980110,_tripeptide_composition,0.8302564981783205,2.3587240714596143,5.5635792452830195,2.4271880277751854,1.704716981132077,0.8361682557667693
5290,OOBM770103,_conjoint_triad,0.8291177092522303,2.3866768560268787,5.696226415094346,2.4190869095198764,1.9883018867924545,0.8291693988837602
3676,KARS160118,_dipeptide_composition,0.8289602470325526,2.665907045896103,7.107060377358488,2.417973126035753,2.1007547169811316,0.8320336199912544
6091,QIAN880106,_dipeptide_composition,0.8288310422490397,2.4097177475051956,5.806739622641513,2.4170603651120848,1.7003773584905664,0.8340496017633271
8012,VINM940104,_tripeptide_composition,0.828482664720857,2.6559878949485447,7.054271698113201,2.4146044106418816,2.0943396226415087,0.828914097860042
751,BUNA790101,_dipeptide_composition,0.8270213709683457,2.7210358044422356,7.404035849056603,2.4043836974517085,2.228490566037735,0.8270737695632873
7892,VASM830102,_tripeptide_composition,0.8263912690908473,2.4146498632853906,5.8305339622641545,2.400016452125105,1.9711320754716992,0.8268628575426337
2462,GEIM800102,_tripeptide_composition,0.8260883990775547,2.692140902982129,7.247622641509431,2.3979257067092936,1.8690566037735836,0.8261304995713411
6010,PUNT030102,_conjoint_triad,0.8258836116398132,2.4420533426405506,5.963624528301886,2.3965151285815476,1.9405660377358485,0.8262368881227908
8447,ZIMJ680103,_tripeptide_composition,0.8258057152776446,2.4903269467856606,6.2017283018867895,2.3959792307325554,1.8464150943396218,0.8259821028599588
1337,CHOP780212,_tripeptide_composition,0.8248799057890169,2.6056437295384463,6.789379245283023,2.3896374118090145,2.004716981132075,0.8264198100170332
2056,FAUJ880107,_dipeptide_composition,0.8239077758023561,2.6148956471115667,6.83767924528302,2.3830321991091292,2.0913207547169805,0.8246973185851483
5131,NAKH920107,_dipeptide_composition,0.8224060076380435,2.5193485231567463,6.3471169811320785,2.3729351241106533,1.9592452830188671,0.82271838250382
6076,QIAN880105,_dipeptide_composition,0.8219093570017227,2.507410902497287,6.287109433962258,2.369624050274905,2.01132075471698,0.8358191972348517
1639,COWR900101,_moran_autocorrelation,0.821263824109223,2.558224620229266,6.5445132075471735,2.3653410507123316,2.0769811320754723,0.8226920227447115
175,AURR980108,_conjoint_triad,0.8210603237904047,2.5297609701388257,6.399690566037734,2.363995668290859,1.9230188679245281,0.8304051978787712
5611,PALJ810115,_dipeptide_composition,0.8210123154757358,2.3781326906502973,5.655515094339623,2.3636786099986966,1.8937735849056603,0.8212063573398807
7540,ROSM880105,_conjoint_triad,0.8206077851284604,2.863329965366555,8.198658490566036,2.3610120522949636,2.258301886792452,0.8237204663412218
7336,ROBB760108,_dipeptide_composition,0.8195245751836071,2.463275545913275,6.0677264150943415,2.353916014784821,1.9303773584905661,0.8195273292898833
1996,FAUJ880103,_dipeptide_composition,0.818626076572434,2.617173327545406,6.849596226415094,2.348078306495443,2.03811320754717,0.8222326587987938
4861,NAKH900102,_dipeptide_composition,0.8185407910363565,2.1582972848547337,4.6582471698113155,2.34752644513242,1.6590566037735839,0.8192858878301974
8416,ZIMJ680101,_dipeptide_composition,0.818066621389869,2.5232193422405036,6.3666358490566,2.3444652915946267,1.9375471698113202,0.8370431619590258
5485,PALJ810106,_conjoint_triad,0.8178833614102856,2.658326541266141,7.0667000000000035,2.3432854026915053,1.9964150943396222,0.8231370778525782
1262,CHOP780207,_tripeptide_composition,0.8177561036385792,2.484086332167298,6.17068490566038,2.3424671219145905,2.0043396226415093,0.8181641823842172
4420,MEEJ810101,_conjoint_triad,0.8173661843674459,2.5440834061324504,6.472360377358491,2.339965227348296,1.9877358490566037,0.8182443773948208
541,BASU050103,_dipeptide_composition,0.8171342221636624,2.3185323920165932,5.375592452830186,2.338480652884565,1.8037735849056598,0.8180550688566584
6505,QIAN880133,_conjoint_triad,0.8155635821479155,2.380902001263942,5.668694339622644,2.328502243165654,1.8675471698113202,0.8238827806582805
406,AVBF000104,_dipeptide_composition,0.8154077435906335,2.765797506878731,7.649635849056604,2.327519138412913,2.1341509433962265,0.820902122879573
2716,GEOR030108,_dipeptide_composition,0.8149902074820802,2.6499967960108792,7.022483018867924,2.324891244503659,2.1988679245283014,0.8163407702447014
