,Index,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
3122,JACR890101,_tripeptide_composition,0.7885837429664208,2.767875010810947,7.6611320754716985,2.174857517866217,2.1283018867924532,0.7914901108435893
7562,SNEP660101,_tripeptide_composition,0.7872650598556801,2.8542586520548885,8.146792452830189,2.1681063793347057,2.166037735849056,0.7908362467287051
6677,RACS820103,_tripeptide_composition,0.7794761358088226,2.9873317431106017,8.924150943396226,2.129473319198238,2.4830188679245286,0.7880395339324124
7180,RICJ880114,_conjoint_triad,0.7733747887984328,2.815221429677106,7.925471698113209,2.100612227157176,2.216981132075472,0.7817596360746834
767,BUNA790102,_tripeptide_composition,0.768906883950148,2.95376318975169,8.724716981132076,2.080206723244862,2.322641509433962,0.7689115043546842
1600,CORJ870107,_conjoint_triad,0.7625814779199039,2.8719200072950994,8.247924528301885,2.052308771946822,2.339622641509434,0.7625831175208577
7517,ROSM880104,_tripeptide_composition,0.7599042053672413,2.824956169304325,7.980377358490566,2.040834199281273,2.124528301886792,0.7614983548685608
4007,LEVM760101,_tripeptide_composition,0.7577203526559744,2.8238205084868517,7.973962264150943,2.0316155748665343,2.3245283018867924,0.7654892718736656
6190,QIAN880112,_conjoint_triad,0.7545308074951201,3.0466808416608715,9.282264150943396,2.0183733489307025,2.486792452830189,0.7545308074951201
6325,QIAN880121,_conjoint_triad,0.7520164668973661,3.2442983367922884,10.525471698113208,2.0081149915554257,2.5339622641509436,0.7592170020832729
2551,GEIM800108,_dipeptide_composition,0.7506992296392605,2.836187981102618,8.043962264150943,2.0028027993304063,2.303773584905661,0.7564851549272217
4321,MAXF760104,_dipeptide_composition,0.7486322716581375,3.128143701761146,9.785283018867927,1.994551432946551,2.5773584905660387,0.7582323418918475
4097,LEVM760107,_tripeptide_composition,0.7465665167613513,3.110481367830813,9.675094339622646,1.9864059328834678,2.501886792452831,0.7469484759771339
3325,KANM800101,_conjoint_triad,0.7454762060179375,2.842334942354314,8.078867924528302,1.9821467551833452,2.196226415094339,0.7469337975733277
347,AURR980120,_tripeptide_composition,0.7443912639863763,3.2136794876055395,10.327735849056602,1.977935629217922,2.643396226415094,0.7462952050536336
2657,GEOR030104,_tripeptide_composition,0.7424676197206227,3.147116080261659,9.90433962264151,1.9705346641787211,2.4660377358490564,0.7503062567839789
2342,FUKS010107,_tripeptide_composition,0.7369591366667498,2.7114710899617043,7.352075471698113,1.9497924723796454,2.1320754716981134,0.7374176627296261
1021,CHAM830105,_dipeptide_composition,0.7349222552614538,3.1719882461891733,10.061509433962266,1.942286835075563,2.5698113207547175,0.7365564591947982
