,Index,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
1249,CHOP780206,_moran_autocorrelation,0.8224286784518511,2.4160875905651724,5.83747924528302,2.3730865974818873,1.976603773584906,0.8308703133727646
5266,OOBM770102,_dipeptide_composition,0.8210630682351466,2.2621662685167707,5.11739622641509,2.3640137971101614,1.7166037735849045,0.8248927120259776
6184,QIAN880112,_moran_autocorrelation,0.8180650224215246,2.2802681073745337,5.199622641509438,2.344454989194087,1.8905660377358493,0.8220117090184355
1324,CHOP780211,_moran_autocorrelation,0.8080905113695223,2.7129667670735085,7.360188679245285,2.282715437667656,2.137735849056603,0.8109592666534735
1349,CHOP780212,_amp_pseudo_AAC,0.8079104900372951,2.700191467704495,7.291033962264153,2.28164553593433,2.124528301886793,0.8142507853149756
4051,LEVM760104,_dipeptide_composition,0.8066211852606958,2.5467344980923285,6.485856603773585,2.2740266656126242,2.1116981132075474,0.809546051356471
7225,RICJ880117,_conjoint_triad,0.8065203438797299,2.666628144375845,7.110905660377361,2.273433978294714,2.0924528301886793,0.8160585022513905
5492,PALJ810107,_tripeptide_composition,0.8065196874820753,2.6116545756744918,6.82073962264151,2.2734301218868507,2.166792452830188,0.8167573235785257
3210,JOND750101,_aa_composition,0.80078919989965,2.7871511119339623,7.768211320754723,2.240492838748336,2.159245283018868,0.8011917095229033
2641,GEOR030103,_dipeptide_composition,0.7991285527170856,2.524152015276897,6.37134339622642,2.2312123013388194,2.11433962264151,0.8078151504029862
478,AVBF000108,_pseudo_AAC,0.7968064214520731,2.7442413117942976,7.530860377358487,2.21842632676588,2.0901886792452826,0.8137341432316695
4066,LEVM760105,_dipeptide_composition,0.7909847679526468,2.614298852573294,6.8345584905660415,2.1873134913812042,2.1581132075471707,0.8171462502128445
4843,NAGK730103,_pseudo_AAC,0.7906343974819499,2.8884062328622933,8.342890566037745,2.1854825054304783,2.221509433962266,0.7910211995900448
6145,QIAN880109,_conjoint_triad,0.7876576722742117,2.624192238701345,6.886384905660377,2.1701098244114703,2.0369811320754727,0.7928553736381351
8297,YUTK870101,_tripeptide_composition,0.7872909600144591,2.4442909995673667,5.974558490566038,2.168238373231625,1.9581132075471699,0.788543239193592
6422,QIAN880128,_tripeptide_composition,0.7840940881385053,2.495369296222165,6.226867924528305,2.152126191417899,1.9516981132075475,0.8144124502860021
2953,HOPT810101,_pseudo_AAC,0.7828775260464733,2.51801658993141,6.340407547169807,2.1460884171684267,1.9056603773584895,0.7837875720573784
556,BEGF750101,_dipeptide_composition,0.7824595929042389,2.8479877040226405,8.111033962264152,2.1440259206241916,2.233207547169811,0.7882376548302138
7678,SWER830101,_pseudo_AAC,0.7816520592072117,2.6511898361244914,7.028807547169809,2.140057536589853,2.138490566037736,0.7922112993745476
3485,KARS160105,_geary_autocorrelation,0.7806673608385502,2.8004056309958396,7.842271698113207,2.13524821659628,2.2750943396226413,0.805818323310057
6649,RACS820101,_moran_autocorrelation,0.7799480830333966,2.65636579658808,7.056279245283025,2.131755645924184,2.1113207547169814,0.7994387052509806
7440,ROSG850101,_aa_composition,0.7780847771833483,2.9125687294506184,8.48305660377359,2.12278716272992,2.370943396226416,0.7811763518219024
1279,CHOP780208,_moran_autocorrelation,0.7769667664949524,2.66317444287969,7.092498113207546,2.117459973664368,2.027169811320755,0.776972569909653
4193,LEVM780106,_transition,0.7769280372582168,2.6829904464699568,7.198437735849057,2.1172761514408305,2.148301886792453,0.781765396616524
7250,ROBB760102,_geary_autocorrelation,0.7762452762105372,2.948423307464517,8.693200000000001,2.114043374699697,2.3264150943396227,0.7787520307644433
7322,ROBB760107,_tripeptide_composition,0.7762412829819854,3.0752794013270432,9.457343396226419,2.11402451086248,2.480754716981133,0.798737219378013
7831,TANS770110,_dipeptide_composition,0.7755673634286018,2.8700798752937238,8.237358490566038,2.1108481600805487,2.2264150943396226,0.7779764850848924
2570,GEIM800109,_geary_autocorrelation,0.775208504372815,2.9337669776663056,8.606988679245289,2.109162599121649,2.3984905660377382,0.7955032014871902
5720,PONP800101,_geary_autocorrelation,0.7751175544284027,3.120055635691665,9.73474716981132,2.1087360482185513,2.4030188679245286,0.7906649701257702
3859,KRIW790101,_moran_autocorrelation,0.774243636037447,2.612885342168836,6.827169811320754,2.104650559542444,2.178867924528302,0.8056357111291561
4412,MEEJ810101,_tripeptide_composition,0.7741561670284293,2.569901253517378,6.60439245283019,2.1042429559244527,2.0241509433962266,0.8107143617131358
7590,SNEP660103,_aa_composition,0.7740506762998236,2.8716401204071653,8.246316981132079,2.103751686390727,2.1271698113207553,0.7853399993406044
3301,JURD980101,_dipeptide_composition,0.7735399621283848,2.91805181843886,8.515026415094338,2.101378150090571,2.395849056603773,0.7823243931073662
2394,FUKS010110,_distribution,0.7720708568921151,2.9190900624086313,8.521086792452827,2.094595041519309,2.412075471698113,0.7830789213468082
2007,FAUJ880103,_quasi_seq_order,0.771998755722155,3.0886389504177627,9.539690566037738,2.0942638268915346,2.099245283018868,0.793869678572334
7396,ROBB760112,_dipeptide_composition,0.7717972575522749,2.8089036335626596,7.889939622641512,2.093339027484858,2.2335849056603783,0.7719984167889564
3950,KUMS000103,_geary_autocorrelation,0.7716050220860952,2.920151197946423,8.52728301886793,2.09245788132504,2.2003773584905666,0.7930099734982112
2239,FODM020101,_moran_autocorrelation,0.7711960839830223,2.7265030474812484,7.433818867924535,2.0905871344152755,1.966415094339624,0.7739522546419098
2076,FAUJ880108,_CTD,0.7708737035359934,3.076415458853323,9.4643320754717,2.0891158898242552,2.382641509433962,0.7766819174437851
946,CHAM820102,_dipeptide_composition,0.7701585639208534,2.8062948109629775,7.875290566037733,2.085863270314989,2.2958490566037733,0.7763037797713856
7643,SUEM840102,_transition,0.7695677083648621,2.754769448970482,7.588754716981133,2.0831873542337296,2.2475471698113205,0.7701469279603302
7585,SNEP660102,_conjoint_triad,0.769154445647292,2.7563347278724115,7.597381132075481,2.0813218443798713,2.236603773584908,0.7856239448040006
6355,QIAN880123,_conjoint_triad,0.7687387739305184,2.8669871109475937,8.21961509433963,2.079450506618378,2.2116981132075475,0.7834313230575933
8371,ZHOH040101,_dipeptide_composition,0.7671981079382169,2.9986311342419696,8.99178867924528,2.072558258472678,2.427924528301887,0.7841453186033694
6002,PUNT030102,_tripeptide_composition,0.7668344418725448,2.5105453064720917,6.3028377358490495,2.070941353224526,1.9486792452830173,0.7735134705161585
2674,GEOR030105,_moran_autocorrelation,0.7667644249044677,3.2595126386485185,10.624422641509426,2.070630483155786,2.4981132075471684,0.7669269301562532
32,ARGP820102,_tripeptide_composition,0.7658889686532067,3.0865636996015664,9.526875471698109,2.0667553042424562,2.3513207547169803,0.7662018084668416
3171,JANJ780103,_CTD,0.7657115753865835,2.8580016768549417,8.168173584905658,2.065972726314189,2.340754716981131,0.7672564184148475
2399,FUKS010110,_amp_pseudo_AAC,0.7636725482352218,2.863937123795947,8.2021358490566,2.0570408388862615,2.3354716981132064,0.7680338164548524
1,ANDN920101,_dipeptide_composition,0.7632605536719671,2.9623053235932106,8.775252830188675,2.055250138825206,2.2667924528301886,0.7753097023690959
4384,MEEJ800101,_moran_autocorrelation,0.761383999504804,2.7171988906446933,7.3831698113207525,2.047152607793891,2.188679245283019,0.7939962717623391
1771,DIGM050101,_dipeptide_composition,0.7609347885931412,2.9631294013351157,8.780135849056602,2.045228371973617,2.2256603773584906,0.7842079599868175
2884,GUYH850104,_moran_autocorrelation,0.7608790691343728,2.9420914137382703,8.655901886792453,2.0449900706736672,2.453962264150942,0.7940309055948238
1453,CIDH920103,_pseudo_AAC,0.7602718994557849,2.3266641437336526,5.413366037735851,2.0423987116356987,1.7483018867924534,0.767971786576868
7450,ROSG850101,_conjoint_triad,0.7602355761461437,2.8109865319881675,7.901645283018865,2.042243998335082,2.3388679245283015,0.7792182778052876
1843,EISD860103,_pseudo_AAC,0.7596775326878142,2.794113758978544,7.807071698113208,2.0398715125742837,2.2464150943396226,0.7713381724982044
1588,CORJ870106,_pseudo_AAC,0.759387413072284,2.7080021181118212,7.333275471698111,2.0386413499142577,2.044905660377359,0.7750515071831588
7827,TANS770109,_quasi_seq_order,0.7591865886196804,2.8205619672896316,7.955569811320757,2.037791118147107,2.23433962264151,0.7692636197881868
2897,GUYH850105,_tripeptide_composition,0.7590625784217568,2.648327346807614,7.0136377358490565,2.0372666263442474,2.1513207547169806,0.7732498367359918
1993,FAUJ880102,_pseudo_AAC,0.7589976802250027,3.1447962408121786,9.889743396226411,2.036992305680989,2.4690566037735846,0.7840145536818838
3767,KIDA850101,_tripeptide_composition,0.7589108270106973,3.001202274812483,9.007215094339623,2.036625355842695,2.250566037735848,0.7968265030061267
4607,MONM990201,_tripeptide_composition,0.7586629874591191,3.0296472177715583,9.178762264150944,2.03557933732012,2.1599999999999997,0.765446243071065
3001,ISOY800101,_dipeptide_composition,0.758369203965441,2.980141822635102,8.881245283018867,2.0343414953246683,2.2366037735849056,0.7742560149049814
3392,KARP850102,_tripeptide_composition,0.75820223731118,2.698776801889162,7.283396226415092,2.033638995337727,2.0166037735849054,0.7649192954025114
7712,TANS770102,_tripeptide_composition,0.7573986987202707,3.0688563415844383,9.417879245283022,2.03026831520717,2.3173584905660376,0.7611331826330968
3347,KANM800103,_tripeptide_composition,0.7573754345602067,3.0266215052181624,9.160437735849055,2.0301709763015796,2.381886792452831,0.7947042520189902
