,Index,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
3466,KARS160104,_dipeptide_composition,0.7721826315961646,2.824155813660879,7.97585605983454,2.0951088171644026,2.3028609368726585,0.7745449575087209
3901,KUHL950101,_dipeptide_composition,0.7716039725406736,2.8009956677358168,7.845576730674813,2.0924530735966913,2.1075017576384667,0.7718762959809373
3916,KUMS000101,_dipeptide_composition,0.7693723095354843,2.7933617007868192,7.802869591422632,2.0823046791640465,2.174371859192358,0.7710768795188473
7510,ROSM880103,_conjoint_triad,0.7689389844767994,2.4057350310990957,5.787561039857367,2.080351216274417,2.0321630879221853,0.7689941314073029
1126,CHOC760103,_dipeptide_composition,0.7661990109599705,2.553362818545988,6.519661683133112,2.068125207105376,1.9967225309588599,0.7723277749949419
3646,KARS160116,_dipeptide_composition,0.7621584897010985,2.7772625872084062,7.71318747830753,2.0504829999387044,2.183837168977681,0.7662040840355624
4519,MIYS990101,_moran_autocorrelation,0.7606700721489462,3.001840883060107,9.011048687211083,2.0440969727823934,2.55695144273157,0.7615607460586953
811,BURA740102,_dipeptide_composition,0.7603068788917486,2.5986503766183193,6.752983779898532,2.042547734161561,2.086895535508674,0.7661517021740395
616,BIGC670101,_dipeptide_composition,0.7599701205064892,2.99732068681421,8.983931299604409,2.041114399056071,2.385493122888551,0.7793123541841246
8401,ZHOH040103,_dipeptide_composition,0.7597029654956076,2.52967141967116,6.399237491501103,2.0399794587409077,1.9979147482088793,0.7899604807781783
5521,PALJ810109,_dipeptide_composition,0.7596545320697804,2.2999370141971442,5.2897102692740745,2.039773904268091,1.8995350592133893,0.7597447188128338
3526,KARS160108,_dipeptide_composition,0.7594507129064896,3.0838185192209773,9.509936659490261,2.038909563494589,2.5938270299366137,0.7601224601467881
7352,ROBB760109,_tripeptide_composition,0.756823069747594,2.715457237993729,7.373708011372531,2.0278639471503643,2.1297330984991465,0.761132235999019
6946,RADA880107,_dipeptide_composition,0.7565445941040776,2.9586103860936457,8.753375416701191,2.026703832644788,2.378549517419402,0.7573729072000842
6740,RACS820107,_geary_autocorrelation,0.7551547968984885,2.830619265474859,8.01240542607743,2.020943630402221,2.2275682447166614,0.7552280865652504
6421,QIAN880128,_dipeptide_composition,0.7528053962181325,2.5959235008354344,6.738818822189699,2.011316919774573,2.0391515238371913,0.7528723555431123
7670,SWER830101,_geary_autocorrelation,0.7504403490465649,2.425617396120887,5.883619752364273,2.001763726494401,1.958751119936265,0.7525621300294973
7025,RICJ880104,_geary_autocorrelation,0.7500101870547733,2.598966154116,6.75462507024051,2.0000407494644485,2.1025339063096187,0.7565054215145081
6160,QIAN880110,_conjoint_triad,0.7489612169161204,2.634510904648199,6.940647706710274,1.9958577718336346,2.1131596724179853,0.7490780229993419
7930,VELV850101,_conjoint_triad,0.7483690506821234,2.556057965590694,6.533432323459639,1.9935079501286972,1.9744552050228825,0.7710015296390952
6001,PUNT030102,_dipeptide_composition,0.7476087675086611,3.0487349333994205,9.294784694129968,1.9905031435648675,2.541850468922574,0.7487947331272022
5645,PARJ860101,_geary_autocorrelation,0.7471751353052192,3.0759867839415005,9.461694694982775,1.9887954066915627,2.370141118849848,0.7499745735188188
