,Index,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
2250,FUKS010101,_aa_composition,0.8860713597651665,2.0228735590724862,4.092017435994587,2.962671795192399,1.5871712305432304,0.8860721239655216
5365,OOBM850103,_conjoint_triad,0.8698400580505964,2.112033710677368,4.460686395037611,2.7717964032598514,1.60855944983672,0.8715520916141611
1228,CHOP780204,_pseudo_AAC,0.8578045468309778,2.2281763141450353,4.964769686916954,2.651900011378699,1.6271578662063046,0.8658410110779342
298,AURR980116,_pseudo_AAC,0.8567347059222309,2.4068172373231027,5.792769213875612,2.641979857396387,1.8865390511405569,0.8579970441024214
4223,LIFS790101,_transition,0.8561776725855702,2.7169845987767975,7.382005309990315,2.6368586129500295,2.1490525958827433,0.8563413384903341
387,AVBF000102,_quasi_seq_order,0.8551836512813011,2.395376787457571,5.737829953890553,2.627793314145348,1.7746839662748042,0.8579758798960311
6990,RICJ880102,_aa_composition,0.8536695156002573,2.255093204253674,5.085445359871103,2.6141625869097114,1.765699388417825,0.8601153297347763
5832,PONP800108,_quasi_seq_order,0.8535254714574281,2.5285587833294714,6.393609520752616,2.612876877254098,1.9690055898118044,0.8535640862382731
4380,MEEJ800101,_aa_composition,0.8525644255524754,2.5624359917427775,6.566078211778791,2.604347049525274,2.0690292162523254,0.8612897170697658
6973,RADA880108,_pseudo_AAC,0.8521988711801014,2.491250877232383,6.206330933311119,2.6011244089115633,1.89314909996754,0.8534661558837533
8400,ZHOH040103,_aa_composition,0.8518112683516211,2.648459092477573,7.014335564527131,2.5977204277342896,2.1412109008539666,0.853170454076734
613,BHAR880101,_pseudo_AAC,0.8502893619602343,2.119159834531576,4.490838404291897,2.5844829376829868,1.6093447194321837,0.8509084063878121
7392,ROBB760111,_quasi_seq_order,0.8497261627560437,2.2816340160863846,5.2058537833624845,2.579635303744546,1.838240446248769,0.8512849059917971
8353,YUTK870104,_pseudo_AAC,0.849081416256638,2.0737865827871236,4.300590790947895,2.574119114267444,1.4629568841088352,0.8491000165742741
7977,VINM940101,_quasi_seq_order,0.8482496737494327,2.471634602224883,6.108977606915356,2.567055056766325,1.903700601348473,0.8521252107951339
5667,PARS000101,_quasi_seq_order,0.8468882339277426,2.7588738362029064,7.611384844084942,2.5556166978038255,1.9630459804139326,0.8498815377304947
6743,RACS820107,_transition,0.8456817468612929,2.592672863885329,6.721952579127354,2.5456069660179477,2.1528152062150854,0.8508377876978774
6111,QIAN880107,_CTD,0.8454452083797461,2.1860620232897534,4.778867169669691,2.5436582572118276,1.7655671675523346,0.8467475826610973
2607,GEIM800111,_quasi_seq_order,0.8438860684695272,2.3707569142374694,5.620488346404767,2.530924380980371,1.9646286501912296,0.850977270880882
810,BURA740102,_aa_composition,0.8425103111087653,2.5880481637024024,6.697993297643377,2.519845638562196,2.0451035485940414,0.8471208213815435
240,AURR980113,_aa_composition,0.8415376994916156,2.5461705295727404,6.48298436566473,2.512100567956389,1.9567752365389672,0.8416871768844626
3525,KARS160108,_aa_composition,0.8414664024555404,2.348078910513348,5.513474569997551,2.5115356231456265,1.9260989996077702,0.8425598524538325
4884,NAKH900103,_distribution,0.8412696542060437,2.4412115020952374,5.9595135979620855,2.5099786005953564,1.9411396915840524,0.844860317932113
1478,CIDH920105,_transition,0.8409825956744317,2.46170324833015,6.059982882839212,2.507712068088379,1.9631553302700422,0.8428216172312262
2773,GOLD730102,_pseudo_AAC,0.8403605014745347,2.439368880762527,5.950520536432623,2.5028211860490535,1.8875170460716681,0.8414288317501445
1980,FAUJ880102,_aa_composition,0.8400918405073405,2.5943513839387333,6.730659103344822,2.500717812998587,2.0690273994504893,0.8553032804245903
7397,ROBB760112,_tripeptide_composition,0.8395181370245428,2.5541618108129245,6.523742555815157,2.4962439273423436,1.965274185158518,0.8401996323303336
6987,RICJ880101,_quasi_seq_order,0.8395073328129102,2.616055781977314,6.843747854416936,2.4961599035608737,1.9898948212985519,0.8395446366485766
5234,ONEK900101,_amp_pseudo_AAC,0.8389819234362821,2.2920649715591463,5.253561833848431,2.492084033720896,1.8458045262323293,0.8433844723152991
5037,NAKH900113,_quasi_seq_order,0.8386209351472901,2.338143961917151,5.4669171866496304,2.4892952060589804,1.9168923800493614,0.8523057953858455
7755,TANS770105,_aa_composition,0.838435308634204,2.682985357919594,7.198410430810932,2.4878647821659547,2.0071272649108063,0.8548045856508261
3312,JURD980101,_quasi_seq_order,0.8383602545275219,2.7103471169939053,7.345981494597173,2.4872871205621196,2.1328344757892053,0.8385344282461669
7446,ROSG850101,_CTD,0.8379850980857001,2.685100061404466,7.209762339754269,2.484405710957686,2.2131411977522615,0.8386475537696326
8483,ZIMJ680105,_transition,0.837791116515342,2.6114144666608143,6.819485516685385,2.4829197470610676,1.791941711544731,0.8378204053903128
4797,NADH010107,_quasi_seq_order,0.8376798091182276,2.3339083394967566,5.447128137172507,2.482068298060176,1.848222386309321,0.838597476104384
1767,DESM900102,_quasi_seq_order,0.8376425420753735,2.6409015175029604,6.974360825149439,2.481783418463551,1.9543443713538275,0.8376545102489613
180,AURR980109,_aa_composition,0.8370234125752507,2.5081582848316244,6.290857981769515,2.477064926623049,2.0197906084316974,0.8370566749565588
5745,PONP800103,_aa_composition,0.8363765504664621,2.3770380167290655,5.650309732975249,2.4721637152734752,2.022820698566998,0.8401550261176115
1845,ENGD860101,_aa_composition,0.8362017473139237,2.3176329045825192,5.371422280403604,2.4708442342673074,1.8569202963398432,0.8368964727529434
4438,MEEJ810102,_pseudo_AAC,0.8360863444592079,2.5658267298379562,6.583466807550941,2.469974286356848,2.035780891555189,0.8360942233643953
3282,JUKT750101,_quasi_seq_order,0.8357916419915874,2.5990382608182894,6.754999881197358,2.467756876686715,1.9921684575808563,0.8358558577156003
342,AURR980119,_quasi_seq_order,0.8356918869660217,2.5609246819921925,6.558335226836813,2.467007648541227,1.9135883999459664,0.8360243705963183
2634,GEOR030102,_distribution,0.8355005998529126,2.3761606510570012,5.646139439631631,2.4655728589949506,1.924938904507093,0.8439256471637359
7328,ROBB760107,_transition,0.8351253676522072,2.7140875178316914,7.366271054449792,2.46276560689559,2.0424126057973155,0.8352246252467309
2758,GOLD730101,_pseudo_AAC,0.8347590692162568,2.5210271669887185,6.355577976695163,2.460034420143385,2.1284134291972028,0.8367773619587665
6173,QIAN880111,_transition,0.8339392845718764,2.54720792828797,6.488268229933091,2.4539547355645346,1.9810653635633726,0.8731634321530667
6234,QIAN880115,_distribution,0.8332037525309918,2.659975693643766,7.075470690775634,2.4485380771378367,2.076670202799852,0.8337954909476195
4915,NAKH900105,_conjoint_triad,0.8324052502173431,2.6080055615431035,6.8016930090397585,2.442698103862576,2.0114150092978975,0.8364811191349373
720,BULH740101,_aa_composition,0.8322828659201266,2.5958077104553348,6.738217669659368,2.4418067147735556,2.08088322119144,0.832457686105959
4350,MAXF760106,_aa_composition,0.8322028196330662,2.4548905075655543,6.026487404135465,2.4412242232300954,1.9274344002380042,0.8322620193186001
1830,EISD860103,_aa_composition,0.8317985726373559,2.739681635562845,7.505855464240306,2.4382888997065626,2.2680337351063478,0.8439333164328375
4523,MIYS990101,_transition,0.8317897829904553,2.5101034597709084,6.300619378753885,2.4382251937711237,1.8585782350373619,0.8344830872372421
2505,GEIM800105,_aa_composition,0.8317105754625589,2.48844422471837,6.19235465953421,2.4376513356092038,1.9214344474799738,0.8337150940740133
5310,OOBM770105,_aa_composition,0.8314832300864472,2.491311223833942,6.206631614000974,2.4360064672684483,2.0397662589207775,0.8314943711017939
1110,CHOC760102,_aa_composition,0.8313939291598484,3.0401691176218506,9.242628263741622,2.435361275652384,2.3219339941240733,0.8313939962772845
5385,OOBM850105,_aa_composition,0.8311775408871436,2.732527959731478,7.466709050714274,2.433800012428551,2.3358002735627115,0.8352889921208526
7881,VASM830101,_CTD,0.8303267023272054,2.5585176835783408,6.546012737183078,2.4276901133996955,1.974085022403646,0.8303701514077944
1020,CHAM830105,_aa_composition,0.8299970924915535,2.2892823775936724,5.240813804360938,2.4253355102064753,1.8583506288310032,0.8456320139956979
8038,WARP780101,_pseudo_AAC,0.8299710654339696,2.4089481612903447,5.803031243784133,2.425149874852678,2.051373796748978,0.8383803974216265
7980,VINM940102,_aa_composition,0.8295693576526494,2.756338594486294,7.597402447454679,2.4222901299971973,2.1326696970196855,0.8338187565507601
2055,FAUJ880107,_aa_composition,0.8294279931073409,2.6556467444134495,7.052459631113753,2.4212861642047896,2.152373702905651,0.8295444218886288
1320,CHOP780211,_aa_composition,0.8293512617784822,2.4875671952786673,6.187990551026576,2.4207417435537146,1.9001157893247815,0.8306322588945273
1377,CHOP780214,_quasi_seq_order,0.8288496605412223,2.4706604525358085,6.104163071724446,2.417191829392133,1.919790644816642,0.8291329890643911
