,Index,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
6508,QIAN880133,_pseudo_AAC,0.8180788521410818,2.3398336304963028,5.474821418401509,2.3445441007108476,1.7847546242425862,0.8187426690311558
5477,PALJ810106,_tripeptide_composition,0.8130841574843446,2.2922502651393657,5.254411278031492,2.3130069817438876,1.849706835419048,0.8207021520924815
61,AURR980101,_dipeptide_composition,0.8073349431579574,2.1523072631798086,4.632426555136558,2.2782350156751816,1.7689751300304761,0.8164065025247664
8125,WILM950101,_conjoint_triad,0.8067947169907235,2.3682910139971467,5.608802326979634,2.275047670853133,1.940880800946928,0.8233218732923219
1696,DAWD720101,_dipeptide_composition,0.8063800089264956,2.649031161923221,7.01736609684029,2.2726099412716367,2.1521520119280546,0.8122058136273662
5071,NAKH920103,_dipeptide_composition,0.8060040601034102,2.566511088275707,6.586979166242155,2.2704068040114627,2.1095020858159597,0.8111077234061917
2980,HUTJ700102,_conjoint_triad,0.802843610588064,2.425918593981986,5.885081024627535,2.252135788143632,1.8508996759580012,0.8028915794685959
4502,MIYS850101,_tripeptide_composition,0.8023988665719832,2.3514587098706,5.529358064226308,2.2495999015177537,1.9097178282159282,0.8142351127759462
5956,PTIO830101,_dipeptide_composition,0.8019790661508781,2.63288472255852,6.932081962282053,2.2472140829653418,2.0888634310901337,0.802530822405535
1412,CIDH920101,_tripeptide_composition,0.8015843570870894,2.6089998010732276,6.806879962000142,2.2449777740755863,2.083282298182847,0.8048189303019061
7712,TANS770102,_tripeptide_composition,0.8002008670861728,2.4053016182609612,5.7854758748087995,2.2371917051681143,1.8940150125015138,0.8046965064264819
2401,FUKS010111,_dipeptide_composition,0.7985306231437388,2.6348052398183524,6.942198651774245,2.227898896672536,2.138297130990926,0.8126931075999091
2701,GEOR030107,_dipeptide_composition,0.7978382501370019,2.6557871499342585,7.053205385755931,2.224080518409575,2.2136410254686987,0.7981876311401689
7741,TANS770104,_dipeptide_composition,0.7971229611946106,2.680989469392768,7.187704534994916,2.220156306672593,1.968137405629407,0.7973355672525912
7427,ROBB790101,_tripeptide_composition,0.7967782829497667,2.5430248054591997,6.466975161180802,2.2182727374837428,2.001135685009065,0.7967844071212393
7265,ROBB760103,_geary_autocorrelation,0.79639512074335,2.787682068686997,7.771171316079015,2.2161844807126654,2.1975040478473042,0.797415421236473
1636,COWR900101,_dipeptide_composition,0.7960442993381593,2.4259503382796264,5.885235043799033,2.214277646105158,1.7268332756860332,0.8059729256265125
2986,HUTJ700103,_dipeptide_composition,0.7959465573096863,2.687549506929034,7.2229223521944945,2.2137472607574438,2.170769064526221,0.7971306600266437
4652,MUNV940103,_tripeptide_composition,0.7953801912806235,2.940389655021924,8.64589132335995,2.210681428454823,2.4376305672868193,0.8050104384699418
7655,SUYM030101,_geary_autocorrelation,0.794792763696379,2.318433441432017,5.375133622350305,2.2075150051766412,1.8088748713427267,0.8016102522955515
5605,PALJ810114,_conjoint_triad,0.7945523576292244,2.434946795649725,5.928965897644863,2.206223057174758,1.938098949631459,0.7950443957526387
2777,GRAR740101,_tripeptide_composition,0.7943532536909923,2.554400063348075,6.524959683632649,2.205154783346689,2.079969388120161,0.7943805170866043
2101,FAUJ880110,_dipeptide_composition,0.7936391996586531,2.5091388632392957,6.295777835017786,2.201336315546821,1.868456383055855,0.7939496180847029
8401,ZHOH040103,_dipeptide_composition,0.7934906139459609,2.6540430916499855,7.043944732335014,2.200544230527298,2.0544512400809207,0.8072046359598115
6797,RACS820111,_tripeptide_composition,0.7934728478036066,2.6653639429218763,7.104164948228051,2.200449579479117,2.1845434642682386,0.7973821143029418
1591,CORJ870107,_dipeptide_composition,0.7934228346572727,2.832372656193942,8.022334863555127,2.200183194594775,2.3725383733238212,0.7934320933107206
46,ARGP820103,_dipeptide_composition,0.7932242561301948,2.7976218282523755,7.826687893914165,2.1991264601889657,2.261419812485641,0.7934636530658503
4021,LEVM760102,_dipeptide_composition,0.7916938822700035,2.2053920966706277,4.863754300057268,2.1910333474016013,1.748862116394788,0.7931381446603348
4007,LEVM760101,_tripeptide_composition,0.7911306160601561,2.26982587166007,5.1521094876573965,2.1880770304327033,1.8825936584837226,0.7977881262935989
