,Index,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
2566,GEIM800109,_dipeptide_composition,0.8857296856334242,2.1079001712783927,4.4432431320754775,2.9582392085846374,1.6585660377358473,0.8873085446542556
5942,PRAM900104,_tripeptide_composition,0.8814737402460238,2.167207532878671,4.696788490566055,2.904642650405715,1.6546037735849055,0.8824338809760252
8446,ZIMJ680103,_dipeptide_composition,0.8796578461877729,2.0635833644141477,4.2583763018868135,2.8826446551224123,1.7073207547169875,0.8811459457969404
3910,KUHL950101,_conjoint_triad,0.866371162913983,1.996068532116487,3.984289584905667,2.7355830588034387,1.5318867924528303,0.8669805320381022
2117,FAUJ880111,_tripeptide_composition,0.8622290956995473,2.1629937542979807,4.6785419811320725,2.6941467342270577,1.8180566037735826,0.866066710514536
7996,VINM940103,_dipeptide_composition,0.8570539529667474,2.1721349292673784,4.7181701509434,2.6449284309296948,1.614113207547172,0.8572036911340131
2710,GEOR030107,_conjoint_triad,0.8562896093653305,2.163225343507347,4.679543886792481,2.6378853445843347,1.6528301886792516,0.856403811865102
5506,PALJ810108,_dipeptide_composition,0.8542762778565505,2.2249143040524886,4.95024366037737,2.619599338976047,1.7315471698113205,0.8563532652567174
4487,MITS020101,_tripeptide_composition,0.8536690167063199,2.304921199487972,5.312661735849072,2.6141581306047375,1.84079245283019,0.8543668401074057
4285,MAXF760101,_conjoint_triad,0.8513139045536369,2.378189683311941,5.65578616981135,2.5933720239063947,1.9857547169811365,0.8539205758242673
6625,RACS770102,_conjoint_triad,0.8508339287250714,2.3065505569352056,5.320175471698106,2.5891962793453933,1.744188679245281,0.8542811626039292
6587,QIAN880139,_tripeptide_composition,0.8504468579840352,2.3447413543646842,5.497812018867934,2.585843452985767,1.8987735849056666,0.8525443122301315
8050,WEBA780101,_conjoint_triad,0.8495393260915786,2.1969691472486077,4.826673433962275,2.578033156952503,1.8395849056603797,0.8496833089411295
7621,SUEM840101,_dipeptide_composition,0.8479450878250931,2.279781485722156,5.197403622641521,2.5644826940085874,1.7869811320754778,0.8552712210526094
4741,NADH010104,_dipeptide_composition,0.8477815550679837,2.3892947171253316,5.708729245283018,2.5631047741924697,1.9241509433962256,0.847810492805614
4855,NAKH900101,_conjoint_triad,0.8475385633727225,2.226183335954847,4.955892245283051,2.561061432792546,1.7969622641509493,0.8493253481255947
3347,KANM800103,_tripeptide_composition,0.8471569030590418,2.3535424885229927,5.539162245283002,2.557861855949493,1.8679433962264136,0.8471927763630289
6586,QIAN880139,_dipeptide_composition,0.8470122255357222,2.040945073355196,4.165456792452845,2.5566521100994577,1.5993962264150956,0.8480797916940147
586,BEGF750103,_dipeptide_composition,0.846272490214078,2.2505633131318685,5.065035226415093,2.5504933993765264,1.8926226415094358,0.8514512758759142
205,AURR980110,_conjoint_triad,0.8458879847946388,2.2355994215388684,4.997904773584923,2.547309705395738,1.8229622641509469,0.8459411633907743
1855,ENGD860101,_conjoint_triad,0.8458463160656973,2.1273434048747633,4.52558996226415,2.5469654050563006,1.663773584905659,0.8458464965529886
2435,GARJ730101,_geary_autocorrelation,0.8453409871897704,2.088076857365208,4.360064962264165,2.5428010560619225,1.7166226415094388,0.8455290401142364
557,BEGF750101,_tripeptide_composition,0.8452348214062401,2.3932042860393214,5.727426754716977,2.541928751382891,1.681433962264147,0.8459496081699812
2371,FUKS010109,_dipeptide_composition,0.8449499377117606,2.251412592213469,5.068858660377372,2.539592451148534,1.8526603773584933,0.8449552279542645
2800,GRAR740102,_conjoint_triad,0.8438506544705942,2.2510603078180638,5.0672725094339555,2.530637363332193,1.7164716981132047,0.8495079672324801
5485,PALJ810106,_conjoint_triad,0.8436861389992175,2.395332769256014,5.7376190754716845,2.5293053042394926,1.9202075471698103,0.8436929987135633
3362,KANM800104,_tripeptide_composition,0.8429798751015126,2.4262134602538605,5.886511754717011,2.523610587474182,1.9096792452830273,0.8438661934250472
6490,QIAN880132,_conjoint_triad,0.8429544094663275,2.4410867592197003,5.958904566037739,2.5234059718851984,1.8863396226415088,0.8429545631853156
856,CEDJ970102,_dipeptide_composition,0.8429419772241585,2.386826601664879,5.696941226415115,2.5233060972833683,1.907566037735855,0.8432565006209607
7190,RICJ880115,_geary_autocorrelation,0.8424448186277443,2.446409741364176,5.984920622641535,2.519321859861973,2.009037735849061,0.8436455301434252
