,Index,Category,R2,RMSE,MSE,RPD,MAE,Explained Var
16,AURR980113,sec_struct,0.7161156217499446,3.2407394238993126,10.50239201361525,1.8768486517158194,2.562239918472111,0.7162541506617636
381,PONP800101,hydrophobic,0.7136451226809688,3.543661819424139,12.557539090444399,1.8687349484518168,2.918767238895261,0.714380997781535
225,KARP850101,flexibility,0.7123279740067027,3.489813241093333,12.178796457710355,1.8644519013037635,2.635656175653637,0.7269863339953235
249,KARS160122,meta,0.7101466309097979,3.1076945905685074,9.657765668248762,1.857423019810785,2.610274484504574,0.7102253309882971
501,ROSM880104,hydrophobic,0.7078654725797423,3.3344497048306008,11.11855483404488,1.8501568813645823,2.5879424974443213,0.7083436502767273
215,JOND750102,charge,0.691011126130338,3.7112181292511637,13.773140002882508,1.798989295703146,2.9294693724098715,0.6945781621508174
208,JACR890101,hydrophobic,0.6889136887016543,3.094419424580747,9.57543157522264,1.7929143753306072,2.3856101670887266,0.6889337961722866
68,CHAM830105,geometry,0.6815909056121278,3.272165908214855,10.707069730883548,1.77217770354419,2.5150377919053915,0.6911884928807526
562,ZIMJ680102,geometry,0.6760968485903533,3.606212101964585,13.00476572435583,1.7570835516115928,2.8683223797421715,0.6763058502592602
34,BASU050101,geometry,0.6727409786908567,3.4554531762912255,11.940156653541118,1.7480513509459592,2.788594209645293,0.6795319715974222
357,OOBM850103,sec_struct,0.6694344595256007,3.9047727508469614,15.247250235756947,1.7392868382916242,3.153429874671593,0.6806113302370489
293,MEEJ800102,hydrophobic,0.6691871854159422,3.5759995104982303,12.787772499083582,1.7386366805830555,2.9863240015234007,0.6695045062663858
508,SUEM840101,observable,0.6683203233913677,3.7442627630695804,14.01950363890945,1.7363631856009765,2.9769225139813185,0.6698357598824372
165,GEIM800103,sec_struct,0.6673336160943748,3.3216720689937995,11.03350533393355,1.733786197635008,2.642565702933759,0.6680164863293929
548,WOLR810101,hydrophobic,0.6663206232507705,3.0630348768772997,9.382182656966735,1.7311524597929624,2.540141902020774,0.6799408411228611
465,RICJ880101,sec_struct,0.6652173244687962,3.227017349284516,10.413640972583263,1.7282975411340011,2.4956267310580276,0.665973062549112
220,JURD980101,hydrophobic,0.6635186121836417,3.424692242700389,11.72851695721222,1.7239294019556612,2.584556695899529,0.674880586342825
83,CHOP780206,sec_struct,0.6631120602640657,3.537944037745851,12.517048014221414,1.7228888803136355,2.61030398790104,0.6722149845642224
376,PARJ860101,observable,0.6630046715156604,3.4253028054736574,11.732699309185708,1.7226143459106547,2.7499887769904725,0.6677552039024766
494,ROBB760113,sec_struct,0.6576801110833291,3.3367652785062596,11.134002523844956,1.709164775288907,2.618933015586519,0.6576801152149403
102,CORJ870103,hydrophobic,0.657191722885077,3.578145665687295,12.803126404876778,1.7079468446286101,2.8621326642251734,0.6711463106861777
447,RACS820105,geometry,0.6553141491446737,3.518856376993012,12.382350201904385,1.7032887260991885,2.69738085423625,0.6557730989412751
251,KIDA850101,hydrophobic,0.6552166494012683,3.216820094121912,10.347931517946504,1.7030478763660513,2.648370634692803,0.6566317521459437
379,PLIV810101,hydrophobic,0.6514607024677195,3.7252826094462064,13.877730520242336,1.6938467852643881,3.1102734128783482,0.6748864579255768
358,OOBM850104,sec_struct,0.6483112059079741,3.688069645108916,13.601857707173806,1.6862452321780366,3.063787077736979,0.6497211413766011
495,ROBB790101,hydrophobic,0.6473477821405459,3.1279151313666684,9.783853069032563,1.6839402986978593,2.498261200432475,0.6688332135254866
120,EISD860101,hydrophobic,0.6464716693298267,3.6071444768390495,13.011491276790458,1.6818524365538177,2.9098275389223356,0.6497713943158123
193,GUYH850105,hydrophobic,0.6463605810453246,3.3898967894010013,11.491400242791215,1.681588256761153,2.949658646384972,0.6465111297468793
441,RACS770102,geometry,0.6462759456075007,3.5118043594628254,12.332769859142106,1.6813870681920784,2.8818977643521575,0.6479409707442567
144,FINA770101,sec_struct,0.6453987552507521,3.6195094136644195,13.10084839560535,1.6793061254421182,2.8612276349494468,0.648524105109394
322,NAGK730103,sec_struct,0.6452403267925872,3.8263148642120246,14.640685440089884,1.6789311115804997,3.0387364530775542,0.6479765803150279
327,NAKH900105,composition,0.6445452856925343,3.619091971069786,13.097826695061787,1.6772888529782246,2.7653663364168515,0.6515769998733711
112,CRAJ730103,sec_struct,0.6437740955559723,3.5202084928418387,12.391867833075809,1.6754722957901553,2.7278948020554155,0.6438114771457013
