,Index,Category,R2,RMSE,MSE,RPD,MAE,Explained Var
0,ROSM880104,hydrophobic,0.6957616639831541,3.4472499293598804,11.883532075471699,1.812980076275225,2.863396226415094,0.6960703824611477
1,RICJ880109,sec_struct,0.6808851553443774,3.108862559698376,9.665026415094337,1.7702169561961887,2.5101886792452826,0.6820048300263741
2,RACS770103,geometry,0.6805314057349918,3.0848791297687845,9.516479245283012,1.7692365984761567,2.589811320754716,0.6916487180283908
3,KIDA850101,hydrophobic,0.6786606373398141,3.2587371671443988,10.6193679245283,1.7640790241906619,2.502830188679245,0.6800532631832951
4,FAUJ880105,geometry,0.673817482055447,3.584815723797376,12.850903773584905,1.7509335303965115,2.8277358490566034,0.6773064773158948
5,JOND750102,charge,0.6682068055626527,3.2960905945600425,10.864213207547175,1.736066125498108,2.73,0.6698223721619481
6,NAKH920103,composition,0.6671087575386895,3.6215544457834103,13.115656603773585,1.7332005371143275,3.102641509433963,0.6688395012958062
7,PALJ810105,sec_struct,0.66557214564407,3.2432600649742227,10.5187358490566,1.7292141424055794,2.3996226415094335,0.6679715856974568
8,HARY940101,geometry,0.6614356258113692,3.7338143782626303,13.941369811320751,1.7186180609148485,2.923018867924529,0.669351919862172
9,RACS820106,geometry,0.6522094612010871,3.723253801169688,13.862618867924532,1.6956691474968757,3.018113207547171,0.6637203706684153
10,AVBF000102,polar,0.6506965385616048,3.6148809317795516,13.067364150943398,1.6919929741598065,3.082830188679246,0.6524592426291866
11,GARJ730101,hydrophobic,0.6493729012708664,3.3730762511728694,11.377643396226418,1.6887962693933316,2.622830188679245,0.6549516206182309
12,PALJ810114,sec_struct,0.6451021022862572,3.89404165069642,15.1635603773585,1.6786041273600065,3.2296226415094345,0.6451058425317486
13,RICJ880115,sec_struct,0.6445313306189511,3.337642372060493,11.139856603773593,1.6772559289526907,2.7192452830188687,0.6453328768215691
14,AURR980107,sec_struct,0.6435853826263667,3.452427912435832,11.919258490566037,1.6750286760086797,2.8666037735849064,0.648266520046541
15,BUNA790101,observable,0.6373514712903807,3.7381811236492477,13.973998113207552,1.6605694357282532,2.9277358490566034,0.6376443112174759
16,WOLS870103,meta,0.6372585073079668,3.776394656782258,14.26115660377359,1.6603566353691148,3.0345283018867923,0.6480550300609477
17,CHOP780211,sec_struct,0.6368445769838764,3.544751102314307,12.565260377358493,1.6594101151340022,2.800754716981132,0.6377003507694663
18,CRAJ730101,sec_struct,0.6350888881855208,3.2540920537593307,10.589115094339618,1.655413360286387,2.5258490566037737,0.6431603169672587
19,ROBB760106,sec_struct,0.6331376145839918,3.956618052718047,15.65482641509435,1.651005071045643,3.271698113207548,0.6348388311569346
20,CIDH920102,hydrophobic,0.6320139797661829,3.708991369783985,13.756616981132082,1.648482495471414,3.001320754716982,0.6391060823153223
21,KARS160108,meta,0.631539478329197,3.441753337724226,11.845666037735851,1.6474207001639363,2.5960377358490567,0.6318493565708703
22,FAUJ880112,polar,0.6309086069010019,3.5686751989465955,12.735442675576524,1.6460121667205092,2.5236320754716974,0.6315004926018413
23,BROC820102,hydrophobic,0.6293478296660651,3.6694053808562233,13.464535849056606,1.642542918808604,2.9626415094339618,0.637992258831314
24,FUKS010101,composition,0.6291754253796025,3.6913435197949367,13.626016981132073,1.6421610477282909,2.810377358490566,0.6413782351433222
25,FINA910101,sec_struct,0.624186353331174,3.8584465052611874,14.88760943396227,1.6312244669259395,3.100943396226416,0.6332796880712112
26,GOLD730101,hydrophobic,0.6237657714143229,3.8503726847307593,14.825369811320757,1.6303124614502182,3.0498113207547166,0.6318210513192083
27,QIAN880105,sec_struct,0.6234560560688933,3.65201056023603,13.337181132075482,1.629641840308265,2.965660377358491,0.6240094159751559
28,QIAN880135,sec_struct,0.6230715486777467,3.9336485056544817,15.473590566037736,1.628810423610959,3.1692452830188675,0.6259915847530018
29,AVBF000108,polar,0.6229015094595045,3.8773317999356802,15.033701886792462,1.6284431549973226,3.1939622641509446,0.6288639236160162
30,MEIH800103,geometry,0.6227627933690238,3.593312709244089,12.911896226415093,1.6281437253098112,2.780566037735848,0.6240373759999467
31,AVBF000101,polar,0.6226613165505024,3.6896962599333345,13.613858490566038,1.6279247841277091,3.069245283018867,0.6229852886441974
32,GEIM800108,sec_struct,0.6214662791406387,3.6117593580383165,13.044805660377351,1.625353059630779,2.5673584905660376,0.6229612973272276
33,BEGF750102,sec_struct,0.6208324516980035,3.935627062789168,15.489160377358493,1.623993997834408,3.1601886792452833,0.620856177419771
34,NAGK730101,sec_struct,0.6178910296472138,3.5993264569077685,12.95515094339623,1.6177312814798592,2.7388679245283023,0.6339108445768297
35,RADA880104,hydrophobic,0.6166713965769757,3.697397095663227,13.670745283018867,1.615155670824528,3.134528301886793,0.6167704451912033
36,PALJ810115,sec_struct,0.6164586448195295,3.8048035676864114,14.476530188679245,1.6147076423799998,3.042452830188679,0.6282715605038711
37,GUYH850105,hydrophobic,0.6158757189935695,3.4685944083751443,12.031147169811316,1.6134819815678858,2.789056603773585,0.6591734179640927
38,QIAN880123,sec_struct,0.6145733295379769,3.6973555057431327,13.670437735849058,1.610753628455138,3.000754716981131,0.6145741164454427
39,CHOP780216,sec_struct,0.6131097247789052,3.6011208946817104,12.968071698113201,1.6077040034517227,2.896981132075471,0.6155506758493416
40,CHOC760103,hydrophobic,0.612784950715132,3.546343053992912,12.576549056603776,1.6070296364624541,2.6673584905660377,0.6129325795282287
41,CHOP780207,sec_struct,0.6126338300186829,3.5128056840060067,12.33980377358491,1.6067161357656576,2.7901886792452837,0.6126692380435332
42,LEVM780102,sec_struct,0.612491356224472,3.726684499456664,13.888177358490566,1.6064207410787321,2.8245283018867924,0.6125692316555681
43,TAKK010101,observable,0.6084469989616323,3.583138973813377,12.83888490566038,1.598102833504165,2.7839622641509445,0.6328916558421958
44,BUNA790103,observable,0.6063693791166171,3.8881115365630547,15.117411320754718,1.5938797843633756,3.315471698113208,0.6073797031957037
45,WIMW960101,hydrophobic,0.6060699674376662,3.8914611409239015,15.143469811320754,1.593273944623048,2.9635849056603774,0.6060783251836436
46,PARJ860101,observable,0.6058668922991572,4.01819094749939,16.14585849056604,1.592863428468927,3.183207547169811,0.6067657106745616
47,PALJ810110,sec_struct,0.6050213788534093,3.65479473134975,13.357524528301893,1.5911576285868883,3.001509433962264,0.6631031244137893
48,JUKT750101,composition,0.6048453363481967,3.7394071773124478,13.983166037735847,1.5908031565213343,3.0630188679245283,0.6154715019568241
49,RADA880103,hydrophobic,0.6027182671276652,3.7804382295637584,14.291713207547165,1.5865388152350548,3.0728301886792457,0.624839916295119
50,PONP800107,hydrophobic,0.6024762456053987,3.7379050231732958,13.971933962264158,1.5860557812073177,3.0990566037735854,0.6032411274892607
51,BULH740101,hydrophobic,0.601514036258356,3.2616756892564904,10.6385283018868,1.5841397286790908,2.5890566037735865,0.6201659303304896
52,CHAM830108,geometry,0.6011828644428322,3.852476023553489,14.841571512054506,1.5834818690510637,3.3090471698113197,0.6092919297563556
53,ISOY800108,sec_struct,0.6006022247894043,4.119186812952286,16.967700000000008,1.5823304270191128,3.361320754716982,0.6012062378168948
54,PTIO830102,sec_struct,0.6002404557107202,3.478628552141431,12.100856603773588,1.5816142867831224,2.8498113207547173,0.6002504099171366
55,KUMS000104,composition,0.6001028760545191,3.76845621762426,14.201262264150943,1.5813421959684124,2.9511320754716976,0.6001052829750622
56,BLAS910101,hydrophobic,0.5989850924289419,3.4617211337060603,11.983513207547173,1.5791367519257509,2.8026415094339634,0.6211149775724065
57,FASG760102,observable,0.5980084117258544,3.503209310289369,12.272475471698115,1.577217246169502,2.770188679245283,0.5980569398370829
