,Index,R2,RMSE,MSE,RPD,MAE,Explained Var
432,QIAN880132,0.6736290958869872,4.600848090756624,21.16780315421887,1.1565389399702037,3.546452621176081,0.24447443503778676
217,JOND920102,0.6690327358122874,3.843561474917731,14.772964811471766,1.482779275592769,2.963382848280028,0.578214901282497
543,WILM950103,0.6540362336765538,4.520708893623579,20.43680890088732,1.278561438899448,3.6242907609185977,0.394150726759559
88,CHOP780211,0.6513404811029545,4.059728850966267,16.48139834336789,1.3682787510075027,3.2425059588840597,0.461317611037937
165,GEIM800103,0.6466962748704188,4.210199098729689,17.72577645094428,1.2299869046681935,3.364751593686378,0.32766500463279236
482,ROBB760101,0.6466916881621909,3.4245829419880054,11.727768326555223,1.6601798663341873,2.6691744881371697,0.6326852571736894
451,RACS820109,0.6428628698519568,3.6707887413614184,13.474689983705748,1.5036724817260358,3.042361159748369,0.5498467635151261
373,PALJ810114,0.642170516546996,3.5045401326446948,12.281801541317295,1.6547250282725974,2.8767910591963393,0.6286976894974652
242,KARS160115,0.6419266813027074,3.737192388677734,13.966606949990787,1.3881236078834123,2.915374518721151,0.48249849345324136
205,ISOY800106,0.6389764200731654,4.09361029828131,16.757645274194793,1.399938305010034,3.4575984333109258,0.5062233613197966
493,ROBB760112,0.6383590767658431,4.392898591979252,19.297558039413293,1.46279053028441,3.6756537374574685,0.5319052084944289
63,CHAM820102,0.6382006333586839,4.504494690177892,20.29047241384082,1.172902462324909,3.6236837357547262,0.2640847485663018
149,FODM020101,0.6377899289967359,3.9693855831367197,15.756021907613638,1.2926366491215757,3.0892362634800743,0.39038157455220535
479,RICJ880115,0.6363951483346244,3.157944867086176,9.972615783555925,1.6008439512587234,2.7111872504155046,0.6035993296210082
249,KARS160122,0.6352212688281584,4.434050326114954,19.66080229452013,1.1883586721469723,3.50429606440658,0.3139620061665801
14,AURR980111,0.6350686691886129,4.10364049979443,16.839865351553083,1.3430702973698918,3.421966453086025,0.45690826320446243
414,QIAN880114,0.6346364231019943,3.5905203853643664,12.891836637717079,1.4746345184737704,2.8663693945990167,0.531852646230963
83,CHOP780206,0.634199190932687,3.744056264793451,14.017957313939089,1.5225782704518955,2.9502089668765055,0.5635638153436537
445,RACS820103,0.6329498943132399,3.493401376632215,12.203853178255855,1.7580359275134536,2.770686493395257,0.685565184397229
118,DIGM050101,0.6322556917101197,3.9599471919849534,15.681181763309516,1.383807825888692,3.2690761126480994,0.481183407977275
277,LEVM780104,0.6321914438207153,4.1101196724042985,16.893083721484818,1.3461559322941723,3.404360671705257,0.45044749874256884
443,RACS820101,0.6320253063705222,3.980939897074266,15.84788246411767,1.3872331878324176,3.1890923264569335,0.4712195345585819
423,QIAN880123,0.6315366985346048,3.801663437947405,14.452644895426083,1.4327741074308407,3.1638659993505565,0.5035573954544588
28,AVBF000105,0.6311926229718072,3.9735843728880407,15.789372768460042,1.3433419359233834,3.0628358024461715,0.44150964461827247
53,BURA740101,0.6302823196159553,3.7460103533610285,14.032593567488018,1.4222077471726808,2.936084678353094,0.5147448534448464
