,Index,Category,R2,RMSE,MSE,RPD,MAE,Explained Var
433,QIAN880133,sec_struct,0.6821530925786514,3.2413309635232155,10.506226415094336,1.7737442675529225,2.6230188679245283,0.7062896875272618
9,AURR980106,sec_struct,0.6220620070264742,3.0181538778181416,9.109252830188685,1.6266335433347223,2.2830188679245302,0.6410767704213371
311,MUNV940104,sec_struct,0.6066983980199636,3.7557040894547553,14.105313207547171,1.5945463300193563,2.7849056603773588,0.6124541783045292
302,MIYS990102,hydrophobic,0.6006117640379265,3.797953768832459,14.42445283018868,1.5823493236110744,2.9147169811320746,0.6008350997053944
408,QIAN880108,sec_struct,0.5971584958392138,3.512241664440812,12.335841509433967,1.5755525594680186,2.7505660377358496,0.5975101688728093
364,PALJ810105,sec_struct,0.59502945088669,4.161473795537273,17.317864150943397,1.5714055385970547,3.3052830188679256,0.5960404262265986
93,CHOP780216,sec_struct,0.5883540567315662,3.9199942241004813,15.366354716981135,1.5586122313479465,3.0928301886792458,0.5931906327569691
475,RICJ880111,sec_struct,0.5818980622458487,3.8414718091347946,14.756905660377353,1.5465319971667681,3.2490566037735835,0.5830143254776606
83,CHOP780206,sec_struct,0.5770253295147858,3.723686548225289,13.865841509433967,1.5375980502557103,2.904150943396227,0.5865144344482442
362,PALJ810103,sec_struct,0.5743685865506193,3.6577062613528195,13.378815094339622,1.5327917822314414,2.7596226415094334,0.5874149045041326
105,CORJ870106,hydrophobic,0.5710687209553997,4.2746616328630855,18.2727320754717,1.526884341093444,3.3203773584905667,0.5901144377099087
261,KUMS000101,composition,0.5704745317376374,3.9795059900103564,15.836467924528307,1.525827858692329,3.269433962264151,0.5774718071230065
479,RICJ880115,sec_struct,0.5685384427284919,4.010046816646674,16.080475471698122,1.5224006008455715,3.4056603773584904,0.5685384771154678
176,GEOR030103,sec_struct,0.5679575961183233,4.175608417988612,17.43570566037736,1.5213768834607109,3.571698113207548,0.5749230231264068
294,MEEJ810101,hydrophobic,0.5620800877790728,3.593396459230117,12.912498113207542,1.5111328737790355,3.0286792452830174,0.5620828695102464
312,MUNV940105,sec_struct,0.5603810802017244,3.8440544633213944,14.776754716981133,1.5082099881919349,3.3011320754716977,0.5773270158885094
545,WIMW960101,hydrophobic,0.5603790299278131,3.8368589747934227,14.721486792452835,1.5082064712450562,3.100754716981131,0.5622595512816014
34,BASU050101,geometry,0.5541220457078835,4.071991770759375,16.581116981132073,1.4975867882402727,3.3313207547169807,0.5586215951999947
348,ONEK900101,sec_struct,0.5527505244545227,4.004652954129591,16.037245283018866,1.4952887987490435,3.3060377358490567,0.5544232231341779
37,BEGF750101,sec_struct,0.5496969909377143,3.5272331344703685,12.44137358490566,1.4902103502735264,3.04377358490566,0.5691346169209051
20,AURR980117,sec_struct,0.5482486058190059,4.303744749392619,18.522218867924536,1.487819509490245,3.4007547169811323,0.5621409243740382
285,MAXF760101,sec_struct,0.547901543105093,4.558871094950741,20.78330566037737,1.4872483221671728,3.766792452830189,0.5501925350091813
455,RACS820113,geometry,0.5450024448232762,3.697939252743497,13.674754716981132,1.4825026162472266,2.98377358490566,0.5506213736305909
462,RADA880106,hydrophobic,0.5394010558534439,4.298248875556929,18.474943396226408,1.4734606120667886,3.599245283018868,0.5545250833977247
143,FAUJ880113,polar,0.5382889522402958,4.321458523876505,18.675003773584898,1.4716850115049043,3.304150943396226,0.5456502503593224
