,Index,Category,R2,RMSE,MSE,RPD,MAE,Explained Var
182,GEOR030109,sec_struct,0.2739374594642707,5.059103075319301,25.594523926705214,1.1735807696568894,3.8162550426345523,0.27970825008488953
409,QIAN880109,sec_struct,-0.3073024405612781,6.528887467795346,42.626371567135116,0.8746050165236705,4.947738364343646,-0.3030444640762888
135,FAUJ880105,geometry,-0.3654334277945961,8.266949040411012,68.34244643675255,0.8557851272853992,5.7079630923359,-0.2996017843485712
27,AVBF000104,polar,-0.5151610012112102,6.895103416166839,47.542451119635615,0.8124012973267996,4.956710019200368,-0.5104675980647515
417,QIAN880117,sec_struct,-0.6570562715478505,7.609639093968892,57.90660714045969,0.776839628004764,6.061326048231077,-0.6417161177640407
68,CHAM830105,geometry,-0.6915982673902603,6.448233420941805,41.57971425095085,0.7688672884279827,4.64740961409882,-0.6875951522358217
321,NAGK730102,sec_struct,-0.9381340263432094,8.391840469314568,70.42298646242575,0.7183036890853516,5.226964814622641,-0.918032451388858
131,FAUJ880101,geometry,-0.9463931399402918,9.229727494710206,85.18786962660954,0.7167780829737016,5.894789222766631,-0.8738601021218511
10,AURR980107,sec_struct,-0.9712378889718309,8.465293795958521,71.66119905189382,0.712246757761215,6.180032977773372,-0.9006941155087977
311,MUNV940104,sec_struct,-1.165324468187547,8.255209776098768,68.14848844739669,0.6795767439120163,5.908068408178736,-1.1616244945874779
361,PALJ810102,sec_struct,-1.172339785976333,8.429078800859784,71.04936943110383,0.6784785496845378,5.939456453242793,-1.1193738301588048
94,CIDH920101,hydrophobic,-1.2676949964750208,9.757141376923572,95.20180784927402,0.6640605474295375,6.232207513666032,-1.2569705305297947
530,VHEG790101,hydrophobic,-1.3022972677037483,9.303942427370787,86.56334469183021,0.6590514212916158,6.007083735933638,-1.283846510019854
178,GEOR030105,sec_struct,-1.3166064244403968,8.22989201809337,67.73112262947697,0.6570128623013792,5.345465361204977,-1.24265024804264
143,FAUJ880113,polar,-1.3566201877766488,9.121389698655394,83.19975003473674,0.651411172757297,5.862174525003053,-1.342403651095288
254,KOEP990101,sec_struct,-1.4099722742502303,9.7201656531871,94.4816203253982,0.6441603317700294,6.630402442324682,-1.3348650798135515
543,WILM950103,hydrophobic,-1.419014902231655,9.889549654726139,97.80319237329388,0.6429552221992909,5.1212923352243305,-1.352693611145018
205,ISOY800106,sec_struct,-1.4275502776572684,9.35906317154492,87.59206344896845,0.64182389720736,7.006862577998182,-1.388295630219897
9,AURR980106,sec_struct,-1.4308750885430341,9.435459999109455,89.02790539479459,0.6413848221473606,7.132974568538217,-1.3713586831560565
114,DAYM780101,composition,-1.4406120031893144,9.741689654685144,94.90051732819956,0.6401041289253484,6.700087557248029,-1.3870078472177485
