,Index,Category,R2,RMSE,MSE,RPD,MAE,Explained Var
264,KUMS000104,composition,0.6798510211403574,3.411377144589647,11.637494022628612,1.7673555967425238,2.7295502466654162,0.6839143456381047
136,FAUJ880106,geometry,0.6741665609796763,3.5986648426006456,12.95038864936993,1.7518712033037354,2.9275721736301232,0.6867357302011545
485,ROBB760104,sec_struct,0.6725527813744959,3.6079933203372674,13.01761579959834,1.7475489404239817,2.974111487546712,0.6753018181585424
91,CHOP780214,sec_struct,0.6705132232392705,3.2212388328745067,10.376379618418715,1.7421317874687197,2.525027593527619,0.6766752733473034
265,KYTJ820101,hydrophobic,0.6703920159573785,3.7311530454033415,13.921503048222629,1.7418114395328128,3.0428261150689058,0.6730094724708903
125,FASG760102,observable,0.6666115229904785,3.471491614740912,12.051254031216462,1.7319075578687804,2.813692497896766,0.6666681148924716
149,FODM020101,sec_struct,0.6608622462343866,3.6289992200094936,13.169635338829513,1.7171646141215589,2.9902007670158905,0.6917152904112704
550,WOLS870102,meta,0.6569362645843115,3.755825977302901,14.106228771783291,1.7073108251269318,3.032453094560521,0.7018485255300283
175,GEOR030102,sec_struct,0.6530304529352767,3.819051527123495,14.5851545668243,1.6976740897627738,3.174684976171798,0.6562340760651566
347,OLSK800101,geometry,0.6482711286646625,3.5308372016202605,12.466811344345592,1.6861491610403665,3.004448330904802,0.6486422452830314
378,PARS000102,composition,0.6473084439206118,3.725107401601165,13.876425153463785,1.6838463851068868,2.9753660729628986,0.6560072184263651
78,CHOP780201,sec_struct,0.6471549308080228,3.7486270803214614,14.052204987319403,1.6834800478045966,3.2437659207606693,0.6479858032305709
364,PALJ810105,sec_struct,0.6438711092909439,4.319004285434885,18.6537980176049,1.6757004895162013,3.571578596746132,0.6541521278149198
108,COSI940101,polar,0.6398088426907764,3.618771790559049,13.095509272145945,1.6662243490380393,3.113807165685168,0.6406561821753773
530,VHEG790101,hydrophobic,0.6386346852998784,3.672208339496267,13.48511408866593,1.6635151772584371,3.0755861673549254,0.6503502185909948
268,LEVM760102,geometry,0.6363892060276928,3.47882864311461,12.10224872815464,1.6583707016775653,3.061822787169654,0.6364292282161923
86,CHOP780209,sec_struct,0.6362358734356455,3.206226558905556,10.279888747031363,1.6580211495070967,2.6014382751813883,0.6481692107471588
525,VASM830101,meta,0.6360759004468375,3.336711222874394,11.133641784855934,1.6576566947295983,2.738231504556441,0.6375930467969914
395,PRAM900103,sec_struct,0.6320037495388158,3.754722048997686,14.097937665229383,1.6484595815586682,3.163164903178387,0.6329980023403504
249,KARS160122,meta,0.6316008122963581,3.476227405332647,12.084156973585747,1.647557832173515,2.9473281881033233,0.6356700836347889
276,LEVM780103,sec_struct,0.6313521419077914,3.5878329653640564,12.872545387353039,1.6470020606547955,2.9136902155086553,0.6319975024655605
