,Index,Category,R2,RMSE,MSE,RPD,MAE,Explained Var
432,QIAN880132,sec_struct,0.5577882085197172,3.6067719018344464,13.008803551862469,1.5037818563860246,2.974553474621481,0.5600705207871608
84,CHOP780207,sec_struct,0.5551314060041936,3.7533767467637955,14.087837003147174,1.4992847595264456,3.064989065753903,0.5555666679076384
110,CRAJ730101,sec_struct,0.5548360519293583,3.5094861597954328,12.316493105795693,1.498787309835079,2.897578265659771,0.5658856126398206
485,ROBB760104,sec_struct,0.5492019709306053,3.6279120385283736,13.1617457592991,1.4893919277050838,2.964555021632549,0.551040777516018
407,QIAN880107,sec_struct,0.537228147375229,4.1791147188479565,17.464999833291632,1.4699972831999337,3.5740433422755955,0.541733776519574
452,RACS820110,geometry,0.5331708207707582,3.8652618050442005,14.94024882153355,1.4635952895115616,2.967654431350983,0.5441246131349451
435,QIAN880135,sec_struct,0.5226267438632173,4.5364073625489905,20.57899175898869,1.4473413088082105,3.6279366674965567,0.5377274383916497
276,LEVM780103,sec_struct,0.5204049388712353,4.475215649756549,20.027555111825933,1.4439848906674977,3.585661451436871,0.5593350217743817
279,LEVM780106,sec_struct,0.5181470876008378,3.8924809156999283,15.151407679088152,1.4405978286961583,3.1248782477847135,0.5213989037122491
93,CHOP780216,sec_struct,0.5174841796643663,4.144589852196323,17.17762504292874,1.4396079005715008,3.1881040047682783,0.5176567740535885
344,NISK800101,geometry,0.5173855765443296,3.8329391050951154,14.691422183367346,1.4394608296646627,3.2136029418975203,0.5189631450170296
308,MUNV940101,sec_struct,0.5151400850727865,4.340542188282056,18.840306488256378,1.4361237337579527,3.5542092533774814,0.5156938046231041
312,MUNV940105,sec_struct,0.5146410220885069,4.352086437175935,18.940656356650727,1.4353852076752989,3.521749636827645,0.5244965350085252
25,AVBF000102,polar,0.5120224240840245,3.8434622038735387,14.772201712604438,1.4315287262449312,3.0648851793991208,0.5120995350577835
309,MUNV940102,sec_struct,0.5098606892129769,4.377030076096993,19.15839228705765,1.4283683949144181,3.4261537016378147,0.5099938114237519
288,MAXF760104,sec_struct,0.509078662453396,4.1341741354722865,17.09139578240803,1.42723026195453,3.1217732677183077,0.5259028171536486
170,GEIM800108,sec_struct,0.5068320597868083,3.8595076975570204,14.895799667501892,1.423975712070175,3.303613275307126,0.5123657504153625
247,KARS160120,meta,0.5058445657582534,3.9617016881690548,15.695080266041538,1.4225522017529282,3.08214025439323,0.5123631988589018
433,QIAN880133,sec_struct,0.503892660519448,3.853474796069909,14.849268003946026,1.4197509696020323,3.1549301787106856,0.5072656386142635
271,LEVM760105,geometry,0.5022623842317885,3.7024553887409333,13.708175905616775,1.4174239556690709,2.909015568642458,0.5143768202718939
266,LAWE840101,hydrophobic,0.501522029032048,4.183953560821588,17.505467399111645,1.4163709631638477,3.3617333591651124,0.5076588623911641
6,AURR980103,sec_struct,0.5008430721159105,3.976427158597769,15.811972947633926,1.4154073562873235,3.355329233574766,0.50091617686704
397,PTIO830101,sec_struct,0.4977559787932685,4.3542995499115795,18.959924570360187,1.411050679539644,3.5817120809825456,0.5071914222271269
445,RACS820103,geometry,0.4964061172772909,4.224816862603608,17.849077522539794,1.409158280554945,3.436774332797474,0.4968880958812808
434,QIAN880134,sec_struct,0.4954409522053552,4.187863783349223,17.538203067888066,1.4078098542432502,3.418925816534987,0.5032425974706233
412,QIAN880112,sec_struct,0.49273923775833584,3.826225853492099,14.640004281931342,1.4040557907717812,3.0963562108830693,0.5164335304242967
269,LEVM760103,geometry,0.49049922711134997,4.747912399438196,22.542672152738966,1.4009659383603255,3.863627618581045,0.5402798172161051
521,TANS770109,sec_struct,0.49038174806833634,3.5965463082304376,12.93514534724599,1.4008044511850375,2.7971762942457117,0.49239035025513866
242,KARS160115,meta,0.4902385487651123,3.669717048148174,13.466823213469345,1.4006076843342834,2.798871181328241,0.5153104079786865
205,ISOY800106,sec_struct,0.4868663532574288,4.065587874467684,16.529004765018662,1.395997863489536,3.2412865081049613,0.49536394727906363
365,PALJ810106,sec_struct,0.48602914393453045,4.205161387638006,17.6833822960816,1.3948604266653744,3.398941902670708,0.48733675574123647
