,Algorithm,Index,Category,R2,RMSE,MSE,RPD,MAE,Explained Var
380,BaggingRegressor,PONJ960101,geometry,0.7485164184615254,2.938055768380379,8.63217169811322,1.994091956075539,2.4613207547169824,0.751581129840726
296,RandomForestRegressor,MEIH800101,geometry,0.7299377440848296,2.9418329352408765,8.654381018867952,1.9242790623928208,2.423509433962268,0.7303885140850273
1,RandomForestRegressor,ARGP820101,hydrophobic,0.7296844647890337,3.2856757812697595,10.795665339622646,1.9233773490212929,2.783566037735848,0.7297536033366672
451,BaggingRegressor,RACS820109,geometry,0.7223957334431721,3.035351460797587,9.213358490566048,1.89795945977086,2.366415094339624,0.7261466693268286
433,RandomForestRegressor,QIAN880133,sec_struct,0.7196517524036661,3.0388769431274616,9.234773075471708,1.8886482349966656,2.496547169811321,0.7197789741388364
16,AdaBoostRegressor,AURR980113,sec_struct,0.7161156217499446,3.240739423899313,10.50239201361525,1.8768486517158196,2.5622399184721107,0.7162541506617636
252,RandomForestRegressor,KIMC930101,sec_struct,0.7141214399516759,3.5443211288131,12.562212264150968,1.8702910992063118,2.6586415094339686,0.7177673743352941
381,AdaBoostRegressor,PONP800101,hydrophobic,0.7136451226809688,3.5436618194241385,12.5575390904444,1.8687349484518168,2.9187672388952612,0.7143809977815351
225,AdaBoostRegressor,KARP850101,flexibility,0.7123279740067027,3.4898132410933327,12.178796457710355,1.8644519013037637,2.635656175653637,0.7269863339953235
190,BaggingRegressor,GUYH850102,hydrophobic,0.7103085387715241,3.2986478075857937,10.881077358490566,1.8579420019381991,2.65,0.7129995274319766
249,AdaBoostRegressor,KARS160122,meta,0.7101466309097979,3.1076945905685074,9.657765668248762,1.857423019810785,2.610274484504574,0.7102253309882971
501,AdaBoostRegressor,ROSM880104,hydrophobic,0.7078654725797423,3.3344497048306008,11.11855483404488,1.8501568813645823,2.5879424974443213,0.7083436502767273
125,RandomForestRegressor,FASG760102,observable,0.7077967560249172,3.353963279352548,11.2490696792453,1.8499393206686536,2.6773018867924554,0.7155882545503367
0,RandomForestRegressor,ANDN920101,observable,0.7064553248141052,3.2866521677381866,10.802082471698123,1.8457075833981345,2.763754716981132,0.7103377845544459
510,RandomForestRegressor,SUYM030101,flexibility,0.7050808461710165,2.9689627468954227,8.814739792452814,1.8414015755724775,2.522471698113206,0.7054863766159121
215,RandomForestRegressor,JOND750102,charge,0.7046698252645281,3.216649548949145,10.346834320754738,1.8401197592734042,2.6308113207547184,0.7140425696220688
95,RandomForestRegressor,CIDH920102,hydrophobic,0.7044527896133542,3.218683581839012,10.359924000000012,1.8394439874797488,2.5834716981132115,0.7062357853813893
379,RandomForestRegressor,PLIV810101,hydrophobic,0.7042237508477789,3.3904140560849068,11.49490747169811,1.838731649058729,2.553320754716979,0.7042685713092269
357,RandomForestRegressor,OOBM850103,sec_struct,0.7029040791286179,3.0798503945533184,9.48547845283023,1.8346433688402703,2.521132075471704,0.7029842844632233
545,RandomForestRegressor,WIMW960101,hydrophobic,0.7011189097206825,3.325823002131872,11.061098641509457,1.829156145877906,2.464150943396233,0.7027400912381789
81,RandomForestRegressor,CHOP780204,sec_struct,0.6998832606621989,3.9058020484286526,15.255289641509457,1.825386735496644,3.0767735849056663,0.7053431012124536
9,BaggingRegressor,AURR980106,sec_struct,0.6960815987635081,3.309644568501475,10.953747169811313,1.8139340869729492,2.6464150943396207,0.6960903264321932
405,RandomForestRegressor,QIAN880105,sec_struct,0.6960624399686671,3.445453799834278,11.871151886792465,1.8138769151336016,2.9037735849056623,0.6975716923727004
549,BaggingRegressor,WOLS870101,meta,0.6953232750456613,3.007979011869774,9.047937735849061,1.811675289185696,2.47566037735849,0.7063654678749686
403,RandomForestRegressor,QIAN880103,sec_struct,0.6935824666279298,3.8637977114125697,14.928932754717016,1.8065217465454115,3.206566037735853,0.7041302972680373
202,BaggingRegressor,ISOY800103,sec_struct,0.6927739172630442,3.4627903461128087,11.990916981132068,1.804143002694514,2.9192452830188667,0.6935292472604354
215,AdaBoostRegressor,JOND750102,charge,0.691011126130338,3.711218129251164,13.773140002882506,1.798989295703146,2.9294693724098715,0.6945781621508174
365,RandomForestRegressor,PALJ810106,sec_struct,0.6890773248292579,3.2482868431058174,10.551367415094358,1.7933861115490677,2.641150943396231,0.689081501696087
208,AdaBoostRegressor,JACR890101,hydrophobic,0.6889136887016543,3.094419424580747,9.57543157522264,1.7929143753306072,2.385610167088726,0.6889337961722866
281,RandomForestRegressor,LIFS790101,sec_struct,0.6871824663598103,3.1255664663943805,9.769165735849056,1.7879462397091082,2.504150943396225,0.6874674512795482
489,RandomForestRegressor,ROBB760108,sec_struct,0.6865414773272183,3.3421718788722625,11.170112867924551,1.7861172251239157,2.7587924528301926,0.6917465932685756
101,RandomForestRegressor,CORJ870102,hydrophobic,0.683039510839625,3.364946101225243,11.322862264150965,1.7762227808534967,2.8996981132075472,0.6889871429676163
61,RandomForestRegressor,CHAM810101,geometry,0.6825859869294789,3.644873375650832,13.285101924528293,1.7749533859606414,2.72932075471698,0.6827154911720313
433,KNN,QIAN880133,sec_struct,0.6821530925786514,3.2413309635232155,10.506226415094336,1.7737442675529225,2.6230188679245283,0.7062896875272618
