,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
1,_dipeptide_composition,0.7306720868375092,3.024070905574507,9.14500484194222,1.9269006222239573,2.424657742047287,0.7397592121735077
12,_quasi_seq_order,0.7123112148493054,3.085357415474666,9.519430381224511,1.8643975941851618,2.4998773406601686,0.7311983431756554
5,_geary_autocorrelation,0.7017357890744369,3.4383681772760646,11.822375722504727,1.8310467277690732,2.6699034801111505,0.7024526493498249
13,_pseudo_AAC,0.6965602442195964,3.1565869565589133,9.964041214317863,1.8153641718166371,2.529039167234215,0.6966585228031721
10,_conjoint_triad,0.6768230750292727,2.991879080389972,8.951340431675144,1.7590566573213622,2.1639129735318536,0.676861165511909
2,_tripeptide_composition,0.6694395549332106,3.346501882951191,11.199074852595869,1.7393002433153835,2.6171887697512393,0.7320153349653796
4,_moran_autocorrelation,0.6602675778005263,3.2380708526047504,10.485102846488456,1.715661091393732,2.673836592671352,0.6602708792819132
6,_CTD,0.6553694977086748,3.154454487264651,9.950583112224093,1.703425496929918,2.452810985733668,0.6579820636446616
9,_distribution,0.6341288952016211,3.344260639224445,11.184079223065895,1.6532401509122312,2.737663043580364,0.7062768004125486
0,_aa_composition,0.5624066967757941,3.6739341449763603,13.49779210162318,1.511696704999922,3.0154552270762163,0.5643085996926346
8,_transition,0.5372160065570009,3.636953508152191,13.227430820460532,1.4699780008920795,2.9978802184986786,0.5451257231502669
3,_normalized_moreaubroto_autocorrelation,0.5043345979312979,4.657584719010196,21.69309541475729,1.4203837566307234,3.6381165101846085,0.5281048302435548
14,_amp_pseudo_AAC,0.5017685228362192,3.9360821634279293,15.492742797255488,1.416721285766886,3.0347086207213283,0.5089603850627387
7,_composition,0.40488961046400307,3.7951002361235013,14.402785802224654,1.2962872034855046,3.1314504301834822,0.41356613104170603
11,_seq_order_coupling_number,0.08300359399719492,5.785074307041364,33.46708473799011,1.04427813103392,4.83208201976302,0.08330117568773354
