,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
5,_geary_autocorrelation,0.684030472179771,3.483861444724479,12.137290566037736,1.7790059450954692,2.46377358490566,0.7124129313995979
13,_pseudo_AAC,0.6734696014208117,3.4883958577514322,12.168905660377352,1.7500005725576122,2.798490566037735,0.6850647588013588
1,_dipeptide_composition,0.6692613808958765,3.6034490815077245,12.984845283018862,1.7388316861579052,2.741132075471698,0.6739092001994167
6,_CTD,0.6594164211206656,3.5674249473138144,12.726520754716972,1.7135159352675886,2.6852830188679224,0.6706119316302377
4,_moran_autocorrelation,0.6486611043987078,3.275801500655697,10.730875471698116,1.687084689242566,2.6675471698113205,0.6645660841212409
12,_quasi_seq_order,0.61405497971202,3.482985056766736,12.131184905660382,1.6096715904051484,2.852830188679245,0.6359419600456022
2,_tripeptide_composition,0.596240249738843,3.4399659936888694,11.833366037735852,1.5737599482799112,2.6811320754716985,0.6673265408254986
0,_aa_composition,0.5812922430661625,3.2056647972694887,10.276286792452831,1.5454127703580747,2.509433962264151,0.618372025894643
14,_amp_pseudo_AAC,0.520707550475536,3.885250289404887,15.095169811320757,1.4444406642087715,3.0535849056603768,0.5691725470958056
9,_distribution,0.5127977260564865,3.9294207168247235,15.440347169811323,1.4326672942616094,3.2052830188679247,0.537065656704085
7,_composition,0.5001298323954492,4.719005331715012,22.26901132075471,1.4143972088732464,3.5932075471698104,0.5183881323128219
8,_transition,0.496241090006041,3.7631540364283236,14.161328301886785,1.4089274473233786,3.0475471698113195,0.5342157495691117
10,_conjoint_triad,0.4829147922955911,4.1614493121217375,17.317660377358486,1.390653531399112,3.163018867924528,0.5731194608614314
3,_normalized_moreaubroto_autocorrelation,0.35298537484657244,4.783237239628203,22.879358490566037,1.2432055813026246,3.8199999999999994,0.37898624225613486
11,_seq_order_coupling_number,0.12081965519370597,5.542341307589358,30.71754716981131,1.0665003807698454,4.727924528301886,0.14117857555519375
