,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
12,_quasi_seq_order,0.8410335904464877,2.4934178755154495,6.2171327019399785,2.5081142598207022,1.8669182762295913,0.8413886301409842
2,_tripeptide_composition,0.804887112028257,2.8016655160427466,7.84932966378307,2.2638988632279955,1.887306636372914,0.8058641627702513
9,_distribution,0.7839481513887542,2.7401874074732753,7.50862702807511,2.15139921926194,2.254979552316515,0.784115712293753
8,_transition,0.7612006702553087,2.8679202254517615,8.224966419555281,2.046366644511555,2.283631647887531,0.7614429770554066
10,_conjoint_triad,0.6820455577380944,3.2810563404895072,10.765330709466397,1.7734442946452058,2.3085375515919817,0.6839341482086418
14,_amp_pseudo_AAC,0.6757462841594903,3.4132888912254575,11.650541054963114,1.7561334660099566,2.5224871531548523,0.6806743066369965
7,_composition,0.5795295900668174,4.374780951211,19.138708371078625,1.542170107811205,3.3070840875438057,0.583252271996054
0,_aa_composition,0.40147851722081696,4.022267322552902,16.17863441407689,1.2925880257755726,2.498564209008428,0.45128346536363795
6,_CTD,0.3892223482191063,4.607679871863289,21.2307138015741,1.2795534467982599,3.3534117986053458,0.39424656522534895
11,_seq_order_coupling_number,-0.2190700398415102,5.3235870622059425,28.340579208886496,0.905702717806909,4.343568703498571,-0.07070505610084998
13,_pseudo_AAC,-0.32847182164122124,6.861602579754524,47.081589962493936,0.8676085566273664,3.603082052057816,-0.3180507959105694
3,_normalized_moreaubroto_autocorrelation,-2.3634071133440835,10.428578434035908,108.75524815483881,0.5452683386389171,8.182001530119623,-2.2444440103737637
4,_moran_autocorrelation,-11.2808575032485,21.012526040078217,441.5262505849651,0.2853551098742643,8.347746606625764,-10.862751039295986
5,_geary_autocorrelation,-15.817617649476269,22.138372278087683,490.1075271232012,0.24384719416844713,10.967879977469991,-15.725577090646492
1,_dipeptide_composition,-2.7240847491529268e+16,1053647959.3990306,1.1101740223457412e+18,6.0588429110561286e-09,215683825.44174626,-2.715067165025116e+16
