,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,_moran_autocorrelation,Autocorrelation,0.7602365948935161,3.005202093477493,9.031239622641506,2.042248337046605,2.354905660377358,0.7693484541351723
1,_tripeptide_composition,Composition,0.7452118323010508,3.371606190213619,11.367728301886794,1.9811181290976885,2.5203773584905664,0.7542628621473477
2,_quasi_seq_order,Quasi-Sequence-Order,0.7206258855566832,3.543083349660507,12.553439622641518,1.8919380778756787,2.7956603773584923,0.7248279195601585
3,_pseudo_aa_composition,Pseudo Composition,0.6830101888721308,3.463010741569598,11.992443396226415,1.7761406275014155,2.8590566037735843,0.6850297692198538
4,_dipeptide_composition,Composition,0.6817110306390209,2.809396295856071,7.892707547169813,1.7725120896408089,2.3956603773584915,0.6818683201728734
5,_conjoint_triad,Conjoint Triad,0.6591656485898201,3.478642925592332,12.100956603773577,1.712885450407947,2.775283018867924,0.6773366648444229
6,_distribution,CTD,0.6337070340043942,3.7078033470475953,13.747805660377349,1.652287854717099,2.9311320754716976,0.6371347725569285
7,_aa_composition,Composition,0.6101621880492036,3.706585419452534,13.73877547169812,1.601614601845925,3.032641509433964,0.6127708388596741
8,_geary_autocorrelation,Autocorrelation,0.6083401700991073,3.590806394953331,12.893890566037738,1.5978848699321302,2.9626415094339613,0.611820482181767
9,_ctd,CTD,0.5835007733468044,4.135949162126888,17.10607547169811,1.5495047086747604,3.3064150943396227,0.6132252496951511
10,_amp_pseudo_aa_composition,Pseudo Composition,0.4923963233778438,4.022803865887103,16.182950943396218,1.4035814519456562,3.2683018867924534,0.4975868666414902
11,_composition,CTD,0.48173195851204964,4.624281484218172,21.383979245283022,1.3890656931984693,3.6413207547169817,0.48303094098531285
12,_seq_order_coupling_number,Quasi-Sequence-Order,0.455754635086258,3.736702966065642,13.962949056603767,1.3555097023349685,3.0258490566037715,0.49527857696115085
13,_transition,CTD,0.39611884683002374,4.8499828826774385,23.522333962264156,1.2868391411379547,3.786981132075472,0.40989900193719475
14,_normalized_moreaubroto_autocorrelation,Autocorrelation,0.34327552679119155,4.240402481787214,17.981013207547168,1.2339807920504184,3.4526415094339624,0.37734673705545096
