,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,_tripeptide_composition,Composition,0.7738277344159631,2.5874035619603606,6.694657192445161,2.1027145786825745,2.020195613675335,0.7787198059361509
1,_moran_autocorrelation,Autocorrelation,0.7582135386905897,2.931686634851027,8.594786524964137,2.03368652210409,2.336958575611453,0.7587126631135945
2,_conjoint_triad,Conjoint Triad,0.7537629099865276,2.5991043051626863,6.75534318911521,2.015223713534921,2.0854604262997176,0.7546140712966984
3,_pseudo_aa_composition,Pseudo Composition,0.7201116669634611,3.1164538469428202,9.712284580124704,1.8901993183799501,2.5096500478238157,0.7205976241441496
4,_ctd,CTD,0.6957190091158995,3.429122947533136,11.758884189298342,1.8128529977899455,2.6882848487067683,0.7314840309208378
5,_quasi_seq_order,Quasi-Sequence-Order,0.691228752094208,3.20177577528731,10.251368115216655,1.7996231594804006,2.5551645498281705,0.6951032976413585
6,_amp_pseudo_aa_composition,Pseudo Composition,0.6880418370001635,3.096243925727957,9.586726447607269,1.7904072296158795,2.5058361096333637,0.6995288806952067
7,_distribution,CTD,0.6589660941701236,3.595537173189976,12.927887563790962,1.7123842335588961,2.904151764623736,0.6606256208460859
8,_dipeptide_composition,Composition,0.6406554165889433,3.1152730600026572,9.70492623837832,1.6681859094635851,2.5554725790524215,0.6407014173005988
9,_aa_composition,Composition,0.6053445224766922,3.3246403647322285,11.053233554806846,1.591808914661267,2.694516512444053,0.6212931787019451
10,_transition,CTD,0.5211114960281531,3.7603160347297124,14.139976681045388,1.4450497333219772,3.1164032207234444,0.5458514840395008
11,_geary_autocorrelation,Autocorrelation,0.4919762337122604,4.062743615135916,16.505885682327648,1.40300101452816,3.1364597202871574,0.49199015128776546
12,_normalized_moreaubroto_autocorrelation,Autocorrelation,0.47242478854501835,4.132744824555426,17.079579784889663,1.3767586353592436,3.4590741174636097,0.518931643462597
13,_composition,CTD,0.31679663118290646,4.143347908765707,17.16733189307315,1.2098318134401909,3.2412910583772345,0.3352650047585455
14,_seq_order_coupling_number,Quasi-Sequence-Order,0.3166192387030241,4.708727261204604,22.172112420411413,1.2096747787334254,3.672919262489275,0.33905326753656384
