,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,_dipeptide_composition,Composition,0.7962719556887377,2.54693386139877,6.48687209433965,2.2155144753867417,1.9099056603773628,0.7974072965260188
1,_tripeptide_composition,Composition,0.7894694786473349,2.6339621098691643,6.937756396226421,2.179427703291848,2.018811320754717,0.7899424845382095
2,_conjoint_triad,Conjoint Triad,0.7286618375993946,3.2100243812628384,10.304256528301869,1.9197494872385106,2.2106037735849053,0.7460289399809179
3,_moran_autocorrelation,Autocorrelation,0.7176578315772382,3.0678418386823374,9.411653547169825,1.8819675339418656,2.4393962264150955,0.7189416279030025
4,_pseudo_aa_composition,Pseudo Composition,0.7044874245841217,3.1936252984922664,10.199242547169817,1.8395517785306539,2.6493773584905678,0.7044975953768718
5,_quasi_seq_order,Quasi-Sequence-Order,0.6971576399532776,3.679733519371331,13.54043877358492,1.8171538100188414,2.8948867924528296,0.6976018179733535
6,_distribution,CTD,0.6686606598935045,3.469967356162041,12.040673452830188,1.7372547128523754,2.9134150943396215,0.6739448925511218
7,_seq_order_coupling_number,Quasi-Sequence-Order,0.6406262291255814,3.42097540708042,11.703072735849046,1.668118165087503,2.7410377358490545,0.6477040512442663
8,_transition,CTD,0.6342960686103173,3.603631268700327,12.986158320754727,1.6536179786984955,3.0562830188679273,0.6380579169159621
9,_amp_pseudo_aa_composition,Pseudo Composition,0.6263888909903351,3.3763320977004407,11.399618433962258,1.636025654048703,2.6608113207547173,0.6264026262604108
10,_geary_autocorrelation,Autocorrelation,0.6122922559832407,3.4341936270287006,11.793685867924541,1.6060082140730287,2.5787735849056586,0.6153134093180564
11,_ctd,CTD,0.5708300144375598,3.2921852953422834,10.838484018867957,1.5264596516328672,2.7748113207547234,0.5804024963081446
12,_aa_composition,Composition,0.5693805594853304,4.215070039034023,17.766815433962282,1.5238884724570343,3.3591698113207538,0.5705779143506489
13,_composition,CTD,0.4856409388488344,3.893967964613214,15.16298650943398,1.3943339519109168,3.285754716981132,0.5004587953904701
14,_normalized_moreaubroto_autocorrelation,Autocorrelation,0.4631353047826089,4.2734294124738055,18.262198943396214,1.3647954858799147,3.3401132075471702,0.4803369654064952
