,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,_dipeptide_composition,Composition,0.7363441034604734,2.707433672417698,7.330197090541183,1.9475169926958096,2.155528404534599,0.745314428206157
1,_tripeptide_composition,Composition,0.7233688276847844,3.158370516079158,9.975304316838129,1.9012947167315561,2.409038163721126,0.7260360364234774
2,_pseudo_aa_composition,Pseudo Composition,0.7225291114320203,3.1748055547596086,10.079390310532466,1.8984155717669142,2.433005195480955,0.7252887740042206
3,_moran_autocorrelation,Autocorrelation,0.6914564279746364,3.3887954546455665,11.48393463342645,1.8002870126063115,2.6754030835668483,0.6952818682543446
4,_conjoint_triad,Conjoint Triad,0.6898952188079477,3.175180702414819,10.081772492987463,1.7957495607798046,2.312997492240809,0.6917938333191325
5,_quasi_seq_order,Quasi-Sequence-Order,0.6716830186790949,3.2457821375871507,10.535101684679812,1.7452326410140682,2.338242544414933,0.6727756616820147
6,_ctd,CTD,0.6503770827523231,3.3016517100193226,10.900904014273518,1.6912197975682728,2.613275555370197,0.6592936392164808
7,_seq_order_coupling_number,Quasi-Sequence-Order,0.6438825787868159,3.5236795027146885,12.416317237851635,1.6757274739937282,2.8529517751607636,0.6456744973976154
8,_geary_autocorrelation,Autocorrelation,0.6362632234364838,3.65335930290845,13.347034196147716,1.6580834830823015,2.9512555263922384,0.6858158572351709
9,_aa_composition,Composition,0.6071725331286174,3.808743100549073,14.506524005980165,1.5955083330235398,2.8415884825433286,0.6166137472373445
10,_amp_pseudo_aa_composition,Pseudo Composition,0.6048506820992047,4.2267807517512335,17.86567552337472,1.5908139170217714,3.3825737828925586,0.6099439707535359
11,_distribution,CTD,0.5900168090262858,3.4596101584042454,11.968902448133848,1.5617696336371527,2.6887280253198695,0.6193745645998241
12,_transition,CTD,0.5182744178112073,3.952053476428112,15.618726680547525,1.4407882062801598,3.1106591671026904,0.5317578804901479
13,_composition,CTD,0.4869616654396025,4.179570235399704,17.46880735263914,1.3961275316005988,3.3239588629444103,0.5085560344278925
14,_normalized_moreaubroto_autocorrelation,Autocorrelation,0.45479230014434047,4.555631299701376,20.753776538818844,1.3543128827779547,3.681107145038764,0.4566156738830911
