,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,_geary_autocorrelation,Autocorrelation,0.7725098297890997,2.748814200111161,7.555979506732762,2.096614969060528,2.1804898171596436,0.7728234004436298
1,_tripeptide_composition,Composition,0.772177619541455,2.7020961621824005,7.301323669680857,2.095085771013827,2.1730651814475577,0.7734777770679528
2,_conjoint_triad,Conjoint Triad,0.7713709462861782,2.9141211118627095,8.492101854603954,2.0913864532317765,2.475098539244374,0.7732138839357124
3,_moran_autocorrelation,Autocorrelation,0.7253431808431243,2.990387159970182,8.942415366514531,1.9081161481844593,2.362381350120896,0.7254020260075529
4,_dipeptide_composition,Composition,0.6859682293990188,3.0627976306420326,9.380729326266449,1.7844862505145564,2.4506998381885072,0.7037965757035127
5,_pseudo_aa_composition,Pseudo Composition,0.6618216802338841,3.264348136777118,10.655968758080244,1.7195987430282809,2.6855389231052627,0.6625559385482771
6,_ctd,CTD,0.6488987036051584,3.14980677071223,9.921282692824606,1.6876554393281937,2.594591078224816,0.6772019291638047
7,_quasi_seq_order,Quasi-Sequence-Order,0.6046271878569345,3.046217444491381,9.2794407191236,1.5903642300448413,2.444325135219673,0.67070697397459
8,_aa_composition,Composition,0.5950129859580836,3.647508455211856,13.30431793084198,1.5713735951740766,2.8262111014842417,0.5950463925428535
9,_distribution,CTD,0.5703691626780232,3.534274356001432,12.491095223489335,1.5256407388541313,2.7249717334377284,0.5822950291474559
10,_seq_order_coupling_number,Quasi-Sequence-Order,0.5423369359342717,3.828471393903446,14.657193213936994,1.4781791359794407,3.2272364070902615,0.5470419666371028
11,_composition,CTD,0.5288648987438962,4.116520581900192,16.9457417012079,1.4568916997406598,3.4350998958683676,0.5288672094477544
12,_normalized_moreaubroto_autocorrelation,Autocorrelation,0.5151786073131968,3.663214654271232,13.419141603267501,1.4361807873509576,2.881754286432616,0.5154110016866356
13,_amp_pseudo_aa_composition,Pseudo Composition,0.5138443720969041,4.0282719485788,16.22697489170684,1.43420866215405,3.3833152550339882,0.5272164043744276
14,_transition,CTD,0.1925985931597658,3.934993887408069,15.48417689393887,1.112897710843589,3.2102110092433342,0.23369901465209697
