,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
0,aa_comp,1.0,5.130136634320031,26.318301886792458,1.1609143941415008,4.281132075471698,0.33240522753595536
1,dipeptide_comp,1.0,4.5667791383110705,20.855471698113206,1.2850714711429752,3.59622641509434,0.38950163265280313
2,tripeptide_comp,1.0,4.141005255768445,17.147924528301886,1.4841899556409173,3.3245283018867924,0.5572801037725919
3,norm_moreaubroto_autocorrelation,1.0,4.592652047585217,21.092452830188684,1.1317311225267839,3.5886792452830196,0.22529474921838466
4,moran_autocorrelation,1.0,4.910424029647887,24.112264150943393,1.2237833011495887,3.8320754716981127,0.4979839965660421
5,geary_autocorrelation,1.0,4.617787594092103,21.32396226415094,1.1909378289715156,3.688679245283018,0.2815706738194721
6,composition,1.0,6.209776224206229,38.561320754716974,1.0278149062617048,5.254716981132075,0.0360260616261191
7,transition,1.0,4.707240508785075,22.15811320754717,1.0371989788907274,3.8981132075471696,0.06854646842298995
8,distribution,1.0,4.9931273521428405,24.931320754716978,1.1678310663560842,3.920754716981132,0.2528406344273859
9,conjoint_triad,1.0,4.310605613451198,18.58132075471698,1.4164308997571236,3.605660377358491,0.49820900304705995
10,seq_order_coupling_number,1.0,5.3053550732095385,28.146792452830184,1.1193399436721432,3.9886792452830178,0.2026515252844978
11,quasi_seq_order_descriptors,1.0,4.279701982218361,18.31584905660377,1.2490639240232735,3.2415094339622645,0.35082828240759223
12,pseudo_aa_comp,1.0,4.8069721376429335,23.10698113207547,1.2517608827627784,3.9377358490566037,0.34952875673272665
13,amphipilic_pseudo_aa_comp,1.0,5.3240111137771535,28.345094339622644,1.119623142605605,3.979245283018868,0.1907321644038843
