,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
5,geary_autocorrelation,0.9507884393244743,3.448763245647387,11.893967924528297,1.6432989815969519,2.7126415094339618,0.6228201931460557
3,norm_moreaubroto_autocorrelation,0.9501154763684063,2.996274416230678,8.97766037735849,1.6305579535506154,2.3950943396226405,0.6213333803564984
8,distribution,0.9458718950209091,4.465703688553715,19.942509433962254,1.3575719793845562,3.464150943396226,0.44981207815962676
9,conjoint_triad,0.9457937256319301,3.033103834016324,9.199718867924526,1.926950034395063,2.323584905660376,0.7264195591370028
11,quasi_seq_order_descriptors,0.9434947851893016,4.050705039959675,16.408211320754713,1.441829440217633,3.1728301886792445,0.5240466407697839
10,seq_order_coupling_number,0.9412351150263848,3.7371593995116776,13.966360377358484,1.6067032220868183,2.8560377358490556,0.6058433264482856
1,dipeptide_comp,0.9395986764443877,2.7696628089844615,7.671032075471698,2.1667932759780553,2.2507547169811315,0.7842504646450643
12,pseudo_aa_comp,0.9374032037525835,3.8814471625247844,15.065632075471699,1.6474984396456729,2.986981132075471,0.6283243781394718
2,tripeptide_comp,0.9371750896761498,2.9959910320544925,8.975962264150942,1.972203809331711,2.3060377358490562,0.7382758617105902
13,amphipilic_pseudo_aa_comp,0.9356530897071651,3.6884636572621123,13.604764150943396,1.5027260618684675,2.9620754716981135,0.5724925953755082
6,composition,0.9263710301996999,4.478953508164813,20.06102452830189,1.145687804922847,3.695660377358491,0.2608917051230998
4,moran_autocorrelation,0.9261214389047799,3.2348182416642484,10.46404905660378,1.9054262613305428,2.4471698113207565,0.7207389039578238
7,transition,0.9148631556482989,3.5119870202192787,12.334052830188687,1.679251297472253,2.774716981132077,0.6502916185385981
0,aa_comp,0.9140651681281957,3.483321175989137,12.133526415094346,1.727040291722953,2.838679245283021,0.6771581310766486
