,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
2,tripeptide_comp,0.7667948763882665,4.371607363818968,19.110950943396226,1.348215272374924,3.344528301886793,0.5567657241126319
11,quasi_seq_order_descriptors,0.7667737955300987,3.8126829062218426,14.536550943396236,1.558476560646402,3.1452830188679255,0.5906918130925486
1,dipeptide_comp,0.7636192329992545,3.6678943627923335,13.453449056603777,1.5559822522625093,2.940377358490567,0.6359996399612691
10,seq_order_coupling_number,0.7626361931850447,3.9301649108421763,15.446196226415093,1.65201973394156,3.229056603773585,0.6525221595875916
5,geary_autocorrelation,0.7621451763460019,3.938661778291401,15.51305660377358,1.4588666664651895,2.9584905660377356,0.6465507837089817
3,norm_moreaubroto_autocorrelation,0.7512329435759311,3.3757056564880292,11.395388679245277,1.8024912822963726,2.5566037735849045,0.6896894301341778
4,moran_autocorrelation,0.7478761222942154,3.534372459043512,12.49178867924528,1.5391473224218286,2.6928301886792445,0.5967516929147954
12,pseudo_aa_comp,0.7410322094891704,3.580113838181633,12.817215094339623,1.7895984648169416,2.816981132075471,0.699638785400795
0,aa_comp,0.7337238539372348,4.729330400567912,22.36656603773585,1.308632401823761,3.21811320754717,0.4962598215747257
7,transition,0.7094924451642541,3.3972075102831925,11.541018867924526,1.6327852705033474,2.604905660377357,0.6200891727557043
8,distribution,0.707694913361165,4.370676731850528,19.102815094339615,1.4883995370346248,3.4222641509433958,0.5610303431047411
13,amphipilic_pseudo_aa_comp,0.7066561703713559,3.3413261405254198,11.164460377358498,1.724924279393023,2.546037735849058,0.6775086848982168
6,composition,0.6963225718868997,3.8506309211044942,14.827358490566045,1.5273784793432914,3.2215094339622654,0.6020072278328208
9,conjoint_triad,0.6939907470930606,3.8939459542140056,15.16281509433962,1.6083468213929388,3.192830188679246,0.7233156222767816
