,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
10,_conjoint_triad,0.8013593105498407,2.4667987810956724,6.085096226415096,2.243705709290907,2.025094339622642,0.8026774101853782
2,_tripeptide_composition,0.7845848571593543,2.7125678845518104,7.3580245283018835,2.154576334812172,2.1416981132075454,0.8062090557632257
1,_dipeptide_composition,0.7609936425979525,3.036500903317676,9.220337735849062,2.0454801696089584,2.334150943396226,0.7639802161250926
14,_amp_pseudo_AAC,0.6928630466702141,3.5252110869488607,12.427113207547169,1.8044047597547723,2.815471698113207,0.696093035999358
5,_geary_autocorrelation,0.6862177426005385,3.4011654495326065,11.567926415094338,1.785195602920766,2.5990566037735854,0.6906194065752862
4,_moran_autocorrelation,0.6680358527416463,3.0416852329923585,9.251849056603778,1.7356190536937082,2.398867924528302,0.6685080441299883
12,_quasi_seq_order,0.6533170890645965,3.401207887551071,11.568215094339621,1.6983757600403409,2.809056603773583,0.654150806473639
6,_CTD,0.6223328734106433,3.6609195669219106,13.402332075471708,1.6272167571530356,2.809433962264151,0.6228022152530479
9,_distribution,0.5749574932212003,3.621944125091249,13.118479245283014,1.5338532747162676,2.886415094339623,0.6215552392038644
0,_aa_composition,0.5684050239630501,3.841463950503619,14.75684528301887,1.5221652731428292,3.0298113207547166,0.5698695614600437
13,_pseudo_AAC,0.5263352536723849,3.4857553795465526,12.150490566037732,1.4529961674155758,2.782264150943395,0.5838206568381131
8,_transition,0.47791690040065793,4.505218776753811,20.2969962264151,1.383981174090826,3.601886792452831,0.5027729193462515
7,_composition,0.4463761304945836,4.757886600756725,22.637484905660383,1.343979352639465,3.823962264150946,0.4577285876198489
3,_normalized_moreaubroto_autocorrelation,0.3853436657263526,4.520989622838269,20.439347169811317,1.275509857245944,3.686037735849056,0.38621082449669986
11,_seq_order_coupling_number,-0.3876199964171303,6.512340390250693,42.41057735849055,0.8489160119641208,5.3396226415094326,-0.3710299188216881
