,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
2,_tripeptide_composition,0.6296006939902662,3.5498073293450307,12.601132075471698,1.6431034890315834,2.6679245283018864,0.6698253408996968
10,_conjoint_triad,0.5365985655085703,4.03875097449227,16.31150943396226,1.4689983672264386,3.1037735849056602,0.5617818617481023
12,_quasi_seq_order,0.3960809250244852,4.406127808422146,19.41396226415094,1.2867987383490902,3.7999999999999994,0.3970594423824263
14,_amp_pseudo_AAC,0.3324423866126871,4.919828958524073,24.20471698113207,1.2239273039404615,3.843396226415094,0.33262392727534085
5,_geary_autocorrelation,0.31763467587206984,5.549502782418932,30.796981132075466,1.2105745109211796,3.7962264150943392,0.3359599778257567
9,_distribution,0.29582308312394623,5.2579678978759805,27.646226415094354,1.1916785101397025,4.016981132075471,0.29872844509046326
8,_transition,0.2864523793374165,5.356040497543009,28.687169811320764,1.18382775771224,4.094339622641509,0.3181178455751994
1,_dipeptide_composition,0.2505487019928402,4.843688754938428,23.461320754716986,1.1551231612784498,3.813207547169812,0.25693627551322096
6,_CTD,0.22637850041625018,4.544206346630258,20.64981132075472,1.1369352577034129,3.6037735849056602,0.2734365143065506
13,_pseudo_AAC,0.05894460422612413,6.0296593977462924,36.356792452830184,1.0308427133660933,4.552830188679246,0.07095320184425302
3,_normalized_moreaubroto_autocorrelation,-0.20818184197429512,6.435382734802665,41.41415094339622,0.9097746842905756,5.1716981132075475,-0.1253619383360931
0,_aa_composition,-0.29014358603077395,5.861563317776401,34.357924528301886,0.8804019102410119,4.3226415094339625,-0.21831995842084817
4,_moran_autocorrelation,-0.37834913796706804,5.934469186734555,35.217924528301886,0.8517661572795486,4.349056603773585,-0.36622396972644
7,_composition,-0.3818118959969128,5.6882865410934516,32.3566037735849,0.8506982441173208,4.916981132075471,-0.3805804389277869
11,_seq_order_coupling_number,-0.5221919463886453,6.799583783044483,46.234339622641514,0.8105229008172392,5.415094339622642,-0.46176899841114305
