,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
1,_dipeptide_composition,0.8232307388313569,2.824201392561257,7.976113505744943,2.3784642422354945,2.4314464545661156,0.8362457585691166
6,_CTD,0.7977590278643651,2.8633048985372658,8.1985149419875,2.2236448649172216,2.2577159975874754,0.7995821119855141
13,_pseudo_AAC,0.7878165977254311,2.7834460911440373,7.747572142305019,2.1709223788423064,2.1946119936374373,0.790472102946296
5,_geary_autocorrelation,0.7866124945039134,2.4854495877476444,6.177459653234935,2.164788672334934,2.0581501508093467,0.7920308771686881
2,_tripeptide_composition,0.7823397709028053,2.6914223229808236,7.243754120639492,2.143435696025479,2.00590282338425,0.7857793917939319
4,_moran_autocorrelation,0.7599316770938356,2.7891082281256563,7.779124708198239,2.0409509652807025,2.2677330272862783,0.8002006078349825
12,_quasi_seq_order,0.718858128121978,3.315542390055536,10.992821340255176,1.8859806558760277,2.752795580872326,0.7197896903466013
10,_conjoint_triad,0.6893094854005868,2.7804031044815147,7.730641423410444,1.7940560318953382,2.0488794956570664,0.6901724388796826
9,_distribution,0.6360956368768493,3.814930869586946,14.553697539727413,1.6577016458006402,3.119235193991953,0.6420394107201037
7,_composition,0.6040044229972037,4.109583220809244,16.88867424875688,1.5891131899835904,3.214257055862122,0.6041427383537613
8,_transition,0.5551762368779212,3.52841148059448,12.449687576390929,1.499360309168655,2.9502982535105935,0.5552200719393718
3,_normalized_moreaubroto_autocorrelation,0.554157174529571,4.62952767210276,21.4325264667652,1.4976457859632375,3.6156817749264762,0.5562583688934287
14,_amp_pseudo_AAC,0.5488480225563636,4.008794301034531,16.07043174800693,1.4888075666528264,3.356235543638698,0.5490726663134466
0,_aa_composition,0.4244730603855731,4.169626084678769,17.3857816860336,1.318157094503992,3.0930965172655553,0.43892352629163944
11,_seq_order_coupling_number,-0.07642368870281091,4.775458052009195,22.80499960649945,0.9638476141400973,3.9732868144772655,-0.04633948332162574
