,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
1,_dipeptide_composition,0.8139141456637272,2.4794217105744463,6.147532018867913,2.318159529643345,1.9036037735849045,0.8356107774597162
9,_distribution,0.7623938815831194,2.7812774857662452,7.735504452830207,2.0514984358469266,2.2978490566037806,0.7628317566140106
10,_conjoint_triad,0.7380093137643007,2.6363245605727816,6.950207188679269,1.9536963889217098,2.165150943396231,0.7777940220417976
2,_tripeptide_composition,0.690807222673451,2.7137110877771327,7.364227867924548,1.7983960078583168,2.202433962264158,0.7036556120580613
0,_aa_composition,0.6879075356143447,3.1856299397776175,10.148238113207547,1.7900219591054938,2.471924528301884,0.6985676394028439
12,_quasi_seq_order,0.6685076255430938,3.3831848286645028,11.44593958490566,1.736853662394268,2.7288679245283025,0.6691874275032839
4,_moran_autocorrelation,0.6610423352373805,3.7834705192205966,14.314649169811371,1.7176207203422966,2.91358490566038,0.6861395433318649
6,_CTD,0.6592902491300595,3.415825577713025,11.667864377358521,1.7131986303837632,2.7981509433962333,0.7077751544393467
13,_pseudo_AAC,0.5911476730220021,3.528854651433436,12.452815150943396,1.5639280284279964,2.900094339622642,0.6152399601619797
8,_transition,0.5176004091449637,3.932372914138364,15.46355673584905,1.4397813198737852,3.2296037735849064,0.5190811672931022
7,_composition,0.5104828463756383,3.908257375990114,15.274475716981133,1.4292758068758231,3.1109245283018874,0.5224322824372125
3,_normalized_moreaubroto_autocorrelation,0.4693481384172432,4.493817509792845,20.194395811320767,1.37276170021012,3.5846037735849063,0.46974605192087227
5,_geary_autocorrelation,0.41443015608101574,3.8724840986554887,14.996133094339612,1.3068045817869816,3.051698113207548,0.4146793568539141
14,_amp_pseudo_AAC,0.36723199238815407,4.493742296815503,20.19371983018867,1.2571229163880748,3.612320754716984,0.4434609160764833
11,_seq_order_coupling_number,-0.3875136799381924,6.597307903563654,43.52447157442346,0.8489485348984104,5.15388050314466,-0.35612327587761294
