,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
128,"('_dipeptide_composition', '_geary_autocorrelation', '_conjoint_triad')",0.8242481395622303,2.560322798044941,6.555252830188675,2.385338591430778,1.9479245283018864,0.825896110222825
144,"('_dipeptide_composition', '_composition', '_seq_order_coupling_number')",0.8160587035421389,2.1982081038710883,4.832118867924526,2.331633993680513,1.7254716981132063,0.8175329106866939
11,"('_aa_composition', '_dipeptide_composition', '_pseudo_AAC')",0.7965412738956779,2.5327585826003713,6.414866037735843,2.2169803281231792,2.0401886792452824,0.7970618407821224
429,"('_transition', '_seq_order_coupling_number', '_quasi_seq_order')",0.7886707222332217,2.7360114200357493,7.485758490566037,2.1753050376179317,2.3139622641509443,0.7921926772668846
146,"('_dipeptide_composition', '_composition', '_pseudo_AAC')",0.7868300493620859,2.77463069104667,7.69857547169812,2.1658930498291933,2.1839622641509435,0.7901131909420432
350,"('_geary_autocorrelation', '_transition', '_distribution')",0.7855604624515519,2.8402212244424883,8.066856603773587,2.1594719587964275,2.3067924528301895,0.7872093712986141
99,"('_dipeptide_composition', '_tripeptide_composition', '_seq_order_coupling_number')",0.7816191857469543,2.6630292015488455,7.0917245283018815,2.1398964561754554,2.0490566037735847,0.7896939633719875
168,"('_dipeptide_composition', '_pseudo_AAC', '_amp_pseudo_AAC')",0.7808058030496868,2.6452545620626395,6.9973716981132075,2.1359224174350397,2.119811320754718,0.7813663794872345
189,"('_tripeptide_composition', '_moran_autocorrelation', '_amp_pseudo_AAC')",0.7800092319340944,2.998416563253421,8.990501886792456,2.1320518980313397,2.42867924528302,0.7899022449854605
384,"('_CTD', '_distribution', '_conjoint_triad')",0.7782729695293541,2.7270182071058473,7.436628301886789,2.1236878367780316,2.1235849056603766,0.7787090904150442
112,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation', '_pseudo_AAC')",0.7765772700936864,2.95156754003635,8.711750943396233,2.115613467714667,2.427547169811321,0.782476852287217
8,"('_aa_composition', '_dipeptide_composition', '_conjoint_triad')",0.7761501030389748,2.9051856693824067,8.440103773584902,2.1135939181533714,2.2081132075471697,0.7762402548243637
375,"('_CTD', '_composition', '_quasi_seq_order')",0.7708002702987691,2.7425105562136682,7.521364150943404,2.088781197386603,2.183584905660379,0.7784013209881416
220,"('_tripeptide_composition', '_distribution', '_conjoint_triad')",0.7699090841468057,2.8274770405954373,7.9946264150943325,2.0847321482327676,1.9966037735849045,0.7728008832774218
109,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation', '_conjoint_triad')",0.767647795401476,3.075530633767981,9.458888679245279,2.0745628724600915,2.457169811320754,0.7699343152925424
0,"('_aa_composition', '_dipeptide_composition', '_tripeptide_composition')",0.766971614600882,2.8417998548621144,8.075826415094335,2.0715507958936126,2.180754716981133,0.7694972009881187
148,"('_dipeptide_composition', '_transition', '_distribution')",0.7663519876733018,3.132907805977495,9.81511132075472,2.068802129681279,2.371509433962264,0.7754192506185129
184,"('_tripeptide_composition', '_moran_autocorrelation', '_distribution')",0.7648340887867673,3.137761189609379,9.845545283018865,2.062114689144856,2.4311320754716976,0.7677600642706551
336,"('_geary_autocorrelation', '_CTD', '_transition')",0.7647763031687973,3.033162307708847,9.20007358490566,2.061861381564753,2.3760377358490565,0.7677615134701781
353,"('_geary_autocorrelation', '_transition', '_quasi_seq_order')",0.762914370838448,2.69457701374796,7.260745283018872,2.0537490941772787,2.2205660377358503,0.7634070160510359
194,"('_tripeptide_composition', '_geary_autocorrelation', '_conjoint_triad')",0.7619257724668165,3.1478435265947593,9.90891886792453,2.049480582738761,2.3643396226415097,0.7702893123957351
308,"('_moran_autocorrelation', '_composition', '_distribution')",0.7616693314693863,3.0974560468655823,9.594233962264159,2.0483776774743725,2.419245283018869,0.76167748152089
152,"('_dipeptide_composition', '_transition', '_pseudo_AAC')",0.761568326844031,3.0755039470470344,9.458724528301888,2.0479437637809297,2.4999999999999996,0.7959526854656019
97,"('_dipeptide_composition', '_tripeptide_composition', '_distribution')",0.7603762532667885,2.95403433763464,8.726318867924524,2.04284338561494,2.4401886792452823,0.7646422833801884
83,"('_aa_composition', '_conjoint_triad', '_pseudo_AAC')",0.7591192066973195,2.9290909144145156,8.579573584905663,2.037506081127611,2.2403773584905666,0.7591658395767378
412,"('_composition', '_conjoint_triad', '_pseudo_AAC')",0.757877365156785,3.1003605998426393,9.61223584905661,2.0322742025580167,2.471886792452831,0.7760118410730854
