,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
151,"('_dipeptide_composition', '_transition', '_quasi_seq_order')",0.8125679021030308,2.670772625120742,7.13302641509434,2.30981935887715,2.198490566037736,0.8174307209214959
40,"('_aa_composition', '_moran_autocorrelation', '_distribution')",0.7938328458191608,2.719561562888331,7.3960150943396235,2.2023698950137476,2.1939622641509433,0.80001527442966
423,"('_transition', '_distribution', '_pseudo_AAC')",0.7918844410941054,2.62594457398864,6.895584905660378,2.1920362162153397,2.09622641509434,0.7918956195558184
173,"('_tripeptide_composition', '_normalized_moreaubroto_autocorrelation', '_transition')",0.784514098477956,2.857477446715996,8.165177358490567,2.1542225587722146,2.242264150943395,0.7852683522982863
4,"('_aa_composition', '_dipeptide_composition', '_CTD')",0.7830249444549076,2.9403336994550373,8.645562264150945,2.146817347086896,2.458490566037737,0.8113844406554696
109,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation', '_conjoint_triad')",0.777649264564499,2.9528253179777777,8.719177358490564,2.1207072196674157,2.398867924528301,0.7935874679735266
233,"('_tripeptide_composition', '_quasi_seq_order', '_amp_pseudo_AAC')",0.7702295325970486,2.834925043100787,8.0368,2.0861853733423303,2.3969811320754717,0.792865908668988
216,"('_tripeptide_composition', '_transition', '_seq_order_coupling_number')",0.7692663237679905,2.7492242473585433,7.558233962264148,2.081826378786292,2.0709433962264154,0.7746804365176658
394,"('_CTD', '_seq_order_coupling_number', '_pseudo_AAC')",0.7615712584837894,2.5823596054917424,6.6685811320754675,2.0479563541567116,2.04566037735849,0.7618620817992444
39,"('_aa_composition', '_moran_autocorrelation', '_transition')",0.7607872154283805,2.9174310229352294,8.511403773584899,2.0445974119945873,2.2056603773584906,0.7857005892739654
9,"('_aa_composition', '_dipeptide_composition', '_seq_order_coupling_number')",0.7592567691155824,2.904142779378946,8.43404528301887,2.0380881208282475,2.345283018867925,0.7802570585208302
287,"('_normalized_moreaubroto_autocorrelation', '_quasi_seq_order', '_pseudo_AAC')",0.7581168256857704,2.749740296484963,7.561071698113212,2.0332799134197317,2.135849056603774,0.7591489795923015
114,"('_dipeptide_composition', '_moran_autocorrelation', '_geary_autocorrelation')",0.756813856950022,3.078018230357822,9.474196226415097,2.027825535263987,2.464528301886792,0.7823853481288761
220,"('_tripeptide_composition', '_distribution', '_conjoint_triad')",0.7566575571084978,2.888352667538276,8.342581132075475,2.0271741903593274,2.227924528301887,0.7705371925627957
