,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
390,"('_CTD', '_conjoint_triad', '_quasi_seq_order')",0.7770125966794397,2.7167324811862934,7.380635374332634,2.117677561281445,2.194074963013316,0.7770126332452214
115,"('_dipeptide_composition', '_moran_autocorrelation', '_CTD')",0.7747354415210732,2.7823819288541323,7.7416491980140405,2.1069467803819277,2.1625904042150306,0.7963506468931876
240,"('_normalized_moreaubroto_autocorrelation', '_moran_autocorrelation', '_conjoint_triad')",0.7711568446224243,2.96082645390922,8.766493290168645,2.0904078919574354,2.5017972465745606,0.7713184272900933
183,"('_tripeptide_composition', '_moran_autocorrelation', '_transition')",0.770768163288562,2.7764255215012508,7.708538676443492,2.0886349112758387,2.1711318147658925,0.7717750980194218
307,"('_moran_autocorrelation', '_composition', '_transition')",0.7677880649543976,2.690354467691176,7.2380071618258714,2.0751893563548487,2.1578781011041115,0.7678126367196735
293,"('_moran_autocorrelation', '_geary_autocorrelation', '_distribution')",0.7672974262180259,2.789044467991238,7.778769044432526,2.073000498880154,2.183103515546149,0.7699556783296433
83,"('_aa_composition', '_conjoint_triad', '_pseudo_AAC')",0.762260404123167,2.735096627863569,7.480753563750667,2.050922454288243,2.1598464081440323,0.7623741278641232
330,"('_moran_autocorrelation', '_seq_order_coupling_number', '_pseudo_AAC')",0.7563073942345094,2.759513081006693,7.614912444247052,2.025717239470122,2.189140575663733,0.7602250784703546
339,"('_geary_autocorrelation', '_CTD', '_seq_order_coupling_number')",0.7546370228011665,2.8877026000285992,8.338826306211933,2.018810169003235,2.440658995963873,0.7631712930502963
105,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation', '_CTD')",0.7546150750876967,2.8655246061458155,8.211231268427131,2.0187198837953035,2.4205520963596214,0.767539801319296
149,"('_dipeptide_composition', '_transition', '_conjoint_triad')",0.7496789852493101,2.7663003604490606,7.652417684220603,1.9987171762811384,2.2198888013545126,0.7506267319388482
37,"('_aa_composition', '_moran_autocorrelation', '_CTD')",0.7464019869104774,2.871437449005896,8.245153023553486,1.985761456031358,2.145988263043989,0.7468315061164892
109,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation', '_conjoint_triad')",0.7450794031911707,2.6793756854035435,7.1790540635317095,1.9806034751315156,2.2214460702671204,0.7482755121315914
47,"('_aa_composition', '_geary_autocorrelation', '_composition')",0.7447451120686255,2.982206946828158,8.893558273710124,1.9793061149057543,2.4696436905083443,0.7449855547804036
2,"('_aa_composition', '_dipeptide_composition', '_moran_autocorrelation')",0.7444963033126062,3.238857190528399,10.490195900637515,1.9783421589079104,2.417341272867555,0.7571821643277464
304,"('_moran_autocorrelation', '_CTD', '_quasi_seq_order')",0.7428769900537093,2.636276097378863,6.949951661611127,1.9721027027712397,2.158119180002424,0.7431458383993258
364,"('_geary_autocorrelation', '_conjoint_triad', '_amp_pseudo_AAC')",0.7401645644921735,3.1656613080922043,10.021411517552044,1.9617822952432145,2.451415059589271,0.7472433693423127
92,"('_dipeptide_composition', '_tripeptide_composition', '_moran_autocorrelation')",0.7375732494437214,2.897041970508096,8.39285217888543,1.9520725234263845,2.2266052678855126,0.7521044853025323
