,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
72,"('_aa_composition', '_transition', '_seq_order_coupling_number')",0.7958942408601504,2.653240543258035,7.039685380388192,2.213463528393028,2.0218551098850104,0.7962146354032655
75,"('_aa_composition', '_transition', '_amp_pseudo_AAC')",0.7620840306426883,3.1435917098122528,9.882168838000322,2.0501621114726305,2.6815768347934936,0.7620889486618041
414,"('_composition', '_seq_order_coupling_number', '_quasi_seq_order')",0.759856116482533,2.6100543219551624,6.812383563556823,2.0406298502202325,2.154878613704272,0.7703240465873635
71,"('_aa_composition', '_transition', '_conjoint_triad')",0.7531055760682248,2.971046939892615,8.827119919045273,2.012539250757222,2.298147414972891,0.7681751568678384
296,"('_moran_autocorrelation', '_geary_autocorrelation', '_quasi_seq_order')",0.7461372827861054,3.0995056399978753,9.606935212378637,1.984725903535789,2.45758389709278,0.7532785336453537
380,"('_CTD', '_transition', '_seq_order_coupling_number')",0.7388061705447095,2.6944221736807243,7.25991085002236,1.9566743126954202,2.233497675528083,0.7469479514457369
131,"('_dipeptide_composition', '_geary_autocorrelation', '_pseudo_AAC')",0.7267568039660096,3.057746888234042,9.349816032504968,1.913045598303868,2.3399863600960025,0.728982089851377
250,"('_normalized_moreaubroto_autocorrelation', '_geary_autocorrelation', '_seq_order_coupling_number')",0.7233293613675056,3.1628699690327524,10.003746441009245,1.9011591046242273,2.28946712429599,0.723508646445177
372,"('_CTD', '_composition', '_distribution')",0.6997930110860933,3.2336411251793473,10.456434926451156,1.825112336884518,2.462073604766655,0.7033037804409594
239,"('_normalized_moreaubroto_autocorrelation', '_moran_autocorrelation', '_distribution')",0.6946923886198342,3.4099934058930876,11.628055028234341,1.8098025019231774,2.8274177952124075,0.723717995878949
63,"('_aa_composition', '_composition', '_transition')",0.6904273872649918,3.2171667515082842,10.350161907010365,1.7972923828663707,2.505819553523582,0.6925812303310797
241,"('_normalized_moreaubroto_autocorrelation', '_moran_autocorrelation', '_seq_order_coupling_number')",0.6860941341945368,3.3144709129553043,10.98571743282677,1.7848440852616105,2.3364040334645337,0.6861490524661604
400,"('_composition', '_transition', '_conjoint_triad')",0.6727196918851654,3.2755954365750677,10.72952546411141,1.7479945020711594,2.3708041790549292,0.6750423899392006
236,"('_normalized_moreaubroto_autocorrelation', '_moran_autocorrelation', '_CTD')",0.6623686740124133,3.8078505402565277,14.49972573693193,1.7209911333092418,2.7077014451979555,0.6635451245278804
92,"('_dipeptide_composition', '_tripeptide_composition', '_moran_autocorrelation')",0.6521753282770575,3.5305187601831327,12.464562716005045,1.69558594528194,2.6110839691964345,0.657891631355999
404,"('_composition', '_transition', '_amp_pseudo_AAC')",0.6269799925835274,3.868997309877957,14.969140183842866,1.637321394954991,3.0622534519081137,0.6295381342575832
401,"('_composition', '_transition', '_seq_order_coupling_number')",0.6263964840957483,2.938469617585457,8.634603693472823,1.6360422792296812,2.189835955714969,0.6450013972980364
374,"('_CTD', '_composition', '_seq_order_coupling_number')",0.6250421791659577,3.9919526585287493,15.935686027934748,1.6330850073228975,3.204749274181028,0.6421058014624583
114,"('_dipeptide_composition', '_moran_autocorrelation', '_geary_autocorrelation')",0.6228595095786237,3.341304706760879,11.164317143422405,1.6283524774851705,2.404319998350195,0.6361123191532562
288,"('_normalized_moreaubroto_autocorrelation', '_quasi_seq_order', '_amp_pseudo_AAC')",0.6210129195934085,3.437129971942105,11.813862444022735,1.6243806124612354,2.653763251065881,0.6239485697040386
406,"('_composition', '_distribution', '_seq_order_coupling_number')",0.6146006472640029,3.8760723603012317,15.02393694229116,1.610810713847598,2.8028904151860807,0.6162598073990813
429,"('_transition', '_seq_order_coupling_number', '_quasi_seq_order')",0.6100281232535747,3.461755893047963,11.983753863052298,1.6013392761052645,2.666165867675668,0.6107267310735527
85,"('_aa_composition', '_seq_order_coupling_number', '_quasi_seq_order')",0.606783257522855,3.5228146075709863,12.410222759315523,1.5947183790379804,2.397112298545563,0.6102169224004138
128,"('_dipeptide_composition', '_geary_autocorrelation', '_conjoint_triad')",0.6064142974471725,3.682905482956675,13.56379279639234,1.5939707332672317,2.6718845773232878,0.6067720418623659
371,"('_CTD', '_composition', '_transition')",0.6041454486873009,3.9179521260981396,15.350348862396933,1.5893962305944607,3.147033266531815,0.6146749632309119
55,"('_aa_composition', '_CTD', '_composition')",0.5953060439104294,3.9480110588183024,15.586791320551614,1.5719424450214028,2.9386622070159536,0.5968562639068478
243,"('_normalized_moreaubroto_autocorrelation', '_moran_autocorrelation', '_pseudo_AAC')",0.5920675961544217,3.071412627315467,9.433575527232902,1.5656904324140961,2.369000880249583,0.6020286282557681
306,"('_moran_autocorrelation', '_CTD', '_amp_pseudo_AAC')",0.5878915712810986,3.905367307893596,15.251893809564072,1.5577374156669002,2.8520708528913055,0.5893590149244541
385,"('_CTD', '_distribution', '_seq_order_coupling_number')",0.5847919911683173,3.920345076443285,15.369105518393106,1.5519121706930816,2.9471113422051083,0.5850599295407639
334,"('_moran_autocorrelation', '_pseudo_AAC', '_amp_pseudo_AAC')",0.5792741454833478,3.6190017110292474,13.09717338443262,1.541701870822699,2.7460694761981173,0.5870210908523501
248,"('_normalized_moreaubroto_autocorrelation', '_geary_autocorrelation', '_distribution')",0.5706527950932239,3.933876605991611,15.475385151168075,1.5261445848333484,3.008845633055439,0.5725952891934976
252,"('_normalized_moreaubroto_autocorrelation', '_geary_autocorrelation', '_pseudo_AAC')",0.5614188112123504,3.402775889876007,11.578883756721453,1.5099932287867326,2.6699984796963703,0.5660732576060131
342,"('_geary_autocorrelation', '_CTD', '_amp_pseudo_AAC')",0.5604762531735292,3.653594235292706,13.348750836164095,1.5083732706745074,2.9706704285449796,0.5708502249541302
421,"('_transition', '_distribution', '_seq_order_coupling_number')",0.5461969557078601,3.4938228125303366,12.206797845357391,1.4844524728388355,2.743253545230494,0.5472564453316476
66,"('_aa_composition', '_composition', '_seq_order_coupling_number')",0.544098039397928,3.403459833364746,11.583538837327184,1.4810314128552848,2.587328509993156,0.5500455605649082
169,"('_tripeptide_composition', '_normalized_moreaubroto_autocorrelation', '_moran_autocorrelation')",0.5358854692527031,3.799241961595652,14.434239482749177,1.467869400288426,2.6428364992874944,0.5360053870798978
116,"('_dipeptide_composition', '_moran_autocorrelation', '_composition')",0.5333333679084358,4.36590852451891,19.06115724446689,1.4638501636507681,3.058942683767488,0.5344975899908895
77,"('_aa_composition', '_distribution', '_seq_order_coupling_number')",0.5126442367628306,3.625525381819435,13.144434294216959,1.432441672216815,2.7351279830892827,0.5167326901747418
305,"('_moran_autocorrelation', '_CTD', '_pseudo_AAC')",0.507374866962645,4.472687075203686,20.004929672694097,1.4247600117128172,3.5286534129189184,0.530801610025841
261,"('_normalized_moreaubroto_autocorrelation', '_CTD', '_amp_pseudo_AAC')",0.5041507248866957,4.231880006775609,17.908808391747126,1.4201203756846192,3.2679631662951047,0.5057201914695437
64,"('_aa_composition', '_composition', '_distribution')",0.5029163070484883,4.325115459238628,18.70662373574497,1.4183559729984903,3.250627529136722,0.5115743536660498
324,"('_moran_autocorrelation', '_distribution', '_amp_pseudo_AAC')",0.49468966863777775,4.440798553805008,19.720691795476654,1.4067629155955665,3.4580427829290685,0.49627629395595585
68,"('_aa_composition', '_composition', '_pseudo_AAC')",0.49274010409271896,4.536617792621391,20.58090099632899,1.404056989744239,2.688251591039966,0.4928057743126002
303,"('_moran_autocorrelation', '_CTD', '_seq_order_coupling_number')",0.49206166763956727,4.1327812912501125,17.07988120130695,1.403119000156803,3.182597025317058,0.49485764416092104
93,"('_dipeptide_composition', '_tripeptide_composition', '_geary_autocorrelation')",0.48793422390186214,4.248004315406254,18.045540663710153,1.3974527241839163,2.9675218390393296,0.49139555365566845
298,"('_moran_autocorrelation', '_geary_autocorrelation', '_amp_pseudo_AAC')",0.4845032665453538,4.014785874190791,16.11850561560191,1.3927944937543175,2.621938790464658,0.48921182477129843
328,"('_moran_autocorrelation', '_conjoint_triad', '_amp_pseudo_AAC')",0.4769446381949979,4.192423875324154,17.576417950388,1.3826942945649032,3.422968583175872,0.4778138014403438
279,"('_normalized_moreaubroto_autocorrelation', '_distribution', '_amp_pseudo_AAC')",0.4742271397638532,4.794590277256584,22.98809592676337,1.3791163832242554,3.5008677823971146,0.4765257322472567
