,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
7,"('_aa_composition', '_dipeptide_composition', '_distribution')",0.871432512210522,2.0596507912261637,4.242161381798562,2.7889094962130034,1.7105800665441444,0.8757737649373651
233,"('_tripeptide_composition', '_quasi_seq_order', '_amp_pseudo_AAC')",0.86567439967404,2.5233781036356553,6.367437053907875,2.72847893317451,2.0807704967399636,0.86867735120956
413,"('_composition', '_conjoint_triad', '_amp_pseudo_AAC')",0.8647201573119285,2.308374862020902,5.328594503610018,2.7188387761738833,1.848566651277433,0.8707529652174082
307,"('_moran_autocorrelation', '_composition', '_transition')",0.8617284948218552,2.395199930384629,5.736982706514532,2.6892653411274514,1.9371928587253333,0.8644416070157817
314,"('_moran_autocorrelation', '_transition', '_distribution')",0.8580741620115111,2.10140992475581,4.4159236718622195,2.654417710997289,1.7637191213342092,0.8594411251362485
20,"('_aa_composition', '_tripeptide_composition', '_conjoint_triad')",0.8512389196715866,2.641173883107485,6.975799480809071,2.592718330727581,2.1715045774689896,0.8552177955169307
134,"('_dipeptide_composition', '_CTD', '_transition')",0.849895843792968,2.2848452500384973,5.220517816623483,2.581092930146881,1.7897142819685932,0.8541898771774101
207,"('_tripeptide_composition', '_composition', '_transition')",0.848944882699846,2.5246292123238145,6.373752659718764,2.5729555221389426,1.9263770243707667,0.8500159339629914
155,"('_dipeptide_composition', '_distribution', '_seq_order_coupling_number')",0.8481967737347439,2.2324270922195457,4.983730722075816,2.566607737278506,1.7947332813892038,0.8502804078905849
240,"('_normalized_moreaubroto_autocorrelation', '_moran_autocorrelation', '_conjoint_triad')",0.8465831375050866,2.5578084902964395,6.542384273032551,2.553074286452127,1.9767326611993932,0.8480494361508627
228,"('_tripeptide_composition', '_conjoint_triad', '_amp_pseudo_AAC')",0.8421212357173732,2.524309099679242,6.372136430723425,2.5167387777158092,1.9916149653772348,0.8424686177459029
320,"('_moran_autocorrelation', '_distribution', '_conjoint_triad')",0.8416682502995868,2.3729848552172266,5.631057123090322,2.513136017839275,1.9104601572486732,0.8417565142688508
183,"('_tripeptide_composition', '_moran_autocorrelation', '_transition')",0.8411952434884616,2.30199936813914,5.299201090913,2.509390484733734,1.9302286769936103,0.842832502720357
