,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
1,"('_aa_composition', '_dipeptide_composition', '_normalized_moreaubroto_autocorrelation')",0.8278724709153628,2.558433427661073,6.545581603773589,2.4103207124870507,2.1839056603773592,0.8391830515614784
182,"('_tripeptide_composition', '_moran_autocorrelation', '_composition')",0.8211351196142725,2.2896853289612498,5.242658905660386,2.364489891981519,1.8281132075471718,0.8250476151598454
215,"('_tripeptide_composition', '_transition', '_conjoint_triad')",0.8202186133164728,2.653212701897355,7.039537641509462,2.358455232743003,2.002924528301892,0.8216806418759314
202,"('_tripeptide_composition', '_CTD', '_conjoint_triad')",0.8197251925335922,2.736445301260831,7.488132886792481,2.3552254187208335,2.208396226415103,0.8298702119519348
161,"('_dipeptide_composition', '_conjoint_triad', '_pseudo_AAC')",0.8191016796652941,2.719861487177973,7.397646509433974,2.3511629682185604,2.1943584905660396,0.8269120184624327
0,"('_aa_composition', '_dipeptide_composition', '_tripeptide_composition')",0.816983024951241,2.4361625600250734,5.93488801886792,2.3375144998519373,1.9767358490566,0.8196570530437548
322,"('_moran_autocorrelation', '_distribution', '_quasi_seq_order')",0.8152851614456966,2.6329977857230844,6.932677339622665,2.3267467055057893,2.011188679245285,0.8200253804393905
220,"('_tripeptide_composition', '_distribution', '_conjoint_triad')",0.8120236994188149,2.3765491471999067,5.647985849056603,2.3064734025241966,1.8652830188679226,0.8161918001619906
130,"('_dipeptide_composition', '_geary_autocorrelation', '_quasi_seq_order')",0.8119696278670793,2.791820174508464,7.79425988679247,2.306141744500619,1.96860377358491,0.8147925376059435
91,"('_dipeptide_composition', '_tripeptide_composition', '_normalized_moreaubroto_autocorrelation')",0.8108605865840611,2.4975065754347145,6.237539094339635,2.29937063690314,2.0844528301886833,0.8114189492542259
165,"('_dipeptide_composition', '_seq_order_coupling_number', '_amp_pseudo_AAC')",0.8079990928115771,2.8147907492856676,7.923046962264169,2.2821719313821776,2.2216792452830214,0.8080013631679961
96,"('_dipeptide_composition', '_tripeptide_composition', '_transition')",0.8076434755465356,2.8306887854372107,8.012798999999992,2.2800613838193073,2.1980566037735847,0.8136255543294668
142,"('_dipeptide_composition', '_composition', '_distribution')",0.8022268559354044,2.637851223149579,6.958259075471732,2.2486214084901768,2.19394339622642,0.8022846053097286
173,"('_tripeptide_composition', '_normalized_moreaubroto_autocorrelation', '_transition')",0.8003554565514116,2.474365819265044,6.122486207547172,2.238057692637765,2.039188679245284,0.8004701309978173
223,"('_tripeptide_composition', '_distribution', '_pseudo_AAC')",0.8002849903077988,2.7722777910850493,7.685524150943401,2.2376628263920333,2.231283018867924,0.8007054873751609
336,"('_geary_autocorrelation', '_CTD', '_transition')",0.7998726333685694,2.744767784108383,7.533750188679243,2.2353563162739953,2.188377358490566,0.8006434066063968
124,"('_dipeptide_composition', '_geary_autocorrelation', '_CTD')",0.7988499512723237,2.873085593954467,8.254620830188694,2.2296666035722033,2.448641509433967,0.7996871874406299
221,"('_tripeptide_composition', '_distribution', '_seq_order_coupling_number')",0.797854622620558,2.5986822749304626,6.753149566037764,2.224170584739306,2.189943396226421,0.8138202037779496
169,"('_tripeptide_composition', '_normalized_moreaubroto_autocorrelation', '_moran_autocorrelation')",0.7975564218198679,2.5158252106547545,6.32937649056604,2.222531871676582,2.1022264150943397,0.7981450609338683
446,"('_conjoint_triad', '_seq_order_coupling_number', '_pseudo_AAC')",0.7972690397689658,2.565857232899497,6.5836233396226636,2.220956033726565,1.9890754716981185,0.7996201993874674
318,"('_moran_autocorrelation', '_transition', '_pseudo_AAC')",0.7958764210839393,2.7591504708432906,7.612911320754752,2.2133669097519655,2.199584905660383,0.7960340725677504
20,"('_aa_composition', '_tripeptide_composition', '_conjoint_triad')",0.7938400233413319,2.7468372000855052,7.545114603773577,2.202408232768298,2.0474716981132053,0.7940245939390358
423,"('_transition', '_distribution', '_pseudo_AAC')",0.7933575884626212,2.711446063398088,7.351939754716988,2.199835819355427,2.1660566037735838,0.794551001002413
290,"('_moran_autocorrelation', '_geary_autocorrelation', '_CTD')",0.7922609998890722,2.203075200628124,4.85354033962265,2.1940220176282796,1.8114339622641507,0.793653590422938
288,"('_normalized_moreaubroto_autocorrelation', '_quasi_seq_order', '_amp_pseudo_AAC')",0.7897158425141129,2.5996095606695513,6.757969867924538,2.180704012146002,2.1043962264150955,0.7897587892337237
210,"('_tripeptide_composition', '_composition', '_seq_order_coupling_number')",0.7884481477476935,2.628634971105875,6.909721811320784,2.1741604132384422,2.0644528301886846,0.789760753919223
425,"('_transition', '_conjoint_triad', '_seq_order_coupling_number')",0.7881816430355585,2.309241952725272,5.3325983962264285,2.1727922448407284,1.772094339622644,0.789879324868858
151,"('_dipeptide_composition', '_transition', '_quasi_seq_order')",0.7880590197701138,2.8082399208098647,7.886211452830196,2.172163594758414,2.1913018867924543,0.7880613262929886
79,"('_aa_composition', '_distribution', '_pseudo_AAC')",0.7880266674419505,2.6102575959052654,6.813444716981136,2.1719978257199135,2.2372452830188667,0.7880512561261275
412,"('_composition', '_conjoint_triad', '_pseudo_AAC')",0.786996995313563,2.9634632849943423,8.782114641509459,2.1667416675605744,2.288113207547173,0.7872527078166327
38,"('_aa_composition', '_moran_autocorrelation', '_composition')",0.7862995999858853,2.770473231151733,7.675521924528322,2.1632032784152035,2.1530943396226463,0.7863792059068633
225,"('_tripeptide_composition', '_conjoint_triad', '_seq_order_coupling_number')",0.7854149621485443,2.94818591487702,8.691800188679252,2.158739715049696,2.3237358490566042,0.7963482021898947
132,"('_dipeptide_composition', '_geary_autocorrelation', '_amp_pseudo_AAC')",0.7853844388420015,2.6010325090639608,6.765370113207562,2.158586198182798,1.9782264150943407,0.7860035244794159
301,"('_moran_autocorrelation', '_CTD', '_distribution')",0.7848288323100766,2.8286480502976756,8.001249792452843,2.1557974885761415,2.2441320754716982,0.787801426406431
78,"('_aa_composition', '_distribution', '_quasi_seq_order')",0.7845674492911964,2.5790267836808973,6.651379150943433,2.1544892835788443,2.079339622641515,0.7857673170249102
160,"('_dipeptide_composition', '_conjoint_triad', '_quasi_seq_order')",0.7845375021318477,2.786167530755103,7.762729509433986,2.1543395520092576,2.234981132075476,0.7885733810155912
346,"('_geary_autocorrelation', '_composition', '_seq_order_coupling_number')",0.78077474657796,2.939121454538465,8.638434924528303,2.135771119711346,2.3193018867924535,0.7835380828083538
367,"('_geary_autocorrelation', '_seq_order_coupling_number', '_amp_pseudo_AAC')",0.7806680298240551,2.6720260739039667,7.139723339622646,2.135251472959262,2.212283018867924,0.7821988061103944
389,"('_CTD', '_conjoint_triad', '_seq_order_coupling_number')",0.7799291342565775,3.0940122604677183,9.572911867924558,2.1316638685974043,2.3193396226415133,0.7799406264639162
4,"('_aa_composition', '_dipeptide_composition', '_CTD')",0.7788669038463693,2.543985908350671,6.471864301886788,2.126537896990823,2.084150943396226,0.7789023060795627
149,"('_dipeptide_composition', '_transition', '_conjoint_triad')",0.7785553866219195,2.9643461272705967,8.787347962264183,2.125041616919301,2.337283018867928,0.7850770708370541
377,"('_CTD', '_composition', '_amp_pseudo_AAC')",0.7782559851729406,2.9087133380618453,8.460613283018883,2.123606503890951,2.24550943396227,0.7887444908619399
93,"('_dipeptide_composition', '_tripeptide_composition', '_geary_autocorrelation')",0.7773532952782812,2.5440717104524677,6.472300867924545,2.1192971989494582,2.0014716981132104,0.7782870510282378
410,"('_composition', '_conjoint_triad', '_seq_order_coupling_number')",0.7758464186178866,2.506268827153678,6.281383433962272,2.1121616789503075,2.013735849056605,0.7772305369576841
98,"('_dipeptide_composition', '_tripeptide_composition', '_conjoint_triad')",0.7757500044952022,2.9589603413845946,8.755446301886836,2.1117075783649466,2.2710943396226484,0.777257945504276
227,"('_tripeptide_composition', '_conjoint_triad', '_pseudo_AAC')",0.7754009599774073,2.8496171540275954,8.120317924528333,2.1100660607830224,2.2626037735849116,0.7808804356773574
109,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation', '_conjoint_triad')",0.7752512249141995,2.75181829424261,7.5725039245283075,2.1093630457907717,2.1254716981132082,0.7758996700272534
212,"('_tripeptide_composition', '_composition', '_pseudo_AAC')",0.7748955079434448,2.690473722052797,7.238648849056632,2.10769574700323,2.152509433962268,0.7790659417575119
