,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
179,"('_tripeptide_composition', '_normalized_moreaubroto_autocorrelation', '_amp_pseudo_AAC')",0.8082988097024707,2.463511125447702,6.068887065204604,2.2839552753716337,2.023129702445946,0.8083624702416936
102,"('_dipeptide_composition', '_tripeptide_composition', '_amp_pseudo_AAC')",0.8003041987596509,2.6359610465092826,6.948290638714313,2.2377704425883915,2.114393610107733,0.8044061194860557
144,"('_dipeptide_composition', '_composition', '_seq_order_coupling_number')",0.7913518001486368,2.7423412974714485,7.5204357918173885,2.1892364931801795,2.0956570879997627,0.801206697875837
147,"('_dipeptide_composition', '_composition', '_amp_pseudo_AAC')",0.7842845784935749,2.52058734499789,6.3533605637635135,2.1530762134757637,2.1278212048048992,0.7843265016617438
14,"('_aa_composition', '_tripeptide_composition', '_moran_autocorrelation')",0.7837353103524431,2.3492026438631366,5.518753061933551,2.1503402882829232,1.8798142737576213,0.7839086828571156
309,"('_moran_autocorrelation', '_composition', '_conjoint_triad')",0.782794509773248,2.765951501701479,7.650487709764666,2.145678258823085,2.2569348836371046,0.7831719997582626
222,"('_tripeptide_composition', '_distribution', '_quasi_seq_order')",0.7824460875836167,2.387628339996721,5.7007690899554975,2.1439593711272136,1.9898685512475522,0.7846733787806184
426,"('_transition', '_conjoint_triad', '_quasi_seq_order')",0.7822032850302223,2.690731168352456,7.240034220343372,2.142763981260842,2.159449898377466,0.785282603777717
194,"('_tripeptide_composition', '_geary_autocorrelation', '_conjoint_triad')",0.7817135917677686,2.7571960311450736,7.602129954162146,2.140359144789656,2.150747675662766,0.7830669039284648
5,"('_aa_composition', '_dipeptide_composition', '_composition')",0.781641761998858,2.5001026983572485,6.250513502333194,2.1400070762125663,1.8989880707130917,0.7872486895520306
226,"('_tripeptide_composition', '_conjoint_triad', '_quasi_seq_order')",0.7771450057037059,2.906555063020377,8.448062334369387,2.118306575639145,2.3824241548385166,0.7939322261484645
229,"('_tripeptide_composition', '_seq_order_coupling_number', '_quasi_seq_order')",0.7746222658813696,2.860418927100863,8.181996438516851,2.1064177019577035,2.2960659223438675,0.7752656919362889
331,"('_moran_autocorrelation', '_seq_order_coupling_number', '_amp_pseudo_AAC')",0.7736447825491508,2.891517518743533,8.360873561200757,2.1018646461606654,2.348425064553545,0.7748260451920481
65,"('_aa_composition', '_composition', '_conjoint_triad')",0.7730071707760668,2.8211477199372474,7.95887445770713,2.0989105526479035,2.310444250359058,0.773377573287615
227,"('_tripeptide_composition', '_conjoint_triad', '_pseudo_AAC')",0.7693542584727797,2.604046600869552,6.781058699500268,2.0822231937059823,1.9648412972797993,0.7694098765641794
116,"('_dipeptide_composition', '_moran_autocorrelation', '_composition')",0.7690924555988154,2.9077958905808616,8.455276941278946,2.0810424470503666,2.323497770738656,0.769141621852131
172,"('_tripeptide_composition', '_normalized_moreaubroto_autocorrelation', '_composition')",0.7690475852391127,2.4363360978721382,5.935733581794838,2.080840280601677,1.9324559152376704,0.7746100605909844
353,"('_geary_autocorrelation', '_transition', '_quasi_seq_order')",0.7680111802586169,2.9883589896222897,8.930289450856353,2.076187023471777,2.32542933569936,0.7684044927649164
186,"('_tripeptide_composition', '_moran_autocorrelation', '_seq_order_coupling_number')",0.7666053714801093,2.737573560602103,7.494308999707678,2.0699248178201612,2.159949806199862,0.7688091213455948
18,"('_aa_composition', '_tripeptide_composition', '_transition')",0.7656087822218052,2.7005579176003303,7.293013066313833,2.0655196565155647,2.177465406526953,0.7658038169030543
233,"('_tripeptide_composition', '_quasi_seq_order', '_amp_pseudo_AAC')",0.7617738913525477,2.8899460923850775,8.351788416891779,2.04882715514866,2.432549496743822,0.7634592779209289
45,"('_aa_composition', '_moran_autocorrelation', '_amp_pseudo_AAC')",0.7610728994142082,2.8109982803986324,7.901711332404069,2.0458194044704223,2.271792424250175,0.762817205307294
198,"('_tripeptide_composition', '_geary_autocorrelation', '_amp_pseudo_AAC')",0.7587809139380498,2.8712195012373374,8.243901424285584,2.036076850548334,2.180314588350194,0.7601003570896457
436,"('_distribution', '_conjoint_triad', '_quasi_seq_order')",0.7574631435963146,2.577177812660274,6.6418454780683955,2.0305380302961447,2.0043665347469792,0.7581346289327872
129,"('_dipeptide_composition', '_geary_autocorrelation', '_seq_order_coupling_number')",0.7573998781420731,2.369968328307911,5.616749877182595,2.030273250365049,1.8412822339503156,0.7641424850020264
302,"('_moran_autocorrelation', '_CTD', '_conjoint_triad')",0.7564347451533788,2.5410376657245406,6.456872418630822,2.026246755141869,2.0422577257699035,0.756981688522247
196,"('_tripeptide_composition', '_geary_autocorrelation', '_quasi_seq_order')",0.7559401003071438,2.7451557033800467,7.5358798357999985,2.024192380649225,2.1509708053543664,0.7590951978427959
92,"('_dipeptide_composition', '_tripeptide_composition', '_moran_autocorrelation')",0.7542656637034434,2.8968649795454167,8.391826709716668,2.0172841572328677,2.2641485101141963,0.7553979488951268
445,"('_conjoint_triad', '_seq_order_coupling_number', '_quasi_seq_order')",0.7536978008352031,3.1612597343516557,9.993563108033102,2.014957337151549,2.5790654360001217,0.7585119625949386
10,"('_aa_composition', '_dipeptide_composition', '_quasi_seq_order')",0.7533981078940365,2.8224217587906697,7.966064584495018,2.0137325856583237,2.3078623505344154,0.7652261638149687
2,"('_aa_composition', '_dipeptide_composition', '_moran_autocorrelation')",0.7527562610788787,2.753831149973544,7.583586002564614,2.0111170537479666,2.201472599857327,0.7531111891104816
6,"('_aa_composition', '_dipeptide_composition', '_transition')",0.7524931179307763,2.598754058311033,6.753522655588064,2.010047684677723,2.0099647307084174,0.7860848483021008
356,"('_geary_autocorrelation', '_distribution', '_conjoint_triad')",0.7504244622736651,3.053783534328311,9.325593874534711,2.0017000141768575,2.537418651758785,0.7515400846224634
346,"('_geary_autocorrelation', '_composition', '_seq_order_coupling_number')",0.7500566384843864,2.741144333048735,7.513872254605194,2.0002265924398297,2.2070037900050163,0.7528629739003554
412,"('_composition', '_conjoint_triad', '_pseudo_AAC')",0.7496229955971851,2.7299371162873425,7.452556658883252,1.9984936858360214,2.130629211834543,0.7581932819338648
83,"('_aa_composition', '_conjoint_triad', '_pseudo_AAC')",0.7494583474117567,3.2859435114205597,10.797424760246878,1.9978369039528057,2.581366030469814,0.7497017480393326
361,"('_geary_autocorrelation', '_conjoint_triad', '_seq_order_coupling_number')",0.7493905109172725,2.641581220259804,6.977951343229275,1.997566492355225,2.0980528513792573,0.7623889751518291
181,"('_tripeptide_composition', '_moran_autocorrelation', '_CTD')",0.7481508220565918,2.748361060370107,7.553488518158701,1.9926440704337862,2.211251509255073,0.7486374815173451
208,"('_tripeptide_composition', '_composition', '_distribution')",0.7471895772902021,2.8697670236818587,8.235562770211834,1.9888522115948333,2.3470962431988127,0.7580821179255083
296,"('_moran_autocorrelation', '_geary_autocorrelation', '_quasi_seq_order')",0.7462093671685994,2.780871018487237,7.733243621462243,1.9850077452690875,2.1451135813209103,0.7526089617923918
234,"('_tripeptide_composition', '_pseudo_AAC', '_amp_pseudo_AAC')",0.7448095025656525,2.9024580234547024,8.424262577916577,1.9795558116367205,2.3663160799485192,0.7448352678931498
