,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,"('_dipeptide_composition', '_moran_autocorrelation', '_conjoint_triad')","Composition,Autocorrelation,Conjoint Triad",0.8461427187913488,2.4310652562050534,5.910078279927343,2.5494175615100017,1.999577011104102,0.8471357260281822
1,"('_tripeptide_composition', '_moran_autocorrelation', '_seq_order_coupling_number')","Composition,Autocorrelation,Quasi-Sequence-Order",0.8104510252670625,2.5231081737627066,6.366074856508181,2.296885151233077,2.028660036470752,0.8239594360768052
2,"('_ctd', '_transition', '_conjoint_triad')","CTD,CTD,Conjoint Triad",0.8084810557374805,2.5616575634013645,6.562089472131415,2.285041702669165,1.9696460916078293,0.8096872180085687
3,"('_ctd', '_conjoint_triad', '_quasi_seq_order')","CTD,Conjoint Triad,Quasi-Sequence-Order",0.8066436480642081,2.3681990467288063,5.608366724927226,2.274158752120738,1.8963539240283322,0.8066543950765066
4,"('_tripeptide_composition', '_moran_autocorrelation', '_conjoint_triad')","Composition,Autocorrelation,Conjoint Triad",0.7981564208737257,2.4168403944296064,5.841117492146655,2.225832763126517,1.9703185338643672,0.7983521835996064
5,"('_aa_composition', '_dipeptide_composition', '_distribution')","Composition,Composition,CTD",0.7971230426817831,2.8850875677738705,8.323730273723347,2.220156752544426,2.331220107855774,0.82745762714033
6,"('_normalized_moreaubroto_autocorrelation', '_distribution', '_conjoint_triad')","Autocorrelation,CTD,Conjoint Triad",0.7965421448810998,2.890041470287644,8.352339699982366,2.216985073468299,2.1983758590797926,0.7981476511228324
7,"('_moran_autocorrelation', '_distribution', '_seq_order_coupling_number')","Autocorrelation,CTD,Quasi-Sequence-Order",0.795702015845102,3.04198770423414,9.253689192711695,2.2124219537692666,2.3584170982759027,0.7971169658040194
8,"('_dipeptide_composition', '_tripeptide_composition', '_ctd')","Composition,Composition,CTD",0.7948899673005029,2.7373996058612526,7.493356602169342,2.2080380244438342,2.179625580861163,0.798430212095419
9,"('_aa_composition', '_moran_autocorrelation', '_quasi_seq_order')","Composition,Autocorrelation,Quasi-Sequence-Order",0.7941282611307671,2.875048942782961,8.265906423397421,2.2039494720853567,2.228635142863628,0.7941489252187939
10,"('_dipeptide_composition', '_distribution', '_seq_order_coupling_number')","Composition,CTD,Quasi-Sequence-Order",0.7937742298698269,2.6437790501370397,6.989567665943508,2.2020568808434953,2.0726971388014634,0.8026313754378254
11,"('_transition', '_distribution', '_conjoint_triad')","CTD,CTD,Conjoint Triad",0.7933916593012417,2.6830334601655097,7.198668548367708,2.2000171943213847,2.12452228107475,0.7942969830083493
12,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation', '_ctd')","Composition,Autocorrelation,CTD",0.7919350002569134,2.7478642791228416,7.550758096479294,2.1923025291084355,2.160923497317787,0.7982343269400485
13,"('_dipeptide_composition', '_distribution', '_pseudo_aa_composition')","Composition,CTD,Pseudo Composition",0.7910599635272921,2.641572535873796,6.977905462282717,2.187707052859369,1.9348372117697943,0.7911740241291361
14,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation', '_distribution')","Composition,Autocorrelation,CTD",0.7903619785362126,2.956783424073116,8.74256821687354,2.1840620560829525,2.4452820539211726,0.7945452768827941
15,"('_tripeptide_composition', '_ctd', '_conjoint_triad')","Composition,CTD,Conjoint Triad",0.7885934840958327,3.019000135792604,9.11436181991576,2.174907623522619,2.444531293301848,0.7895003114519499
16,"('_tripeptide_composition', '_moran_autocorrelation', '_pseudo_aa_composition')","Composition,Autocorrelation,Pseudo Composition",0.7885336728225184,2.973351761019725,8.8408206947591,2.1746000256284255,2.510870432143022,0.7906669883622787
17,"('_aa_composition', '_moran_autocorrelation', '_pseudo_aa_composition')","Composition,Autocorrelation,Pseudo Composition",0.7883989359139404,2.564346419371302,6.575872558542419,2.1739075774531194,2.1234477886004046,0.7941142044200974
18,"('_dipeptide_composition', '_composition', '_conjoint_triad')","Composition,CTD,Conjoint Triad",0.7880927098631112,2.8495776399698713,8.120092726216262,2.1723362586744344,2.1782972753044603,0.7894516405751494
19,"('_aa_composition', '_tripeptide_composition', '_conjoint_triad')","Composition,Composition,Conjoint Triad",0.7850059577304975,2.5060342941663922,6.280207883538048,2.1566853455549784,2.089570681867041,0.8010981936364536
20,"('_dipeptide_composition', '_moran_autocorrelation', '_composition')","Composition,Autocorrelation,CTD",0.7844935343539847,2.8367633393020126,8.047226243207906,2.1541197758778066,2.273138470578389,0.8094309977172524
21,"('_dipeptide_composition', '_ctd', '_transition')","Composition,CTD,CTD",0.7842690133095709,2.914111463082893,8.492045619271119,2.1529985388855892,2.286275074259492,0.784524706268311
22,"('_geary_autocorrelation', '_ctd', '_quasi_seq_order')","Autocorrelation,CTD,Quasi-Sequence-Order",0.7833948231156972,2.596770605290148,6.743217576498963,2.148649536043433,1.8999830107650981,0.7845372818547719
23,"('_aa_composition', '_moran_autocorrelation', '_conjoint_triad')","Composition,Autocorrelation,Conjoint Triad",0.782922495554527,2.8358775449821145,8.042201450133785,2.1463106961719007,2.237387601965743,0.7836041700596678
24,"('_dipeptide_composition', '_geary_autocorrelation', '_ctd')","Composition,Autocorrelation,CTD",0.7822327806883217,2.5526155962506647,6.5158463822221355,2.1429090905523234,2.047327318177987,0.7847223386453455
25,"('_normalized_moreaubroto_autocorrelation', '_geary_autocorrelation', '_conjoint_triad')","Autocorrelation,Autocorrelation,Conjoint Triad",0.7817391967964228,3.0151455142576786,9.091102472148203,2.1404846880599226,2.2894786276093626,0.7827442016691333
26,"('_normalized_moreaubroto_autocorrelation', '_ctd', '_composition')","Autocorrelation,CTD,CTD",0.7779017428210804,2.8425470538755357,8.080073753496487,2.121912272752248,2.129379370490742,0.7797590749333126
27,"('_tripeptide_composition', '_ctd', '_distribution')","Composition,CTD,CTD",0.7752273459170211,2.6123240630854268,6.824237010575153,2.109250997436267,2.0847883144821053,0.7767409118573837
28,"('_tripeptide_composition', '_geary_autocorrelation', '_composition')","Composition,Autocorrelation,CTD",0.7734266854856507,2.9935995755962295,8.961638419009924,2.100852786320549,2.380969670449624,0.7737018170034315
29,"('_geary_autocorrelation', '_distribution', '_pseudo_aa_composition')","Autocorrelation,CTD,Pseudo Composition",0.7729201970045586,2.9290957708022787,8.579602034531794,2.098508562582331,2.265296995030766,0.7780689765360829
30,"('_distribution', '_conjoint_triad', '_amp_pseudo_aa_composition')","CTD,Conjoint Triad,Pseudo Composition",0.7717604788939663,2.7112531718587802,7.350893761914295,2.0931703597137044,2.1781026706641393,0.7831279345021306
31,"('_tripeptide_composition', '_distribution', '_seq_order_coupling_number')","Composition,CTD,Quasi-Sequence-Order",0.7706875170889527,3.107507448096826,9.656602539977246,2.088267606194996,2.45775200238001,0.7721167388656517
32,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation', '_geary_autocorrelation')","Composition,Autocorrelation,Autocorrelation",0.7697468865947561,2.7986796209037523,7.83260762046197,2.0839977433512207,2.2460111007352914,0.7757352011338239
33,"('_dipeptide_composition', '_ctd', '_conjoint_triad')","Composition,CTD,Conjoint Triad",0.7686144318058117,2.6127253783537023,6.826333902693497,2.0788917033137957,1.9827854006634023,0.7767322618582603
34,"('_normalized_moreaubroto_autocorrelation', '_ctd', '_conjoint_triad')","Autocorrelation,CTD,Conjoint Triad",0.7682826381184964,2.817961199512711,7.940905321959118,2.077402798401193,2.175685275758553,0.7776075045525264
35,"('_dipeptide_composition', '_quasi_seq_order', '_pseudo_aa_composition')","Composition,Quasi-Sequence-Order,Pseudo Composition",0.7675919844102197,2.6016135834873584,6.768393237785935,2.0743137623723875,2.088709165777248,0.7682993717281941
36,"('_normalized_moreaubroto_autocorrelation', '_conjoint_triad', '_quasi_seq_order')","Autocorrelation,Conjoint Triad,Quasi-Sequence-Order",0.7674090884650726,2.7931061514556372,7.801441973299322,2.0734980422218863,2.189885444054678,0.7711720413210438
37,"('_normalized_moreaubroto_autocorrelation', '_conjoint_triad', '_amp_pseudo_aa_composition')","Autocorrelation,Conjoint Triad,Pseudo Composition",0.7668026615740332,2.716145664347972,7.377447269956287,2.0708002337389093,1.975231365245008,0.7679929221514668
38,"('_geary_autocorrelation', '_transition', '_conjoint_triad')","Autocorrelation,CTD,Conjoint Triad",0.7665490663821697,2.802444464198978,7.853694974919497,2.069675184318954,2.3488361575304118,0.7713126662198097
39,"('_moran_autocorrelation', '_distribution', '_quasi_seq_order')","Autocorrelation,CTD,Quasi-Sequence-Order",0.7659901662403266,2.6548834594802266,7.048406183421697,2.06720214025716,2.0887319230073653,0.7790117734049782
40,"('_aa_composition', '_ctd', '_conjoint_triad')","Composition,CTD,Conjoint Triad",0.7649961104918902,2.4249694107800774,5.880476643219076,2.0628254215750172,2.019676555368181,0.771320976824232
41,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation', '_pseudo_aa_composition')","Composition,Autocorrelation,Pseudo Composition",0.7648641320405678,2.9843473177583038,8.906328913011182,2.0622464228882396,2.365551149850043,0.7649769788525468
42,"('_tripeptide_composition', '_geary_autocorrelation', '_distribution')","Composition,Autocorrelation,CTD",0.7639810648917259,3.049675499099646,9.300520649808675,2.0583848499174686,2.4407722932256912,0.7647859575504005
43,"('_moran_autocorrelation', '_transition', '_pseudo_aa_composition')","Autocorrelation,CTD,Pseudo Composition",0.763258991203408,2.8716187369431134,8.246194170362761,2.0552433565844828,2.2041645480399756,0.7636752187930781
