,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,"('_tripeptide_composition', '_distribution', '_conjoint_triad')","Composition,CTD,Conjoint Triad",0.8446762184108784,2.356718217080053,5.554120754716984,2.5373537663062486,1.8433962264150947,0.8474594121888178
1,"('_normalized_moreaubroto_autocorrelation', '_ctd', '_conjoint_triad')","Autocorrelation,CTD,Conjoint Triad",0.8096061902118628,2.521767873446558,6.359313207547174,2.2917834976669136,2.0773584905660387,0.8097942038920962
2,"('_moran_autocorrelation', '_geary_autocorrelation', '_ctd')","Autocorrelation,Autocorrelation,CTD",0.801718313834507,2.5233509466580353,6.367300000000002,2.2457359861707524,2.133018867924529,0.8024189778425989
3,"('_aa_composition', '_tripeptide_composition', '_conjoint_triad')","Composition,Composition,Conjoint Triad",0.8002825933841582,2.718687252583219,7.39126037735849,2.2376493986114707,2.0667924528301875,0.8020253462147958
4,"('_normalized_moreaubroto_autocorrelation', '_moran_autocorrelation', '_amp_pseudo_aa_composition')","Autocorrelation,Autocorrelation,Pseudo Composition",0.797071540585415,2.8934816137408927,8.372235849056601,2.2198750030471968,2.0828301886792446,0.7975402295637096
5,"('_transition', '_quasi_seq_order', '_pseudo_aa_composition')","CTD,Quasi-Sequence-Order,Pseudo Composition",0.7955002771618624,2.9849130071707894,8.909705660377366,2.2113304089590793,2.352830188679247,0.7959168337917834
6,"('_ctd', '_distribution', '_pseudo_aa_composition')","CTD,CTD,Pseudo Composition",0.7950483676272454,2.5646648241782692,6.577505660377353,2.208891119362563,1.866037735849056,0.7981568565157695
7,"('_distribution', '_pseudo_aa_composition', '_amp_pseudo_aa_composition')","CTD,Pseudo Composition,Pseudo Composition",0.7837048091800143,2.841873551553423,8.076245283018867,2.1501886662980088,2.430566037735849,0.807009457193405
8,"('_dipeptide_composition', '_moran_autocorrelation', '_amp_pseudo_aa_composition')","Composition,Autocorrelation,Pseudo Composition",0.7829057709756753,3.052874302920768,9.320041509433965,2.146228020473861,2.492452830188679,0.788442633132763
9,"('_tripeptide_composition', '_ctd', '_transition')","Composition,CTD,CTD",0.7824637829876261,2.2819695233855297,5.207384905660382,2.144046569149425,1.8139622641509443,0.7828690125856088
