,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,"('_dipeptide_composition', '_ctd', '_conjoint_triad')","Composition,CTD,Conjoint Triad",0.8612878308408751,2.3949546856140715,5.735807946144797,2.6849902834321813,1.829368531345126,0.8628207841035174
1,"('_tripeptide_composition', '_composition', '_conjoint_triad')","Composition,CTD,Conjoint Triad",0.855604108446929,2.229082115050376,4.968807075637457,2.6316163848101106,1.8396326637405545,0.8564715047653905
2,"('_tripeptide_composition', '_geary_autocorrelation', '_quasi_seq_order')","Composition,Autocorrelation,Quasi-Sequence-Order",0.8523284025701955,2.3931825634200625,5.727322781857821,2.6022649579883477,1.9446121837877837,0.8541187808213127
3,"('_geary_autocorrelation', '_transition', '_pseudo_aa_composition')","Autocorrelation,CTD,Pseudo Composition",0.8516307065072717,2.5211010261198457,6.355950383902538,2.596139265039591,2.1049256731457042,0.8567830320365987
4,"('_geary_autocorrelation', '_ctd', '_transition')","Autocorrelation,CTD,CTD",0.8499958144042101,2.1088966804087406,4.447445208639005,2.581952874352638,1.6682587419950818,0.856943107794651
5,"('_aa_composition', '_tripeptide_composition', '_geary_autocorrelation')","Composition,Composition,Autocorrelation",0.8471008863963811,2.6989912155395137,7.284553581559463,2.5573932593463105,2.1441489861111767,0.8472880147491846
6,"('_moran_autocorrelation', '_ctd', '_conjoint_triad')","Autocorrelation,CTD,Conjoint Triad",0.8394485632506946,2.5437439497071894,6.470633281671932,2.495703004342669,2.1037126901745813,0.8408493645767875
7,"('_moran_autocorrelation', '_conjoint_triad', '_amp_pseudo_aa_composition')","Autocorrelation,Conjoint Triad,Pseudo Composition",0.8370748289284252,2.5894333019118108,6.705164825049904,2.4774557551168006,2.0704795205081665,0.8391339147455766
8,"('_dipeptide_composition', '_tripeptide_composition', '_distribution')","Composition,Composition,CTD",0.8332459832529528,2.6253392084100438,6.892405959215075,2.4488481056061606,2.194459733779304,0.8442067717109424
9,"('_aa_composition', '_conjoint_triad', '_quasi_seq_order')","Composition,Conjoint Triad,Quasi-Sequence-Order",0.8328289978678285,2.7609815504231388,7.6230191217769585,2.445792038995386,2.229473480442258,0.8458378537889657
