,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,"('_dipeptide_composition', '_geary_autocorrelation', '_conjoint_triad')","Composition,Autocorrelation,Conjoint Triad",0.8141655319986926,2.549985120680634,6.5024241156926275,2.319726937155133,2.0317039978952556,0.8185024075432804
1,"('_aa_composition', '_dipeptide_composition', '_transition')","Composition,Composition,CTD",0.8136616998264417,2.502534387177348,6.262678359005105,2.3165887090883874,1.9714187179606053,0.8139275538639434
2,"('_dipeptide_composition', '_composition', '_amp_pseudo_aa_composition')","Composition,CTD,Pseudo Composition",0.804757285904467,2.543142353635787,6.46757303085617,2.2631460512962387,2.12903698586645,0.8061728231905737
3,"('_tripeptide_composition', '_ctd', '_amp_pseudo_aa_composition')","Composition,CTD,Pseudo Composition",0.8003179205721827,2.299598133863124,5.288151577266762,2.2378473291549974,1.8718714162743118,0.8024971322277847
4,"('_tripeptide_composition', '_geary_autocorrelation', '_quasi_seq_order')","Composition,Autocorrelation,Quasi-Sequence-Order",0.7990154332746973,2.790442101754196,7.786567123242373,2.2305843202482194,2.2031723941591324,0.8014537563990827
5,"('_aa_composition', '_conjoint_triad', '_seq_order_coupling_number')","Composition,Conjoint Triad,Quasi-Sequence-Order",0.7988021574721258,2.40266984013017,5.772822360671135,2.22940176333322,1.8526795205367668,0.8027255213908435
6,"('_tripeptide_composition', '_composition', '_conjoint_triad')","Composition,CTD,Conjoint Triad",0.7926561269456793,2.7742465018428057,7.696443652987044,2.1961115533103213,2.2945757838241443,0.7943500714995861
7,"('_geary_autocorrelation', '_composition', '_conjoint_triad')","Autocorrelation,CTD,Conjoint Triad",0.7894825455228087,2.3060764649701637,5.317988662289287,2.1794953410765,1.813518980199977,0.7945911103855925
8,"('_dipeptide_composition', '_moran_autocorrelation', '_distribution')","Composition,Autocorrelation,CTD",0.7892315045150138,2.659216489824957,7.071432339756965,2.178196983547552,2.2189698289356663,0.7929845118642134
9,"('_tripeptide_composition', '_composition', '_pseudo_aa_composition')","Composition,CTD,Pseudo Composition",0.7829740076192055,2.6963862849977676,7.270498997924062,2.1465653991557225,2.0914669393733365,0.7840459406159688
10,"('_tripeptide_composition', '_moran_autocorrelation', '_distribution')","Composition,Autocorrelation,CTD",0.7787900715549976,2.64493152894061,6.995662792784112,2.1261685623725537,1.9485925408903344,0.7826790411338805
11,"('_aa_composition', '_dipeptide_composition', '_amp_pseudo_aa_composition')","Composition,Composition,Pseudo Composition",0.7773657319645927,2.7457427578747824,7.539103292421816,2.1193563916932816,2.2227498469015665,0.7778282394040106
12,"('_dipeptide_composition', '_tripeptide_composition', '_pseudo_aa_composition')","Composition,Composition,Pseudo Composition",0.7769823783364955,2.8375590208423294,8.051741196763679,2.117534086352927,2.214103922437916,0.7800016857788546
13,"('_tripeptide_composition', '_moran_autocorrelation', '_amp_pseudo_aa_composition')","Composition,Autocorrelation,Pseudo Composition",0.7766054505912277,2.5969278222797882,6.744034114130844,2.115746902393836,2.146956390589885,0.7769858952836226
14,"('_aa_composition', '_tripeptide_composition', '_normalized_moreaubroto_autocorrelation')","Composition,Composition,Autocorrelation",0.775187340115636,2.9567336129971102,8.742273658226946,2.1090633166560893,2.344569061268821,0.7752042108061701
