,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
224,"('norm_moreaubroto_autocorrelation', 'transition', 'conjoint_triad')",0.9329043961896133,3.407881578963837,11.613656856241054,1.5115923013522645,2.780530443553374,0.5829807741408923
240,"('norm_moreaubroto_autocorrelation', 'seq_order_coupling_number', 'amphipilic_pseudo_aa_comp')",0.9314914089716146,3.164549105735831,10.014371042613448,1.6392541731993426,2.616843347083762,0.6461086582893216
212,"('norm_moreaubroto_autocorrelation', 'geary_autocorrelation', 'seq_order_coupling_number')",0.9303747995502525,2.647690415431382,7.010264535967205,1.7601507506911225,2.0983731323483035,0.6712607526897887
265,"('moran_autocorrelation', 'distribution', 'conjoint_triad')",0.9298792656785925,3.4179208786717394,11.682183132860194,1.5457309077214691,2.774449988806934,0.5814777811029802
214,"('norm_moreaubroto_autocorrelation', 'geary_autocorrelation', 'pseudo_aa_comp')",0.9291969746311217,3.1707316724712666,10.053539338812437,1.7132232249527277,2.4600015283905328,0.6578768217295468
241,"('norm_moreaubroto_autocorrelation', 'quasi_seq_order_descriptors', 'pseudo_aa_comp')",0.9290794696690524,2.6580695910164995,7.06533395068662,2.0095687824067237,2.1809076802760208,0.7498141587959333
235,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'quasi_seq_order_descriptors')",0.9287660799967912,3.1469347683075775,9.903198435983066,1.7587467194831419,2.4548743551254,0.6865471535542579
302,"('geary_autocorrelation', 'seq_order_coupling_number', 'quasi_seq_order_descriptors')",0.928672124954215,3.9575522433149617,15.662219758567286,1.614323538568303,2.8827058929053413,0.640476541060983
236,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'pseudo_aa_comp')",0.9283338252436163,2.725237032331604,7.426916882391567,1.9891813784790435,2.2532494711728934,0.7540164306468775
237,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'amphipilic_pseudo_aa_comp')",0.9275789556703069,3.4334265934148873,11.788418172368559,1.7762065114729284,2.590411990635497,0.6802145757913872
290,"('geary_autocorrelation', 'transition', 'quasi_seq_order_descriptors')",0.9272273942232464,3.9154633585796206,15.330853312379602,1.5735625314619401,3.0786505818416066,0.5896589446884388
