,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
304,"('geary_autocorrelation', 'seq_order_coupling_number', 'amphipilic_pseudo_aa_comp')",0.9611038367825356,3.6039990890623512,12.988809433962256,1.5342043191699244,2.8809433962264146,0.5695709097952335
0,"('aa_comp', 'dipeptide_comp', 'tripeptide_comp')",0.9587024783393413,3.4827903040359445,12.129828301886786,1.4048399448185018,2.478679245283018,0.5437001623614806
329,"('transition', 'distribution', 'conjoint_triad')",0.9571664918222395,3.0631784577707744,9.38306226415094,1.656445721147445,2.3254716981132075,0.6291769622722934
127,"('dipeptide_comp', 'transition', 'pseudo_aa_comp')",0.9561782461378708,3.3992296574593093,11.554762264150934,1.5248649827984513,2.4592452830188685,0.6300091996568633
282,"('geary_autocorrelation', 'composition', 'conjoint_triad')",0.9560210473244981,3.794304569985299,14.396747169811324,1.7113977792457558,2.9407547169811323,0.652462983133888
217,"('norm_moreaubroto_autocorrelation', 'composition', 'distribution')",0.9557269804418694,3.501657828396403,12.261607547169813,1.63349032459171,2.743773584905661,0.6180422031746426
275,"('moran_autocorrelation', 'seq_order_coupling_number', 'pseudo_aa_comp')",0.9551787015282562,3.3052719466799454,10.924822641509435,1.7792016167612767,2.673207547169812,0.6803417940388958
235,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'quasi_seq_order_descriptors')",0.9544209092657086,2.7551851631095268,7.591045283018871,2.043280921608566,2.0479245283018868,0.7558737202154495
4,"('aa_comp', 'dipeptide_comp', 'composition')",0.9537188781910928,3.0669571915979428,9.406226415094341,1.9517428395049263,2.405283018867924,0.7423570606442774
89,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation', 'moran_autocorrelation')",0.9536703762196235,3.188186330105519,10.164532075471698,1.79800581212273,2.5818867924528304,0.6946093607315517
214,"('norm_moreaubroto_autocorrelation', 'geary_autocorrelation', 'pseudo_aa_comp')",0.9534865535448186,3.3433386318988356,11.177913207547178,1.9284204257543742,2.5403773584905673,0.7298779707957402
210,"('norm_moreaubroto_autocorrelation', 'geary_autocorrelation', 'distribution')",0.9533379168289009,3.1309592236848682,9.802905660377354,1.7104236790457186,2.4622641509433953,0.6974008223788258
227,"('norm_moreaubroto_autocorrelation', 'transition', 'pseudo_aa_comp')",0.9530518409028449,3.360217872540915,11.291064150943393,1.9189511886196091,2.6399999999999992,0.7235278160838493
323,"('composition', 'seq_order_coupling_number', 'quasi_seq_order_descriptors')",0.9530358776218348,3.188903224242609,10.16910377358491,1.6912865482545967,2.3715094339622635,0.6585201963099083
286,"('geary_autocorrelation', 'composition', 'amphipilic_pseudo_aa_comp')",0.9524653496340509,3.9924872845108887,15.93995471698113,1.3453140766491218,3.0830188679245283,0.43703023525025975
12,"('aa_comp', 'tripeptide_comp', 'norm_moreaubroto_autocorrelation')",0.9523974517891284,2.9319833585977837,8.59652641509434,1.8568353630132475,2.2930188679245282,0.7065869510980181
33,"('aa_comp', 'moran_autocorrelation', 'geary_autocorrelation')",0.9523031785642972,3.393983578083707,11.519124528301882,1.653278873470011,2.826792452830188,0.6271778704883224
284,"('geary_autocorrelation', 'composition', 'quasi_seq_order_descriptors')",0.952261435459908,3.268323382997627,10.681937735849052,1.708075359364579,2.558679245283018,0.6620217338101906
239,"('norm_moreaubroto_autocorrelation', 'seq_order_coupling_number', 'pseudo_aa_comp')",0.9521123069635193,3.3467387674209785,11.20066037735849,1.631304028129728,2.5966037735849063,0.6189785528851994
152,"('tripeptide_comp', 'norm_moreaubroto_autocorrelation', 'pseudo_aa_comp')",0.9520264645573991,3.127816165036582,9.78323396226415,1.7779101634710777,2.514716981132076,0.6775618448440532
242,"('norm_moreaubroto_autocorrelation', 'quasi_seq_order_descriptors', 'amphipilic_pseudo_aa_comp')",0.9518589079365111,3.496104840619595,12.222749056603764,1.7789477187359564,2.660566037735848,0.7023604201859139
234,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'seq_order_coupling_number')",0.9517342857525605,3.1094278427765394,9.668541509433963,1.9681745186312942,2.251509433962264,0.7392157145785676
96,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation', 'quasi_seq_order_descriptors')",0.9514882406444141,3.0904402202141017,9.550820754716986,1.7665505376975719,2.390377358490567,0.6815190895712954
78,"('dipeptide_comp', 'tripeptide_comp', 'norm_moreaubroto_autocorrelation')",0.9513548907843903,3.4510761242102928,11.909926415094336,1.6300614863198235,2.7541509433962257,0.6211793292103907
129,"('dipeptide_comp', 'distribution', 'conjoint_triad')",0.9512952152869891,3.38884964062917,11.484301886792455,1.6179718671451861,2.4916981132075473,0.610670662015725
181,"('tripeptide_comp', 'transition', 'quasi_seq_order_descriptors')",0.9508955187047431,3.479267164217201,12.105300000000003,1.3676115258263186,2.4986792452830207,0.49931737783292063
146,"('tripeptide_comp', 'norm_moreaubroto_autocorrelation', 'composition')",0.9507338252574943,3.2642127543498733,10.655084905660388,1.8049312032337579,2.6126415094339634,0.6871772843757589
358,"('conjoint_triad', 'quasi_seq_order_descriptors', 'amphipilic_pseudo_aa_comp')",0.9505138796623347,3.404010121262915,11.587284905660363,1.4772202351952493,2.58320754716981,0.548699357440577
202,"('norm_moreaubroto_autocorrelation', 'moran_autocorrelation', 'distribution')",0.9503749220431259,3.3179912654700967,11.009066037735854,1.8250618846212006,2.4975471698113214,0.7033348828879105
225,"('norm_moreaubroto_autocorrelation', 'transition', 'seq_order_coupling_number')",0.9502970832716408,3.212660685358055,10.321188679245285,2.017607344494341,2.531320754716982,0.7537697656628233
252,"('moran_autocorrelation', 'composition', 'transition')",0.9502836444027408,3.0140895555800253,9.084735849056594,1.6632129878642652,2.5264150943396224,0.6315744239595411
79,"('dipeptide_comp', 'tripeptide_comp', 'moran_autocorrelation')",0.9501808178585709,3.306773209127559,10.934749056603776,1.7247664923574864,2.3281132075471698,0.664103493532491
144,"('tripeptide_comp', 'norm_moreaubroto_autocorrelation', 'moran_autocorrelation')",0.9501638403884944,2.833631245899129,8.02946603773585,1.9151226288561207,2.1360377358490568,0.7444967878291611
264,"('moran_autocorrelation', 'transition', 'amphipilic_pseudo_aa_comp')",0.950148050864803,3.4436665957437715,11.858839622641497,1.774201048041471,2.7266037735849045,0.6771466891033633
292,"('geary_autocorrelation', 'transition', 'amphipilic_pseudo_aa_comp')",0.9495807630733043,3.3665165917108077,11.333433962264154,1.6212504210000658,2.5596226415094345,0.6189582699448644
236,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'pseudo_aa_comp')",0.949422896840088,3.3607970191270975,11.294956603773585,1.5887598636678602,2.5949056603773593,0.6047666475000846
83,"('dipeptide_comp', 'tripeptide_comp', 'distribution')",0.9493863785782375,3.7089880631824883,13.756592452830187,1.6643237929789882,2.8664150943396214,0.6584086553147598
118,"('dipeptide_comp', 'composition', 'conjoint_triad')",0.9493488743653743,2.950025583515544,8.702650943396225,1.5904864868272288,2.3824528301886794,0.6081335514667805
84,"('dipeptide_comp', 'tripeptide_comp', 'conjoint_triad')",0.9492490572399249,3.5058931518876664,12.291286792452837,1.596039231473047,2.7981132075471695,0.6057721555895283
63,"('aa_comp', 'distribution', 'conjoint_triad')",0.9492194962924649,3.098362318484357,9.599849056603759,1.910040043035672,2.4769811320754695,0.7229065720427883
211,"('norm_moreaubroto_autocorrelation', 'geary_autocorrelation', 'conjoint_triad')",0.9491250083417605,3.511027103392214,12.327311320754719,1.6010885189887256,2.7288679245283025,0.6057420314150554
337,"('transition', 'conjoint_triad', 'amphipilic_pseudo_aa_comp')",0.9489897354922243,2.975965040878051,8.8563679245283,1.8764706002663842,2.3775471698113195,0.7205627092628085
186,"('tripeptide_comp', 'distribution', 'quasi_seq_order_descriptors')",0.9489287468071518,3.1844335416416008,10.14061698113207,1.8907733141554952,2.4099999999999993,0.719680752637892
265,"('moran_autocorrelation', 'distribution', 'conjoint_triad')",0.9486022138914998,2.788482714498442,7.775635849056599,1.7372500551387196,2.2333962264150937,0.6656599763434379
98,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation', 'amphipilic_pseudo_aa_comp')",0.9485876845150676,2.3330957650847948,5.443335849056605,2.4935353642456017,1.9430188679245284,0.8370156473426833
355,"('conjoint_triad', 'seq_order_coupling_number', 'pseudo_aa_comp')",0.9485259755130839,3.2787278941341866,10.750056603773597,2.013786715321163,2.3769811320754726,0.75386286924221
305,"('geary_autocorrelation', 'quasi_seq_order_descriptors', 'pseudo_aa_comp')",0.9484996514812583,2.8359897277403965,8.042837735849048,1.8208512685360634,2.213584905660376,0.7121519151314792
281,"('geary_autocorrelation', 'composition', 'distribution')",0.9484866277493833,2.9730950774609695,8.839294339622649,1.963212771792666,2.3747169811320754,0.735722231263281
23,"('aa_comp', 'norm_moreaubroto_autocorrelation', 'moran_autocorrelation')",0.9484307240193,3.2582200836050874,10.615998113207542,1.6949340895104748,2.6171698113207547,0.6455267589386229
222,"('norm_moreaubroto_autocorrelation', 'composition', 'amphipilic_pseudo_aa_comp')",0.948423641420132,4.072080271292433,16.58183773584905,1.5191654577284068,3.099245283018866,0.5589668954620688
300,"('geary_autocorrelation', 'conjoint_triad', 'pseudo_aa_comp')",0.9482973497199887,3.8993044856356254,15.20457547169811,1.6040989884369667,3.242830188679246,0.6186230165612328
342,"('transition', 'quasi_seq_order_descriptors', 'amphipilic_pseudo_aa_comp')",0.9482856759104674,3.4562221714052477,11.945471698113204,1.7020552330089074,2.745660377358491,0.6501845535196402
290,"('geary_autocorrelation', 'transition', 'quasi_seq_order_descriptors')",0.9482014675528154,3.2509827251533165,10.568888679245283,1.962377441668432,2.583584905660378,0.7412579906070472
153,"('tripeptide_comp', 'norm_moreaubroto_autocorrelation', 'amphipilic_pseudo_aa_comp')",0.948066358650291,3.5286506587785245,12.451375471698116,1.4359041385046076,2.8167924528301898,0.5085186044716992
30,"('aa_comp', 'norm_moreaubroto_autocorrelation', 'quasi_seq_order_descriptors')",0.9478061921905352,3.3585441589957594,11.279818867924533,1.8803673949243034,2.729056603773585,0.7320236708483492
8,"('aa_comp', 'dipeptide_comp', 'seq_order_coupling_number')",0.947749458274317,3.5641580550684666,12.703222641509434,1.7167082175460135,2.6501886792452813,0.6996073378604072
48,"('aa_comp', 'geary_autocorrelation', 'pseudo_aa_comp')",0.9477303217378775,3.0520688931119966,9.315124528301888,1.981117660861096,2.5392452830188676,0.7549768112484253
