,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
0,"('aa_comp', 'dipeptide_comp', 'tripeptide_comp')",1.0,3.3890222333459556,11.485471698113209,1.8099584735033993,2.5679245283018863,0.6945691081246689
250,"('moran_autocorrelation', 'geary_autocorrelation', 'pseudo_aa_comp')",1.0,5.582502989040088,31.164339622641513,1.0269122790592686,4.096226415094339,0.03908050494810522
248,"('moran_autocorrelation', 'geary_autocorrelation', 'seq_order_coupling_number')",1.0,4.716710558277457,22.24735849056604,1.2194177911584583,3.4169811320754726,0.3176957552659111
247,"('moran_autocorrelation', 'geary_autocorrelation', 'conjoint_triad')",1.0,4.4107287721970385,19.454528301886796,1.4722092734663395,3.5113207547169814,0.5361583632220625
246,"('moran_autocorrelation', 'geary_autocorrelation', 'distribution')",1.0,5.107670886695074,26.088301886792447,1.242315280634722,3.7094339622641526,0.3500148874859327
245,"('moran_autocorrelation', 'geary_autocorrelation', 'transition')",1.0,4.626523206591758,21.404716981132076,1.1830938865264635,3.7037735849056608,0.2826549589128956
244,"('moran_autocorrelation', 'geary_autocorrelation', 'composition')",1.0,4.604857976217297,21.204716981132066,1.4036434815223982,3.5188679245283008,0.48440712400303776
243,"('norm_moreaubroto_autocorrelation', 'pseudo_aa_comp', 'amphipilic_pseudo_aa_comp')",1.0,4.2007636322863515,17.64641509433962,1.3375465200260526,3.3924528301886787,0.43139265110820024
242,"('norm_moreaubroto_autocorrelation', 'quasi_seq_order_descriptors', 'amphipilic_pseudo_aa_comp')",1.0,3.920796030072715,15.372641509433965,1.6533559948611036,3.0547169811320756,0.6274457353283511
241,"('norm_moreaubroto_autocorrelation', 'quasi_seq_order_descriptors', 'pseudo_aa_comp')",1.0,4.390104653413689,19.27301886792453,1.301003476900913,3.4547169811320755,0.4005071106947723
240,"('norm_moreaubroto_autocorrelation', 'seq_order_coupling_number', 'amphipilic_pseudo_aa_comp')",1.0,4.299648954516575,18.486981132075474,1.1859962351810496,3.179245283018869,0.27716910358053726
239,"('norm_moreaubroto_autocorrelation', 'seq_order_coupling_number', 'pseudo_aa_comp')",1.0,3.1182965838588315,9.723773584905658,1.9680854578626614,2.4830188679245278,0.7368648309121966
238,"('norm_moreaubroto_autocorrelation', 'seq_order_coupling_number', 'quasi_seq_order_descriptors')",1.0,4.771297833804542,22.765283018867915,1.1860764081320356,3.626415094339623,0.2802932334558238
237,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'amphipilic_pseudo_aa_comp')",1.0,4.88291206030574,23.842830188679244,1.3023940773717841,3.8924528301886796,0.4054204925286684
236,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'pseudo_aa_comp')",1.0,4.9893471422281666,24.893584905660376,1.080059798339059,3.762264150943395,0.16190101577199245
235,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'quasi_seq_order_descriptors')",1.0,4.247729693279671,18.043207547169807,1.4186583554912713,3.4735849056603776,0.5589685482557508
234,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'seq_order_coupling_number')",1.0,4.934151300538297,24.345849056603768,1.2092230801704804,3.9830188679245278,0.38533315992402084
233,"('norm_moreaubroto_autocorrelation', 'distribution', 'amphipilic_pseudo_aa_comp')",1.0,3.603352736465891,12.984150943396227,1.5204441817181118,2.8264150943396227,0.5994938374907917
232,"('norm_moreaubroto_autocorrelation', 'distribution', 'pseudo_aa_comp')",1.0,3.984356201398494,15.875094339622635,1.4644427551963024,3.2943396226415094,0.5291791405066841
231,"('norm_moreaubroto_autocorrelation', 'distribution', 'quasi_seq_order_descriptors')",1.0,4.901251284207268,24.022264150943393,1.1654500035475728,3.6641509433962263,0.24966694467611916
230,"('norm_moreaubroto_autocorrelation', 'distribution', 'seq_order_coupling_number')",1.0,4.624585652015778,21.386792452830196,1.3301174557660262,3.683018867924528,0.4295230613615608
249,"('moran_autocorrelation', 'geary_autocorrelation', 'quasi_seq_order_descriptors')",1.0,4.265084219124684,18.19094339622641,1.3634612153234194,3.3886792452830186,0.45866176370866896
251,"('moran_autocorrelation', 'geary_autocorrelation', 'amphipilic_pseudo_aa_comp')",1.0,4.276989771958072,18.292641509433963,1.3704803663211145,3.409433962264152,0.4728327506210306
228,"('norm_moreaubroto_autocorrelation', 'transition', 'amphipilic_pseudo_aa_comp')",1.0,5.667667318234963,32.12245283018869,1.0599433937004858,4.658490566037736,0.1522478637376823
252,"('moran_autocorrelation', 'composition', 'transition')",1.0,5.128794039721891,26.304528301886794,1.179732694158177,4.120754716981132,0.27020982846812613
271,"('moran_autocorrelation', 'conjoint_triad', 'quasi_seq_order_descriptors')",1.0,4.347456423989845,18.90037735849057,1.425364514592457,3.2905660377358497,0.5124061403648024
270,"('moran_autocorrelation', 'conjoint_triad', 'seq_order_coupling_number')",1.0,4.8335502011637175,23.363207547169814,1.2372987005410323,3.9301886792452843,0.373101774470335
269,"('moran_autocorrelation', 'distribution', 'amphipilic_pseudo_aa_comp')",1.0,4.366424209505816,19.06566037735849,1.5171849171329683,3.40377358490566,0.5585249583673073
268,"('moran_autocorrelation', 'distribution', 'pseudo_aa_comp')",1.0,3.9918549147454447,15.93490566037736,1.3890378794791933,3.1339622641509437,0.47370802503462606
