,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
61,"('aa_comp', 'transition', 'pseudo_aa_comp')",0.8039797878756251,4.101623240565516,16.823313207547166,1.305080969760813,3.002641509433962,0.4904739482926822
338,"('transition', 'seq_order_coupling_number', 'quasi_seq_order_descriptors')",0.7966337588411351,4.173294251027644,17.416384905660387,1.3443124089748288,3.31056603773585,0.4535614968428807
8,"('aa_comp', 'dipeptide_comp', 'seq_order_coupling_number')",0.7960422828991172,3.848619453533072,14.811871698113205,1.4668934529543052,3.080377358490565,0.536672435568891
299,"('geary_autocorrelation', 'conjoint_triad', 'quasi_seq_order_descriptors')",0.7960182788125808,4.3653386045157445,19.05618113207547,1.3126901786674863,3.3713207547169812,0.6012769502836082
196,"('tripeptide_comp', 'quasi_seq_order_descriptors', 'pseudo_aa_comp')",0.7954447137251985,4.253172844510674,18.089479245283016,1.3995249281090456,3.0807547169811316,0.5452378116169879
177,"('tripeptide_comp', 'composition', 'amphipilic_pseudo_aa_comp')",0.7953895222984868,4.274664281201639,18.272754716981126,1.3165775608137535,3.123018867924529,0.45479163922057786
103,"('dipeptide_comp', 'moran_autocorrelation', 'conjoint_triad')",0.7946209140334624,4.3828396067923725,19.20928301886792,1.3726968395692252,3.492075471698113,0.5382105763113931
123,"('dipeptide_comp', 'transition', 'distribution')",0.7925438354832525,4.27246912836479,18.25399245283019,1.3655987490465986,3.2792452830188683,0.563482749145201
111,"('dipeptide_comp', 'geary_autocorrelation', 'conjoint_triad')",0.7923716378899291,4.450033707737504,19.802799999999994,1.279356066372957,3.195849056603773,0.4551870752602035
182,"('tripeptide_comp', 'transition', 'pseudo_aa_comp')",0.7923581797997505,4.524620280116915,20.47218867924527,1.3654075630020135,3.3113207547169794,0.47333036342579815
214,"('norm_moreaubroto_autocorrelation', 'geary_autocorrelation', 'pseudo_aa_comp')",0.7913104165107405,4.558410017406557,20.779101886792454,1.386763712129605,3.463773584905661,0.5275717811115348
163,"('tripeptide_comp', 'geary_autocorrelation', 'composition')",0.7903819624697472,3.895434192380845,15.174407547169807,1.3279920815630268,2.9822641509433963,0.47638981698194693
33,"('aa_comp', 'moran_autocorrelation', 'geary_autocorrelation')",0.7897590297041442,3.9004692509182135,15.21366037735849,1.5118352791816467,3.0754716981132075,0.5671494920931398
