,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
21,"('aa_comp', 'tripeptide_comp', 'pseudo_aa_comp')",0.8379879699439867,3.2796960764892344,10.756406354138878,1.6278505809331583,2.5294458432472484,0.6275341056935909
154,"('tripeptide_comp', 'moran_autocorrelation', 'geary_autocorrelation')",0.8372784444712073,3.172063959735171,10.061989764650773,1.6530298088652713,2.4767449975896616,0.62726619661158
146,"('tripeptide_comp', 'norm_moreaubroto_autocorrelation', 'composition')",0.826913824780553,3.2531283517796497,10.58284407315258,1.636732144894792,2.5721621413490623,0.6195842302528543
125,"('dipeptide_comp', 'transition', 'seq_order_coupling_number')",0.8261374257029271,2.874344576914057,8.26185674683525,1.7867102046623604,2.232799223045102,0.6856268279252986
186,"('tripeptide_comp', 'distribution', 'quasi_seq_order_descriptors')",0.8259515496171459,3.191739090429664,10.187198421376777,1.8957446634146318,2.5672920206648353,0.7164807643168314
301,"('geary_autocorrelation', 'conjoint_triad', 'amphipilic_pseudo_aa_comp')",0.8234224161069821,3.4218316337835577,11.70893172996185,1.6714038348754572,2.7154275277680804,0.6376048484619069
273,"('moran_autocorrelation', 'conjoint_triad', 'amphipilic_pseudo_aa_comp')",0.8230049835578038,3.4135644426228504,11.65242220393905,1.625542486145769,2.6067553759396125,0.6322380096212163
88,"('dipeptide_comp', 'tripeptide_comp', 'amphipilic_pseudo_aa_comp')",0.8217344321274636,3.281888196432502,10.770790133882983,1.9603339479018747,2.518675035754841,0.7348649600063024
102,"('dipeptide_comp', 'moran_autocorrelation', 'distribution')",0.8216671386562908,3.071835319768566,9.436172231777647,1.9163747030051965,2.3387158388560345,0.7268419381090292
87,"('dipeptide_comp', 'tripeptide_comp', 'pseudo_aa_comp')",0.8209325213382114,2.966095346572237,8.797721604957479,2.101931676747232,2.3721990299271405,0.7709994736004491
20,"('aa_comp', 'tripeptide_comp', 'quasi_seq_order_descriptors')",0.8203056356172101,3.02874656794195,9.173305772820141,1.8900320925981788,2.267483456139073,0.7208509816578765
234,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'seq_order_coupling_number')",0.8200222279747302,3.3647579710203726,11.321596203545134,1.7738768793522781,2.645228513657243,0.6762096096706961
158,"('tripeptide_comp', 'moran_autocorrelation', 'conjoint_triad')",0.8195265417468041,2.896481716370902,8.389606333270926,1.9111484265044771,2.157944279966669,0.7644779932848178
176,"('tripeptide_comp', 'composition', 'pseudo_aa_comp')",0.8192703482625412,3.349071813787361,11.216282013904964,1.8012249470486557,2.6722331063663445,0.6869739736669207
15,"('aa_comp', 'tripeptide_comp', 'composition')",0.8185262649455483,2.8458797250413754,8.099031409401576,2.0008122758969855,2.361648594821127,0.7463051715141145
