,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
95,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation', 'seq_order_coupling_number')",0.9681641237690647,3.4022610739175123,11.575380415094346,1.5445449454773748,2.6129811320754723,0.6057201112614583
235,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'quasi_seq_order_descriptors')",0.9662206247440667,3.5585177060330846,12.663048264150966,1.7633792035770437,2.655547169811322,0.6726132323710936
14,"('aa_comp', 'tripeptide_comp', 'geary_autocorrelation')",0.96607824247932,3.030940563276232,9.186600698113242,1.7587248806572515,2.3993018867924567,0.6735465473358702
274,"('moran_autocorrelation', 'seq_order_coupling_number', 'quasi_seq_order_descriptors')",0.9660466854873081,3.478048409072116,12.096820735849077,1.7534846014369645,2.7605094339622656,0.690175872309457
207,"('norm_moreaubroto_autocorrelation', 'moran_autocorrelation', 'amphipilic_pseudo_aa_comp')",0.9657938715179909,4.130242502816933,17.058903132075482,1.5772671810300665,3.1458867924528318,0.5905397615477439
126,"('dipeptide_comp', 'transition', 'quasi_seq_order_descriptors')",0.9655763013085049,3.292115280312632,10.83802301886792,1.7541084500481,2.712188679245282,0.6694698588682915
111,"('dipeptide_comp', 'geary_autocorrelation', 'conjoint_triad')",0.9654753019827551,3.459410910698039,11.967523849056635,1.7165631439436038,2.8131320754717026,0.657730192972516
228,"('norm_moreaubroto_autocorrelation', 'transition', 'amphipilic_pseudo_aa_comp')",0.9653093695822079,3.4631994968117237,11.993750754716977,1.5269966091256901,2.7395094339622634,0.5931423101355
184,"('tripeptide_comp', 'distribution', 'conjoint_triad')",0.9652873964278306,3.932073239687196,15.461199962264159,1.602384693822604,2.9647924528301925,0.6044200346513938
90,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation', 'geary_autocorrelation')",0.9652288259818844,2.8221219335009557,7.964372207547172,1.9660834325540242,2.285301886792454,0.7368874609295073
136,"('dipeptide_comp', 'conjoint_triad', 'pseudo_aa_comp')",0.9652134031631132,3.2045505674934613,10.269144339622665,1.6192948816216424,2.3462264150943417,0.6532423846490722
102,"('dipeptide_comp', 'moran_autocorrelation', 'distribution')",0.9652077244237252,3.3011193699016155,10.897389094339639,1.7811763552640187,2.541056603773587,0.6834812393435885
278,"('moran_autocorrelation', 'quasi_seq_order_descriptors', 'amphipilic_pseudo_aa_comp')",0.9651392827913182,2.9868879052436133,8.92149935849058,1.629300046919381,2.5637735849056607,0.6217547131613435
71,"('aa_comp', 'conjoint_triad', 'amphipilic_pseudo_aa_comp')",0.965121922974611,3.1012631175906877,9.617832924528312,1.6391552185500398,2.617792452830194,0.6268082795181964
355,"('conjoint_triad', 'seq_order_coupling_number', 'pseudo_aa_comp')",0.9649230685714889,3.653243482632422,13.346187943396265,1.7529011602846252,2.88737735849057,0.668298353019705
124,"('dipeptide_comp', 'transition', 'conjoint_triad')",0.9648225590269774,3.140307682317551,9.861532339622627,1.9587974768746348,2.511433962264149,0.7357413633050893
226,"('norm_moreaubroto_autocorrelation', 'transition', 'quasi_seq_order_descriptors')",0.9647447752244129,3.2729078612030227,10.711925867924544,1.807567690636067,2.373264150943399,0.6939497677733233
131,"('dipeptide_comp', 'distribution', 'quasi_seq_order_descriptors')",0.964723544194566,3.038342339140103,9.231524169811355,1.7912045389381566,2.3251509433962285,0.6965281705752572
255,"('moran_autocorrelation', 'composition', 'seq_order_coupling_number')",0.9646662471262303,3.361195856373985,11.297637584905646,1.7556346362591344,2.587094339622639,0.6693312824268275
60,"('aa_comp', 'transition', 'quasi_seq_order_descriptors')",0.9644552927449505,3.5416599801638715,12.543355415094355,1.582357014667339,2.6196037735849056,0.595186985122163
165,"('tripeptide_comp', 'geary_autocorrelation', 'distribution')",0.9644155859194167,3.3966423404119643,11.537179188679268,1.496775335716247,2.574924528301888,0.5582534715205122
220,"('norm_moreaubroto_autocorrelation', 'composition', 'quasi_seq_order_descriptors')",0.9643174544780034,2.507467812393346,6.287394830188673,2.061587305339005,1.9810188679245282,0.7602649027410864
291,"('geary_autocorrelation', 'transition', 'pseudo_aa_comp')",0.9643108585205528,3.5777672361720816,12.800418396226414,1.7557811063876931,2.841415094339621,0.6745658882657071
302,"('geary_autocorrelation', 'seq_order_coupling_number', 'quasi_seq_order_descriptors')",0.9642585536883417,3.4407855646475256,11.839005301886793,1.7215823018865604,2.582811320754718,0.6644859674201729
263,"('moran_autocorrelation', 'transition', 'pseudo_aa_comp')",0.9641407847677234,3.489150877943891,12.174173849056624,1.6251183783477108,2.9761886792452863,0.6194188868858816
6,"('aa_comp', 'dipeptide_comp', 'distribution')",0.9640030456775804,3.0643410815623864,9.390186264150936,1.8814568277295303,2.550905660377356,0.7184710339723479
246,"('moran_autocorrelation', 'geary_autocorrelation', 'distribution')",0.9639815561604792,3.5537942704919105,12.629453716981132,1.6998894859467104,2.5301320754716987,0.6473326958544818
230,"('norm_moreaubroto_autocorrelation', 'distribution', 'seq_order_coupling_number')",0.963879523837314,2.907293573846351,8.452355924528288,1.9088775883407405,2.3367547169811296,0.7440016346549876
215,"('norm_moreaubroto_autocorrelation', 'geary_autocorrelation', 'amphipilic_pseudo_aa_comp')",0.9638590420786217,3.077984288949318,9.47398728301884,1.7561930372658348,2.324716981132072,0.6819612101014072
156,"('tripeptide_comp', 'moran_autocorrelation', 'transition')",0.9638266024099087,3.3276623275262964,11.073336566037728,1.8578768981729439,2.5183773584905635,0.7072434139380471
237,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'amphipilic_pseudo_aa_comp')",0.9637838838486137,2.8577769596214844,8.166889150943415,1.784195349108231,2.214849056603775,0.6869766054614364
231,"('norm_moreaubroto_autocorrelation', 'distribution', 'quasi_seq_order_descriptors')",0.9637824525799633,3.3441754349349933,11.183509339622653,1.7929983917053216,2.559754716981135,0.6837829837587333
185,"('tripeptide_comp', 'distribution', 'seq_order_coupling_number')",0.9637415405940803,3.305142847939101,10.923969245282992,1.625881463564201,2.4289433962264124,0.6284797238564414
248,"('moran_autocorrelation', 'geary_autocorrelation', 'seq_order_coupling_number')",0.9637116156594788,3.451988573736532,11.916225113207577,1.860534377035597,2.677188679245287,0.7149272187027682
272,"('moran_autocorrelation', 'conjoint_triad', 'pseudo_aa_comp')",0.9636912513317707,3.5569683322994523,12.652023716981148,1.705826615617464,2.7693773584905665,0.6498073666044764
44,"('aa_comp', 'geary_autocorrelation', 'distribution')",0.9636407738606013,2.8519789289755884,8.133783811320745,1.9452012776814658,2.2656981132075473,0.7315771253229764
244,"('moran_autocorrelation', 'geary_autocorrelation', 'composition')",0.9635626117106665,2.9517871593260696,8.713047433962268,1.7932654589377006,2.250377358490565,0.6838660495763228
209,"('norm_moreaubroto_autocorrelation', 'geary_autocorrelation', 'transition')",0.9634891937971821,2.949746842351434,8.701006433962258,2.0551309996067877,2.3760943396226426,0.759139271100762
191,"('tripeptide_comp', 'conjoint_triad', 'pseudo_aa_comp')",0.9634519532405934,4.08291470527686,16.670192490566027,1.6147463823656591,3.04743396226415,0.6183494945162533
159,"('tripeptide_comp', 'moran_autocorrelation', 'seq_order_coupling_number')",0.9633014326669824,3.422383385556893,11.712708037735862,1.4119749707856233,2.745471698113209,0.4888375124890797
82,"('dipeptide_comp', 'tripeptide_comp', 'transition')",0.9632957943416026,3.726878771486746,13.88962537735856,1.5001387354433227,2.969716981132084,0.5546009925532944
227,"('norm_moreaubroto_autocorrelation', 'transition', 'pseudo_aa_comp')",0.9632294775064723,2.877285083690908,8.278769452830197,1.8598572922613714,2.349452830188682,0.7102711689046249
311,"('composition', 'transition', 'quasi_seq_order_descriptors')",0.9631885363899076,3.439561701454596,11.830584698113237,1.5281109362252363,2.6232641509433985,0.5652414247493649
208,"('norm_moreaubroto_autocorrelation', 'geary_autocorrelation', 'composition')",0.9631712406530606,2.558595963001352,6.5464133018868145,2.325075961700891,2.097075471698114,0.8114778746737035
145,"('tripeptide_comp', 'norm_moreaubroto_autocorrelation', 'geary_autocorrelation')",0.9631192871049472,3.1901774156614295,10.177231943396237,1.920725628625988,2.502924528301887,0.7244901442054472
275,"('moran_autocorrelation', 'seq_order_coupling_number', 'pseudo_aa_comp')",0.9631042571002105,3.3391408142452597,11.149861377358494,1.8075121512453642,2.7637924528301863,0.708352339434381
238,"('norm_moreaubroto_autocorrelation', 'seq_order_coupling_number', 'quasi_seq_order_descriptors')",0.963097306402096,3.0023625854216243,9.014181094339621,1.6473180459751007,2.4280377358490592,0.6256148114383021
287,"('geary_autocorrelation', 'transition', 'distribution')",0.9630393827522763,3.0078058792992612,9.046896207547203,1.8445780932085933,2.4723207547169856,0.7005068897376506
224,"('norm_moreaubroto_autocorrelation', 'transition', 'conjoint_triad')",0.9630202711325314,3.640335040562504,13.252039207547206,1.7940397177525527,2.779018867924536,0.6995299693613619
199,"('norm_moreaubroto_autocorrelation', 'moran_autocorrelation', 'geary_autocorrelation')",0.9630064414737654,2.58900191667142,6.702930924528288,1.9431086112139477,2.0393773584905626,0.736224323180455
42,"('aa_comp', 'geary_autocorrelation', 'composition')",0.9629922261997047,3.5904723029833505,12.891491358490564,1.5933554090113549,2.6824528301886765,0.6007721752181594
7,"('aa_comp', 'dipeptide_comp', 'conjoint_triad')",0.9629405790684323,3.100713171161004,9.614422169811329,1.7279548376846425,2.4260566037735876,0.6591248538990337
203,"('norm_moreaubroto_autocorrelation', 'moran_autocorrelation', 'conjoint_triad')",0.9629394137077317,2.7796891199869056,7.7266716037735765,1.7288371666646705,2.153264150943395,0.6591503579414553
337,"('transition', 'conjoint_triad', 'amphipilic_pseudo_aa_comp')",0.96291173455376,3.231215181192645,10.44075154716982,1.7591198483855486,2.440754716981132,0.6712534458357505
285,"('geary_autocorrelation', 'composition', 'pseudo_aa_comp')",0.9629113654007839,3.130814674857312,9.802000528301894,1.9625028700602878,2.3541886792452846,0.7359532414357852
289,"('geary_autocorrelation', 'transition', 'seq_order_coupling_number')",0.9628459916759972,3.646639147965107,13.29797707547168,1.6861487225808882,3.063339622641507,0.6492165829600997
24,"('aa_comp', 'norm_moreaubroto_autocorrelation', 'geary_autocorrelation')",0.9628181633973651,3.2295017957970864,10.429681849056607,1.8561946366898852,2.481207547169813,0.7118987194477696
154,"('tripeptide_comp', 'moran_autocorrelation', 'geary_autocorrelation')",0.9626249539882566,3.255209224357109,10.596387094339613,1.7374714247520553,2.6389056603773575,0.6774747549913708
133,"('dipeptide_comp', 'distribution', 'amphipilic_pseudo_aa_comp')",0.9626065717423306,3.191156961780005,10.18348275471699,1.8865443376767939,2.570226415094343,0.7143044885057271
91,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation', 'composition')",0.962574360754418,4.158615312908215,17.294081320754692,1.3378983582831028,3.1853207547169773,0.4788092949476831
2,"('aa_comp', 'dipeptide_comp', 'moran_autocorrelation')",0.9625582943875935,3.346850688080049,11.201409528301896,1.7522647627245924,2.694396226415096,0.6698137539989422
167,"('tripeptide_comp', 'geary_autocorrelation', 'seq_order_coupling_number')",0.9625525437310684,3.459099217459144,11.965367396226464,1.804506905411674,2.662000000000007,0.6925719457692845
98,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation', 'amphipilic_pseudo_aa_comp')",0.962540510650269,2.7433274933644074,7.525845735849043,2.0047885418628977,2.202830188679247,0.7472500909519708
149,"('tripeptide_comp', 'norm_moreaubroto_autocorrelation', 'conjoint_triad')",0.9625216366587414,3.2127610708101564,10.321833698113224,1.6207369878993438,2.368867924528305,0.6439838288757398
113,"('dipeptide_comp', 'geary_autocorrelation', 'quasi_seq_order_descriptors')",0.9625215205143293,3.290238352322569,10.825668415094334,1.6667275394837502,2.6969433962264153,0.6395887781217185
96,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation', 'quasi_seq_order_descriptors')",0.9624836948745868,2.8092975520313037,7.892152735849076,1.8677672891126325,2.298735849056606,0.7084282873099133
