,Descriptors,R2,RMSE,MSE,RPD,MAE,Explained Var
112,"('dipeptide_comp', 'geary_autocorrelation', 'seq_order_coupling_number')",0.8199492351206907,3.863018151200553,14.922909236504935,1.502091380061137,2.8700623246872548,0.6037150211666966
90,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation', 'geary_autocorrelation')",0.8178123374069936,4.48134945979333,20.082492980789972,1.460216594416326,3.4821101827627223,0.6019359702507605
12,"('aa_comp', 'tripeptide_comp', 'norm_moreaubroto_autocorrelation')",0.8155956736897791,3.9701524293705193,15.762110312436635,1.509343089001565,2.78296901456958,0.5610906097124335
95,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation', 'seq_order_coupling_number')",0.8101464328834217,3.3601864667720105,11.290853091477768,1.6850253401948083,2.5571444757741824,0.6433797968845156
1,"('aa_comp', 'dipeptide_comp', 'norm_moreaubroto_autocorrelation')",0.8086921475503086,3.285064715759306,10.791650186726768,1.6766630104429752,2.5792232931165624,0.662568467006128
8,"('aa_comp', 'dipeptide_comp', 'seq_order_coupling_number')",0.8085965102546064,3.367167933073598,11.337819889519126,1.723572830508462,2.534017034916867,0.662461530113309
240,"('norm_moreaubroto_autocorrelation', 'seq_order_coupling_number', 'amphipilic_pseudo_aa_comp')",0.8031205345466021,3.8457302862620324,14.789641434673054,1.6387297899367388,2.7608514452930883,0.6213101144633899
244,"('moran_autocorrelation', 'geary_autocorrelation', 'composition')",0.801712900235508,3.214450612136206,10.33269273786283,1.6789342003687495,2.6915962694471713,0.638562518867593
284,"('geary_autocorrelation', 'composition', 'quasi_seq_order_descriptors')",0.8011918511209667,2.7362384344347954,7.487000770078179,1.8186039033017332,2.149684338704046,0.6951704225345321
236,"('norm_moreaubroto_autocorrelation', 'conjoint_triad', 'pseudo_aa_comp')",0.8004586757053197,3.616751827979383,13.080893785192208,1.6558031756882905,2.62521612590115,0.629878968306677
305,"('geary_autocorrelation', 'quasi_seq_order_descriptors', 'pseudo_aa_comp')",0.8002538556532988,2.710573853803407,7.347210616922654,1.7205855961040895,2.1076671012797594,0.6812397465437925
49,"('aa_comp', 'geary_autocorrelation', 'amphipilic_pseudo_aa_comp')",0.800063873589944,3.3288499662126396,11.081242097553892,1.6190830890067736,2.531148028909944,0.6750440991300741
34,"('aa_comp', 'moran_autocorrelation', 'composition')",0.7999889002360544,3.4527670475582717,11.921600284704265,1.6514498601299175,2.738643948483793,0.6312127462906821
211,"('norm_moreaubroto_autocorrelation', 'geary_autocorrelation', 'conjoint_triad')",0.7997500868274328,3.61552865915655,13.072047485182361,1.6566646311536795,2.7187564355319425,0.6303520724877938
303,"('geary_autocorrelation', 'seq_order_coupling_number', 'pseudo_aa_comp')",0.7995356438778776,3.505685925005373,12.289833804780777,1.7313201961266054,2.6048568255423916,0.6640079740461182
221,"('norm_moreaubroto_autocorrelation', 'composition', 'pseudo_aa_comp')",0.7994463525619816,3.3241666755675316,11.050084086953696,1.7266336383690248,2.506877967939494,0.6677126446396469
14,"('aa_comp', 'tripeptide_comp', 'geary_autocorrelation')",0.7985147940084991,3.296962212070977,10.86995982782395,1.6848792194371072,2.4657354106655367,0.6446249818650724
99,"('dipeptide_comp', 'moran_autocorrelation', 'geary_autocorrelation')",0.7982270028469296,3.527777698944098,12.445215493167314,1.6694688353048237,2.777861879978267,0.6346812790892709
218,"('norm_moreaubroto_autocorrelation', 'composition', 'conjoint_triad')",0.7981514111818775,3.725766933085678,13.88133923967466,1.6473862179845138,3.062684929866365,0.6256386676629897
30,"('aa_comp', 'norm_moreaubroto_autocorrelation', 'quasi_seq_order_descriptors')",0.7978583271562787,2.68745386957745,7.222408301106811,1.7930365368978034,2.1679873057243526,0.6850039159433616
98,"('dipeptide_comp', 'norm_moreaubroto_autocorrelation', 'amphipilic_pseudo_aa_comp')",0.7977727238203566,3.113549706802831,9.694191776731993,1.8650073552430004,2.307137138439216,0.7124531510029691
108,"('dipeptide_comp', 'geary_autocorrelation', 'composition')",0.7977110035556373,3.296999519500497,10.870205831586508,1.6940242400079855,2.6420672661985996,0.6507785084075263
40,"('aa_comp', 'moran_autocorrelation', 'pseudo_aa_comp')",0.7974473985127716,3.2980370225612328,10.877048202184563,1.6889005467262022,2.546214950506105,0.6605728462457909
88,"('dipeptide_comp', 'tripeptide_comp', 'amphipilic_pseudo_aa_comp')",0.797363503234816,3.719895808696212,13.837624827555645,1.6439812164011183,2.729125634999055,0.6410782487417023
194,"('tripeptide_comp', 'seq_order_coupling_number', 'pseudo_aa_comp')",0.7966675547127057,3.5173107799265186,12.371475122587295,1.6906443130614366,2.5945135632826584,0.6482996215551804
279,"('moran_autocorrelation', 'pseudo_aa_comp', 'amphipilic_pseudo_aa_comp')",0.7963326402476625,3.1782876932777824,10.101512661241006,1.7140603365247575,2.4327136475484186,0.6642804768824411
320,"('composition', 'conjoint_triad', 'quasi_seq_order_descriptors')",0.7963166855822503,3.6392891632329745,13.244425613624962,1.6018913426565176,2.7969386123170783,0.6028438244050458
