,Algorithm,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,PLS,"('_tripeptide_composition', '_transition')","Composition,CTD",0.8744753947315169,2.092139551090197,4.377047901235889,2.8225105104839914,1.7580291006061777,0.8758906590370094
1,PLS,"('_dipeptide_composition', '_quasi_seq_order')","Composition,Quasi-Sequence-Order",0.8576732888889528,2.391496973721873,5.719257775320878,2.650676898635565,1.9562483565225581,0.870511040498291
2,KNN,"('_aa_composition', '_composition')","Composition,CTD",0.8556368243065285,2.419491604168428,5.853939622641512,2.6319145588926536,1.9467924528301888,0.8571159525640619
3,PLS,"('_tripeptide_composition', '_ctd')","Composition,CTD",0.8544819563716577,2.4806712011970977,6.153729608448652,2.621449985936487,1.9708680198878241,0.8550012289110719
4,PLS,"('_tripeptide_composition', '_amp_pseudo_aa_composition')","Composition,Pseudo Composition",0.8370354397500998,2.4545738218956648,6.0249326471354925,2.4771563315987013,1.920794650716692,0.8436672190534745
5,PLS,"('_conjoint_triad', '_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.8323407024612852,2.427769366545204,5.894064097135298,2.442227847031852,1.951853344568288,0.8330836392408134
6,RF,"('_tripeptide_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.8283475924965146,2.2204533830763302,4.9304132264151175,2.4136542049930907,1.8602830188679291,0.8288402952868468
7,PLS,"('_moran_autocorrelation', '_conjoint_triad')","Autocorrelation,Conjoint Triad",0.8254540592755688,2.525644327947194,6.378879271291834,2.393564435875513,1.991903182878794,0.8254540743443587
8,Ada,"('_tripeptide_composition', '_composition')","Composition,CTD",0.8237526157631856,2.3333577521056967,5.444558399311752,2.3819830125217707,1.903070975147928,0.8239280139524625
9,PLS,"('_conjoint_triad', '_quasi_seq_order')","Conjoint Triad,Quasi-Sequence-Order",0.8227881602904195,2.3653928020106485,5.595083107803786,2.3754923321795345,1.904741939652825,0.8264737121457049
10,PLS,"('_conjoint_triad', '_seq_order_coupling_number')","Conjoint Triad,Quasi-Sequence-Order",0.8212142334713194,2.6887868061818945,7.229574489097833,2.3650129851484536,2.2577386648181865,0.8241380279723552
11,Ada,"('_aa_composition', '_dipeptide_composition')","Composition,Composition",0.8181939033043616,2.152171164838839,4.631840722763765,2.3452858246400696,1.6931251209953098,0.8290651071712629
