,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
14,"('_dipeptide_composition', '_tripeptide_composition')",0.836954932737251,2.5185126281701957,6.342905858252746,2.4765446814455605,2.089365257647014,0.8440121245165485
95,"('_conjoint_triad', '_seq_order_coupling_number')",0.8066814051932939,2.8675184829056617,8.222662249805587,2.274380824688162,2.3009694289951437,0.8073099349451488
79,"('_composition', '_conjoint_triad')",0.7894962829828673,2.829715289085843,8.007288617286177,2.179566456784464,2.4040371867770314,0.8045615651681877
90,"('_distribution', '_conjoint_triad')",0.78741166559542,2.569899742409987,6.6043846860389195,2.1688538381711293,2.0074527992192266,0.7888005435888064
30,"('_tripeptide_composition', '_CTD')",0.7801847071727912,2.933879273432034,8.607647591074079,2.132902720730351,2.388664698295485,0.7802299139018511
25,"('_dipeptide_composition', '_pseudo_AAC')",0.7791086118117134,3.027462108064719,9.165526815767672,2.1277010492064425,2.3659422215599313,0.7791178986220337
63,"('_geary_autocorrelation', '_distribution')",0.7752669835024923,2.718967927159608,7.392786588922614,2.1094370002137093,2.160009301446907,0.7771643725847677
85,"('_transition', '_conjoint_triad')",0.7610880884137021,3.0707120091438114,9.429272243100023,2.0458844356692043,2.5467688312624617,0.7672151620444709
99,"('_seq_order_coupling_number', '_quasi_seq_order')",0.7606609488427203,2.622250590446008,6.876198159094438,2.0440580131970902,2.101959847960331,0.7608008303228955
3,"('_aa_composition', '_moran_autocorrelation')",0.7534649836286803,3.1060117933557536,9.647309260465025,2.0140056923279945,2.5450105739015876,0.757960605112523
23,"('_dipeptide_composition', '_seq_order_coupling_number')",0.7506569819815789,2.9684161864049154,8.811494655710701,2.0026331187991517,2.3055377059117195,0.770853803638567
0,"('_aa_composition', '_dipeptide_composition')",0.7493579796918501,3.0589804799920635,9.357361576972476,1.997436854486669,2.4924955474079433,0.7533526987627919
67,"('_geary_autocorrelation', '_pseudo_AAC')",0.7487243107481361,2.9007598847612788,8.414407909040268,1.9949166889170262,2.192643149984451,0.7545300365389016
