,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
36,"('_tripeptide_composition', '_quasi_seq_order')",0.7878494988238786,2.6963833219458837,7.270483018867919,2.171090709724119,2.0735849056603763,0.7930338617466103
66,"('_geary_autocorrelation', '_quasi_seq_order')",0.7497717684319167,3.294640587950919,10.854656603773577,1.9990876983282906,2.5713207547169805,0.750120638468013
1,"('_aa_composition', '_tripeptide_composition')",0.7383799367690804,3.207171209931163,10.28594716981132,1.9550797472079096,2.396981132075471,0.7420454177503657
25,"('_dipeptide_composition', '_pseudo_AAC')",0.7366992229598374,3.276084870004392,10.732732075471693,1.9488298794823977,2.6335849056603764,0.7725836629078694
90,"('_distribution', '_conjoint_triad')",0.7327148349033382,3.045800077681978,9.276898113207542,1.9342498525712295,2.191320754716981,0.7585422916598288
0,"('_aa_composition', '_dipeptide_composition')",0.7230740656749421,2.956003165928808,8.737954716981136,1.9002825712564393,2.401886792452831,0.7380063926167871
98,"('_conjoint_triad', '_amp_pseudo_AAC')",0.7223955415267236,3.3793948325051137,11.420309433962265,1.8979588037120485,2.673584905660378,0.7520508374781193
57,"('_moran_autocorrelation', '_quasi_seq_order')",0.7222481923205576,2.978956383043476,8.874181132075469,1.8974552969554566,2.2645283018867914,0.7311719904452106
100,"('_seq_order_coupling_number', '_pseudo_AAC')",0.7199505910332942,3.0891031854837805,9.542558490566039,1.8896556475202697,2.4577358490566046,0.7204654547825209
84,"('_transition', '_distribution')",0.7175913474786444,2.884191132807609,8.318558490566037,1.8817459963247316,2.332452830188679,0.7634221596979498
22,"('_dipeptide_composition', '_conjoint_triad')",0.7127777291567879,3.136469593258313,9.837441509433967,1.865911082782622,2.379245283018868,0.7244703085012194
12,"('_aa_composition', '_pseudo_AAC')",0.7117315590271805,3.3009318295590764,10.896150943396231,1.862522167341451,2.6007547169811334,0.7427625778021731
88,"('_transition', '_pseudo_AAC')",0.7072204937443815,3.422643797715113,11.71449056603773,1.8481178555245437,2.616603773584905,0.7488477447101105
26,"('_dipeptide_composition', '_amp_pseudo_AAC')",0.7005215037882291,3.092662039500282,9.564558490566043,1.8273308157616175,2.646037735849057,0.7127487774781772
82,"('_composition', '_pseudo_AAC')",0.6952444719711457,3.0383436401223114,9.231532075471698,1.8114410443568356,2.3056603773584903,0.6955243480069717
74,"('_CTD', '_quasi_seq_order')",0.6856637135938712,3.3822544675140676,11.43964528301887,1.7836216733698618,2.5105660377358503,0.6861793023788594
3,"('_aa_composition', '_moran_autocorrelation')",0.6836091250394519,3.4327644396481998,11.783871698113218,1.7778209728784808,2.6683018867924537,0.7202331020779338
87,"('_transition', '_quasi_seq_order')",0.6778922151568583,3.4447345654513204,11.866196226415097,1.761973569214591,2.6637735849056603,0.704975780174474
31,"('_tripeptide_composition', '_composition')",0.6739113228629957,3.045559712477192,9.275433962264156,1.7511854514360772,2.505283018867925,0.6884645229374882
56,"('_moran_autocorrelation', '_seq_order_coupling_number')",0.6676751580810352,3.4179062331883725,11.682083018867928,1.7346769055203364,2.5305660377358503,0.6908142639233747
73,"('_CTD', '_seq_order_coupling_number')",0.6633617941592151,3.1981279901700987,10.228022641509435,1.7235278214315637,2.5332075471698117,0.7031322843720421
47,"('_normalized_moreaubroto_autocorrelation', '_quasi_seq_order')",0.6602614727431008,3.490210568335492,12.181569811320756,1.715645676220443,2.7350943396226413,0.6850433762462431
30,"('_tripeptide_composition', '_CTD')",0.6572777291969398,3.0096486349174345,9.057984905660376,1.708161136209347,2.2366037735849056,0.6585346654360719
53,"('_moran_autocorrelation', '_transition')",0.6568553231618628,3.8913964123095783,15.142966037735857,1.7071094518778684,3.2079245283018873,0.6894656856062101
50,"('_moran_autocorrelation', '_geary_autocorrelation')",0.6568292521448078,3.2601747840631963,10.62873962264151,1.7070446052596222,2.5343396226415087,0.666152274461844
7,"('_aa_composition', '_transition')",0.6543475157986911,3.5768384901901364,12.793773584905656,1.700905395346848,2.8056603773584907,0.6948091268842821
5,"('_aa_composition', '_CTD')",0.6538503532567457,3.695577162776842,13.657290566037734,1.6996834811949286,2.7150943396226417,0.7027537730736632
28,"('_tripeptide_composition', '_moran_autocorrelation')",0.6508216249575063,3.4473265550798198,11.884060377358496,1.692296008893756,2.719999999999999,0.7326357365131665
60,"('_geary_autocorrelation', '_CTD')",0.6495893965848604,3.659296767165609,13.390452830188678,1.689317886062444,2.8245283018867933,0.6610145626102435
