,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
37,"('_tripeptide_composition', '_pseudo_AAC')",0.7528387845651298,2.594930786091647,6.733665784606213,2.011452766896343,2.074094227318013,0.755036585099837
79,"('_composition', '_conjoint_triad')",0.7514154402849179,2.86030355821151,8.181336445117424,2.0056859167906516,2.354471356455744,0.752505512197004
23,"('_dipeptide_composition', '_seq_order_coupling_number')",0.7382622620377683,3.128050746488125,9.784701472604917,1.9546402054167133,2.3988991261673163,0.7421104339018659
67,"('_geary_autocorrelation', '_pseudo_AAC')",0.7304466465559085,3.0310754689362094,9.187418498386862,1.9260946743867378,2.50518536194669,0.7310882933588014
57,"('_moran_autocorrelation', '_quasi_seq_order')",0.7123139345458361,2.941840303069615,8.654424368764726,1.8644064068881283,2.4776828939336144,0.7280871813992769
22,"('_dipeptide_composition', '_conjoint_triad')",0.7107733884185135,3.6755647262174365,13.509776056613859,1.8594344595894303,2.842388313798414,0.7117361420415935
53,"('_moran_autocorrelation', '_transition')",0.7086945298360746,2.9033859936361837,8.42965022804277,1.8527877900373158,2.393463706095586,0.7100669982837011
17,"('_dipeptide_composition', '_geary_autocorrelation')",0.7069171692537235,2.9296121926315104,8.582627599215206,1.847161258164276,2.382307432796024,0.708228667884235
16,"('_dipeptide_composition', '_moran_autocorrelation')",0.7060647408015054,2.89088763696174,8.357231329538234,1.844480878712837,2.252462288347565,0.706819588099854
72,"('_CTD', '_conjoint_triad')",0.705406959453018,3.0439793115295033,9.26581004901963,1.8424205056409173,2.3596416457183316,0.7089349529214748
21,"('_dipeptide_composition', '_distribution')",0.69923596991666,3.313872393463343,10.981750240158465,1.8234214201156553,2.599568484309323,0.6992693585053995
30,"('_tripeptide_composition', '_CTD')",0.6989267390751506,3.4654209690838758,12.009142492966228,1.822484766032183,2.782629688363031,0.6990480632061613
34,"('_tripeptide_composition', '_conjoint_triad')",0.6985998639561016,3.2287712770301265,10.424963959374754,1.8214962354038549,2.5653856167768696,0.7001900454795702
64,"('_geary_autocorrelation', '_conjoint_triad')",0.6935952959197946,2.938185400638135,8.632933448523078,1.806559566056408,2.1820997694269106,0.6935986502796221
0,"('_aa_composition', '_dipeptide_composition')",0.6929724415682696,3.0181575251705604,9.10927484674368,1.8047261887104888,2.4064909613746654,0.6942988174683341
98,"('_conjoint_triad', '_amp_pseudo_AAC')",0.6929267938247797,3.4607847807208714,11.977031298469209,1.80459204359737,2.617123741197645,0.6934910718480363
24,"('_dipeptide_composition', '_quasi_seq_order')",0.6923644151820676,3.4576363157976373,11.95524889232266,1.8029418309615988,2.6985275327330314,0.693527711107037
85,"('_transition', '_conjoint_triad')",0.6920620460427185,3.2671829540151216,10.674484455006978,1.802056445038426,2.639743417896284,0.6920623742003792
26,"('_dipeptide_composition', '_amp_pseudo_AAC')",0.6894410844131649,3.3326906979362887,11.106827288111068,1.794436106310206,2.594711925000532,0.6895359410481056
33,"('_tripeptide_composition', '_distribution')",0.6871133742231216,3.2737847854437616,10.717666821403055,1.7877488202027234,2.6098111998627576,0.6879106779697486
40,"('_normalized_moreaubroto_autocorrelation', '_geary_autocorrelation')",0.6809519024390849,3.0155306422167083,9.093425054147914,1.7704021174000455,2.4977387838759264,0.6817637608321225
68,"('_geary_autocorrelation', '_amp_pseudo_AAC')",0.6764243652572999,3.2950752798186156,10.857521099671729,1.7579725687986805,2.410610271128536,0.6766812215165223
28,"('_tripeptide_composition', '_moran_autocorrelation')",0.6754450697958017,3.105509929708275,9.644191923516694,1.755318356817225,2.516306795591772,0.6784700722363486
58,"('_moran_autocorrelation', '_pseudo_AAC')",0.6682151613636724,3.0345766944906,9.208655714745497,1.7360879862495362,2.4621078951929625,0.6685897991238154
9,"('_aa_composition', '_conjoint_triad')",0.6681171725009503,3.1998330280345377,10.23893140730068,1.7358316761425399,2.465111948198421,0.6738136310866849
19,"('_dipeptide_composition', '_composition')",0.6652857705057913,3.4461091120163148,11.875668011921872,1.728474242720105,2.810159365075533,0.6660718792044845
4,"('_aa_composition', '_geary_autocorrelation')",0.6641094983265547,2.907693382210783,8.454680804952384,1.7254450720809384,2.2658449258838007,0.6909697529803921
20,"('_dipeptide_composition', '_transition')",0.6633426861536263,3.4851743255102074,12.14644007919553,1.7234789087164546,2.8298545465164553,0.6728815010109441
55,"('_moran_autocorrelation', '_conjoint_triad')",0.6615106322806419,3.2833887590938375,10.780641743343772,1.7188084662047212,2.494926872596351,0.6752498879649044
52,"('_moran_autocorrelation', '_composition')",0.6604128512381797,3.5535076977967672,12.62741695830088,1.7160280271499058,2.867830417594049,0.6621508029096796
18,"('_dipeptide_composition', '_CTD')",0.6604042898448437,3.3228778909463155,11.041517478139832,1.7160063960116523,2.6432524926533256,0.6640241714794701
31,"('_tripeptide_composition', '_composition')",0.6597714968838508,3.245504962998986,10.533302464851047,1.7144098481979455,2.5430130150374444,0.6598170715795901
90,"('_distribution', '_conjoint_triad')",0.6596273707521428,3.3859584586275666,11.464714683551568,1.7140468380720706,2.5365166001533828,0.6614229713765221
50,"('_moran_autocorrelation', '_geary_autocorrelation')",0.6589656716706693,3.4476672912483997,11.886409751144079,1.7123831728421761,2.6549261904624135,0.6595182579204495
14,"('_dipeptide_composition', '_tripeptide_composition')",0.658557428941585,3.1263380982794713,9.7739899047537,1.711359168920894,2.3118311556025426,0.6585646560609907
15,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation')",0.6568041259665103,3.441907633989528,11.84672816091539,1.7069821157376974,2.7714256704610287,0.6683086552895632
1,"('_aa_composition', '_tripeptide_composition')",0.6549297184322518,3.229156081173886,10.427448996582289,1.7023396745486226,2.728751189443729,0.6552173052691468
66,"('_geary_autocorrelation', '_quasi_seq_order')",0.6543690731523151,3.5036242963342272,12.275383209863508,1.700958438122419,2.8081683245516857,0.6547194620935373
97,"('_conjoint_triad', '_pseudo_AAC')",0.6535677790626808,3.7778377236736977,14.272057866412066,1.6989901498019535,3.108698483541774,0.6645076861099737
96,"('_conjoint_triad', '_quasi_seq_order')",0.6521778721760827,3.4870456893613944,12.159487639693882,1.6955921458528656,2.834720591046916,0.6531004336845437
63,"('_geary_autocorrelation', '_distribution')",0.6514509544292817,3.215553798265149,10.339786229537427,1.693823098785786,2.614314487858971,0.6591685676137129
48,"('_normalized_moreaubroto_autocorrelation', '_pseudo_AAC')",0.6470000360891281,3.5856634714295996,12.856982530344569,1.6831106557266766,3.0222490351345717,0.6522749350425201
61,"('_geary_autocorrelation', '_composition')",0.6459302960672217,3.3911341337387664,11.499790713008172,1.680566166873188,2.681471127285473,0.7061398584842641
65,"('_geary_autocorrelation', '_seq_order_coupling_number')",0.6450329914923925,3.5239676929081662,12.418348300660504,1.6784407103265058,2.8776665787168114,0.6461750445600521
62,"('_geary_autocorrelation', '_transition')",0.6420686655778423,3.712737692108093,13.784421170400126,1.671475981145535,3.1072664225415996,0.6420687705619164
93,"('_distribution', '_pseudo_AAC')",0.6409883581929305,3.640777305513205,13.255259388339992,1.668959254556389,2.714137896347399,0.6429704565479515
3,"('_aa_composition', '_moran_autocorrelation')",0.6307817952205244,3.5902046183291993,12.889569201472312,1.645729472784739,2.859535515852997,0.632062237992542
27,"('_tripeptide_composition', '_normalized_moreaubroto_autocorrelation')",0.6290287816850434,3.736065088009238,13.958182341841477,1.6418364452335192,3.039230204150182,0.6580182358440383
42,"('_normalized_moreaubroto_autocorrelation', '_composition')",0.6267169312115883,3.359009951800773,11.282947856296632,1.6367443637966521,2.837464036655402,0.6414336441795323
87,"('_transition', '_quasi_seq_order')",0.6209899980262136,3.6975151152953574,13.671618027837638,1.624331492501173,3.0862451557952095,0.6216212570731368
54,"('_moran_autocorrelation', '_distribution')",0.6201658986513314,3.8939560204490435,15.162893489191353,1.6225684367040825,3.146265722114774,0.6421088629840777
100,"('_seq_order_coupling_number', '_pseudo_AAC')",0.62004958170467,3.707097236596084,13.742569921578324,1.6223200534362723,3.0077397429223502,0.622033382422071
47,"('_normalized_moreaubroto_autocorrelation', '_quasi_seq_order')",0.6173589211129127,3.2816680672462875,10.769345303583984,1.616606065002344,2.530002747215014,0.6173978321763895
56,"('_moran_autocorrelation', '_seq_order_coupling_number')",0.6168270171126274,3.687165979329015,13.595192959121295,1.6154836243681183,2.918542880327098,0.6178038440417384
89,"('_transition', '_amp_pseudo_AAC')",0.6164318327927008,3.5974706094916553,12.941794786156263,1.61465120607359,2.90177667325161,0.6179957152655213
45,"('_normalized_moreaubroto_autocorrelation', '_conjoint_triad')",0.6157080273330804,3.963656827920599,15.710575449521585,1.6131299094262503,3.011019496124334,0.615803616031225
71,"('_CTD', '_distribution')",0.6155857754802465,3.4209936451691854,11.70319752028795,1.612873384317018,2.7511805939196567,0.6488919674640272
41,"('_normalized_moreaubroto_autocorrelation', '_CTD')",0.6137234791934592,3.8610796374821774,14.907935966979503,1.608980736221653,3.161695116954612,0.6215713908829257
59,"('_moran_autocorrelation', '_amp_pseudo_AAC')",0.6135086109388883,3.735465706135829,13.953704041716847,1.6085334210216051,3.0056095176926267,0.6207472689645215
32,"('_tripeptide_composition', '_transition')",0.6131388324535051,3.515276164784584,12.357166514702612,1.60776448463812,2.9228717528821533,0.6135060902148538
8,"('_aa_composition', '_distribution')",0.6086431966969118,3.5741092117573663,12.774256657568863,1.5985033693666313,2.9269053645146106,0.6087889119401428
29,"('_tripeptide_composition', '_geary_autocorrelation')",0.6071763096423808,3.7528164486783067,14.083631297470456,1.5955160024244002,3.168578217882721,0.6088479852824505
39,"('_normalized_moreaubroto_autocorrelation', '_moran_autocorrelation')",0.6060444782228317,3.534913406574692,12.495612791981495,1.5932224007855633,2.914333631937403,0.6130156975847472
95,"('_conjoint_triad', '_seq_order_coupling_number')",0.6038656726360925,4.079611043989302,16.64322627023948,1.5888348635115268,3.2585182586489885,0.604550299762834
75,"('_CTD', '_pseudo_AAC')",0.5987902979847839,3.8038835503432793,14.469530064572192,1.578753355898016,3.113800752277707,0.6036095262886874
76,"('_CTD', '_amp_pseudo_AAC')",0.5959045885252332,3.7101527281784703,13.765233266410148,1.5731061918868752,3.0643580446014145,0.6058410711476874
74,"('_CTD', '_quasi_seq_order')",0.583417930417915,3.6281878695071423,13.163747216438777,1.5493506311229366,2.8529835431933224,0.5845795186257856
94,"('_distribution', '_amp_pseudo_AAC')",0.5834039898191448,3.6817557307651554,13.555325261022064,1.549324707859548,2.856282244910181,0.5858029403981608
101,"('_seq_order_coupling_number', '_amp_pseudo_AAC')",0.5827788257891175,3.913850489422704,15.31822565355434,1.5481635189735212,3.320519498367196,0.582928316911138
103,"('_quasi_seq_order', '_amp_pseudo_AAC')",0.5800927385076282,3.8582415471535034,14.886027836181459,1.543203883342478,3.235312320519943,0.5928473640889278
44,"('_normalized_moreaubroto_autocorrelation', '_distribution')",0.5741382042611731,3.9306691319760865,15.450159825069642,1.5323771220585747,3.3201307094925903,0.5955765506295938
38,"('_tripeptide_composition', '_amp_pseudo_AAC')",0.5734669697983172,4.000510487066649,16.004084157130237,1.531170897392798,3.199829920361649,0.5789977446221737
73,"('_CTD', '_seq_order_coupling_number')",0.5710742327565564,4.0500018885862445,16.40251529755215,1.5268941514807928,3.277122568008914,0.5714902089347367
25,"('_dipeptide_composition', '_pseudo_AAC')",0.566066410819332,3.2785248228563315,10.748725014085139,1.5180580031023352,2.441608956609491,0.5797718315798277
102,"('_quasi_seq_order', '_pseudo_AAC')",0.5659084602105215,3.6125592456489852,13.050584303323966,1.5177817940778608,2.9457730469188315,0.5763667632001057
35,"('_tripeptide_composition', '_seq_order_coupling_number')",0.5623861935505045,3.649689309493418,13.320232055830543,1.5116612913307155,3.0951137391686765,0.602586822680455
11,"('_aa_composition', '_quasi_seq_order')",0.5582980091426706,3.4102872342963453,11.630059020404616,1.5046494185262769,2.8678467604201052,0.5586141948663166
49,"('_normalized_moreaubroto_autocorrelation', '_amp_pseudo_AAC')",0.5565905264200106,4.095406839588755,16.77235718175035,1.5017495695740184,3.1997289300468483,0.5572731656292308
