,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
95,"('_conjoint_triad', '_seq_order_coupling_number')",0.7371659528949865,2.7864267247875003,7.764173892609996,1.9505594381409976,2.057484507251355,0.7423721164662996
99,"('_seq_order_coupling_number', '_quasi_seq_order')",0.7333965020858448,3.042796859712203,9.258612729474443,1.9367210746665529,2.039213268838732,0.7360345761150402
84,"('_transition', '_distribution')",0.7171500446426566,3.4972288016958037,12.230609291410667,1.8802774721346374,2.6700994186973146,0.7172221879594702
77,"('_composition', '_transition')",0.7056809376869806,2.816740448390509,7.934026753599166,1.843277850205742,2.1832011508829896,0.7056936294964177
86,"('_transition', '_seq_order_coupling_number')",0.7046687887343701,3.07336957169068,9.445600524194154,1.8401165301170774,2.176207869034145,0.7121088976100061
5,"('_aa_composition', '_CTD')",0.7000206563678089,3.4134392052228817,11.651567207752617,1.82580471692223,2.660477209834226,0.7089078002417397
6,"('_aa_composition', '_composition')",0.6962449791513278,3.3774729518513964,11.407323540487786,1.8144218507860663,2.4613074379827644,0.6975400521799817
80,"('_composition', '_seq_order_coupling_number')",0.6955214832325383,3.6870812261173014,13.594567967986663,1.8122648717571546,2.7589221706389284,0.7050864760225934
81,"('_composition', '_quasi_seq_order')",0.6890971631570298,3.1201475581582554,9.735320784680924,1.79344332751779,2.2998606451086547,0.6903635858299599
87,"('_transition', '_quasi_seq_order')",0.6781523574348467,3.1923112791238557,10.190851302821388,1.7626855073703223,2.6190701076637106,0.6806714246251447
7,"('_aa_composition', '_transition')",0.6631014032781558,2.982579899965642,8.895782859679057,1.7228616303519217,2.0529164994005806,0.6652763339961683
70,"('_CTD', '_transition')",0.6441893692410878,3.5575183953625094,12.655937133342643,1.6764497492419161,2.6258703299205934,0.6780614536784701
83,"('_composition', '_amp_pseudo_AAC')",0.6209319518074468,3.578755855011798,12.807493469781226,1.6242071218091885,2.7131551413300903,0.6335586861884811
39,"('_normalized_moreaubroto_autocorrelation', '_moran_autocorrelation')",0.6114124613800233,3.881191545238691,15.063647810832297,1.6041891155573296,2.8170025107180754,0.6167602843283688
71,"('_CTD', '_distribution')",0.5998517917584817,3.6941633830370018,13.646843100571385,1.5808459892023587,2.655406479615978,0.6253509354119143
40,"('_normalized_moreaubroto_autocorrelation', '_geary_autocorrelation')",0.597863673659726,3.651865335890926,13.336120431481746,1.576933382335373,2.7297815657909155,0.6068065146902161
78,"('_composition', '_distribution')",0.5963666933345668,3.8454067261961935,14.787152889874926,1.5740064297788328,2.767777832016963,0.5973016767933026
88,"('_transition', '_pseudo_AAC')",0.5418018854143147,3.738207362079655,13.974194281906534,1.4773158286958883,2.3737230495908803,0.5460258587507637
100,"('_seq_order_coupling_number', '_pseudo_AAC')",0.5392865875888408,4.388526580527949,19.25916554800033,1.4732775536268534,2.8808745802655755,0.5480467186608693
63,"('_geary_autocorrelation', '_distribution')",0.5301600610656816,3.7683075658936938,14.200141911171656,1.4588983540317866,3.12668884449214,0.5370193473445766
57,"('_moran_autocorrelation', '_quasi_seq_order')",0.5038710507862736,4.340685067984304,18.841546859421904,1.4197200494412883,3.338774661839198,0.5135533754994996
15,"('_dipeptide_composition', '_normalized_moreaubroto_autocorrelation')",0.4593275575704595,4.371205469585639,19.107437257335405,1.359981130720688,3.1750434605848232,0.46695426690170905
69,"('_CTD', '_composition')",0.45502996869435275,3.9508542512038054,15.609249314255182,1.3546081673574,3.1747254163986107,0.456788606537164
93,"('_distribution', '_pseudo_AAC')",0.4536943276828582,4.856396370990772,23.584585712172338,1.3529512401812187,3.166401938597858,0.5018556880277417
61,"('_geary_autocorrelation', '_composition')",0.4267542349796696,4.209375356133403,17.718840888823213,1.32077722807884,3.442403408095689,0.4399920617414267
