,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
0,"('_aa_composition', '_dipeptide_composition')","Composition,Composition",0.8059539130786945,2.6394406406693083,6.966646895616809,2.27011341622751,2.19283339686269,0.8062843210861137
1,"('_tripeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7763819044729262,2.395023197064438,5.73613611447676,2.114689105016043,1.981010206692171,0.7764582949514078
2,"('_dipeptide_composition', '_ctd')","Composition,CTD",0.7750671400126701,2.501042237716273,6.2552122748408205,2.1084997184680687,2.052810464993276,0.777944017671951
3,"('_tripeptide_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.7730013821731906,2.790659190650981,7.787778718364789,2.0988837907291837,2.1307739140287576,0.7754194387097628
4,"('_tripeptide_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7706392595387567,2.864143851019584,8.203319999333294,2.0880479086566615,2.4136964902871045,0.7711756707544356
5,"('_dipeptide_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.7676530623085445,2.5789876248395056,6.651177169075315,2.074586385720143,1.8582765298353858,0.772223364278602
6,"('_geary_autocorrelation', '_conjoint_triad')","Autocorrelation,Conjoint Triad",0.762308801799253,2.572108531681372,6.615742298748104,2.051131243736836,2.0053410848062465,0.766322319046533
7,"('_conjoint_triad', '_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.7605699214469346,2.2670606430479965,5.139563959257196,2.0436694175640633,1.7021590082171238,0.760627046756593
8,"('_tripeptide_composition', '_normalized_moreaubroto_autocorrelation')","Composition,Autocorrelation",0.7598318286859197,2.9036494581917847,8.431180176057445,2.0405266649072127,2.2934413706385097,0.762310937195478
9,"('_aa_composition', '_tripeptide_composition')","Composition,Composition",0.757758744152811,2.9324329004478313,8.59916271562888,2.031776558330245,2.4036844964515596,0.7585699738027385
10,"('_geary_autocorrelation', '_transition')","Autocorrelation,CTD",0.757107239272207,2.870665603829035,8.240721009007117,2.0290498381673014,2.281918391075105,0.7579958055192199
11,"('_dipeptide_composition', '_amp_pseudo_aa_composition')","Composition,Pseudo Composition",0.7568688382916622,2.95531192153387,8.733868553560216,2.02805480712136,2.470658639272762,0.7575230529235499
